"",beta,delta,alpha,gamma,immune,stellate,endothelial,ductal,acinar
LHX6,0.868468867435746,1,0.115228457598784,0.362651522767124,0.31650536822103,0,0.14867193386154,0.37057107538925,0.0807339623768521
NOTO,0.913140001124442,1,0.137485920243108,0.323519529110449,0.358023035269287,0,0.174895342129339,0.285279554301366,0.108755317748278
PAX4,0.94252085638631,1,0.0989701466538308,0.310462975089041,0.360420316460667,0,0.201102125334855,0.307371947581349,0.0256823962326518
Lhx8,0.94252085638631,1,0.0989701466538308,0.310462975089041,0.360420316460667,0,0.201102125334855,0.307371947581349,0.0256823962326518
DLX6,0.976194255754829,1,0.214753199005456,0.463312701526583,0.426716277532329,0.0707909159278063,0.287228479157525,0.40569555163345,0
PDX1,0.967623601536445,1,0.161975438075807,0.414638071276339,0.488022986671667,0.124428462179167,0.234463476713943,0.382786850084654,0
GSX1,0.915016649262164,1,0.144143634370221,0.354923691778582,0.377594322515413,0.0260393059960563,0.216918672125259,0.474986391864389,0
EMX1,0.872178018624121,1,0.193518214768374,0.421932902025258,0.381944530252792,0,0.174391567509537,0.492131935071415,0.0378524320017012
EMX2,0.980542058607486,1,0.213223118431688,0.456840046248093,0.369291639762505,0,0.234475190985768,0.494570533220317,0.0948212689195504
GBX1,0.927210727830011,1,0.167279006582202,0.409515722978879,0.378962242910609,0,0.315005322078324,0.437263698698753,0.120935227200837
GBX2,0.931065262624424,1,0.299327861747208,0.520944847822579,0.376212610165397,0.0128579228300636,0.383810368641602,0.244637846420886,0
LHX2,0.982122427705748,1,0.161672620064925,0.387873347615756,0.35989995572148,0,0.293868193173676,0.337310783544668,0.118849698086258
LBX1,0.984947193375733,1,0.222365962554787,0.37483142130014,0.409770951307002,0,0.339783030073432,0.348611581464553,0.145340693747895
Alx4,0.803801400179333,1,0.267628421247291,0.355879392895249,0.370064812769332,0,0.163253565009625,0.399859747511002,0.127585402299981
POU6F2,0.969508684870902,1,0.211167417556526,0.438345205021335,0.336130075796515,0,0.158281941242466,0.497419387018507,0.254269052343137
mix-a,0.806928299706201,1,0.30148720290562,0.500797819666574,0.383153430564467,0,0.168522559224756,0.526558509690055,0.267076274319284
Alx1,0.787760900185383,1,0.252092892321286,0.459340702169725,0.347555945334278,0,0.160843387203765,0.49399582141741,0.210356139090279
VAX1,0.864651303664464,1,0.24802746802014,0.488409425977347,0.466375448893813,0.0178546594157078,0.329209287705713,0.446781293767199,0
VAX2,0.864651303664464,1,0.24802746802014,0.488409425977347,0.466375448893813,0.0178546594157078,0.329209287705713,0.446781293767199,0
Hoxd3,0.848505966787019,1,0.321113302974156,0.49228278419535,0.417581206771004,0,0.316492301493222,0.518980272128455,0.118580014189168
NKX6-1,0.867094100936153,1,0.256347824489287,0.469012358951667,0.433065468155111,0,0.33074828597373,0.447050511624377,0.0883258343131476
NKX6-2,0.867094100936153,1,0.256347824489287,0.469012358951667,0.433065468155111,0,0.33074828597373,0.447050511624377,0.0883258343131476
