rank,motif,id,x,y,test,mean_x,mean_y,enrichedIn,pval,FDR,padj,lfdr,family.id,family.name,class.id,class.name,superclass.id,superclass.name
1,NRL,MA0842.1,beta,delta,beta_vs_delta,-0.135189151038623,-1.21556108807631,beta,1.90767484251106e-96,1.1045437338139e-93,1.1045437338139e-93,-92.9568170837961,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
2,Mafb,MA0117.2,beta,delta,beta_vs_delta,-0.0909820011126562,-1.07614705393009,beta,4.43689585762159e-95,1.28448135078145e-92,2.5689627015629e-92,-91.8912721968173,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
3,MAFG,MA0659.1,alpha,gamma,alpha_vs_gamma,0.315756608099219,-1.78373318922379,alpha,2.69612916309255e-75,1.56105878543059e-72,1.56105878543059e-72,-71.8065807422243,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
4,NRL,MA0842.1,alpha,gamma,alpha_vs_gamma,0.366473330791501,-1.58542805318749,alpha,9.12361813783775e-70,2.64128745090403e-67,5.28257490180806e-67,-66.5781843320198,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
5,Mafb,MA0117.2,alpha,gamma,alpha_vs_gamma,0.285593928931533,-1.49115399488936,alpha,4.31585553862283e-65,8.32960118954207e-63,2.49888035686262e-62,-62.0793757915497,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
6,MAFG,MA0659.1,beta,delta,beta_vs_delta,-0.106160126138064,-0.93022729824177,beta,1.33825110001479e-63,1.29141231151427e-61,7.74847386908563e-61,-60.8889350776195,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
7,MAFK,MA0496.2,alpha,gamma,alpha_vs_gamma,0.0207638252782052,-1.9557873079226,alpha,1.24238938627502e-62,1.79835863663309e-60,7.19343454653237e-60,-59.7451236950393,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
8,MAFF,MA0495.2,alpha,gamma,alpha_vs_gamma,0.000277491885963521,-1.94820230508252,alpha,9.80929097453685e-60,1.13591589485137e-57,5.67957947425684e-57,-56.9446538233382,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
9,FOXK1,MA0852.2,beta,delta,beta_vs_delta,0.054794583532727,-0.703984251536813,beta,4.68953756559054e-58,2.46840204588811e-56,2.71524225047692e-55,-55.6075841023008,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
10,NFIC,MA0161.2,beta,delta,beta_vs_delta,0.341440394892112,-0.342715914532698,beta,6.74737242121406e-55,3.25560719323578e-53,3.90672863188294e-52,-52.4873680006198,7.1.2,NF-1,7.1,SMAD/NF-1 DNA-binding domain factors,7,beta-Hairpin exposed by an alpha/beta-scaffold
11,FOXP2,MA0593.1,beta,delta,beta_vs_delta,0.119858491133186,-0.581966728916392,beta,7.65160041405507e-53,3.40790510749068e-51,4.43027663973789e-50,-50.4675125065893,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
