jaspar.id,motif,mean_x,mean_y,pval,test,x,y,enrichedIn,FDR,padj,family.id,family.name,class.id,class.name,superclass.id,superclass.name
MA0490.1,JUNB,8.92323181768943,-0.102456917367928,1.6474051445422e-35,stellate.vs.other,stellate,other,stellate,3.97436491120806e-34,9.53847578689934e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0476.1,FOS,8.91066418493683,-0.107738387992893,9.94296667654822e-36,stellate.vs.other,stellate,other,stellate,2.74141795510544e-34,5.75697770572142e-33,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0478.1,FOSL2,8.90188808215789,-0.0933872247214082,2.66971996427519e-36,stellate.vs.other,stellate,other,stellate,1.10411989951095e-34,1.54576785931533e-33,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0477.1,FOSL1,8.73638679682254,-0.0989048934901511,9.89176331823624e-36,stellate.vs.other,stellate,other,stellate,2.74141795510544e-34,5.72733096125878e-33,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0489.1,JUN(var.2),8.62613185005631,-0.111285637810682,3.89059881636222e-37,stellate.vs.other,stellate,other,stellate,2.04786974061248e-35,2.25265671467373e-34,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,8.60039141420173,-0.107391738341324,2.2982684756245e-35,stellate.vs.other,stellate,other,stellate,5.32278978954634e-34,1.33069744738659e-32,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,8.60039141420173,-0.107391738341324,2.2982684756245e-35,stellate.vs.other,stellate,other,stellate,5.32278978954634e-34,1.33069744738659e-32,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0491.1,JUND,8.56082090193926,-0.104031517490484,9.87746668604152e-36,stellate.vs.other,stellate,other,stellate,2.74141795510544e-34,5.71905321121804e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,8.32907580081695,-0.10745991146929,1.85009971280647e-34,stellate.vs.other,stellate,other,stellate,3.24608404156044e-33,1.07120773371494e-31,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,8.32907580081695,-0.10745991146929,1.85009971280647e-34,stellate.vs.other,stellate,other,stellate,3.24608404156044e-33,1.07120773371494e-31,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0099.3,FOS::JUN,7.9926575176626,-0.100291093301153,5.93116313996349e-36,stellate.vs.other,stellate,other,stellate,2.02008438708168e-34,3.43414345803886e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0099.3,FOS::JUN,7.9926575176626,-0.100291093301153,5.93116313996349e-36,stellate.vs.other,stellate,other,stellate,2.02008438708168e-34,3.43414345803886e-33,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1130.1,FOSL2::JUN,7.95826980362017,-0.0989405104719059,6.6992150458186e-34,stellate.vs.other,stellate,other,stellate,1.10824157472256e-32,3.87884551152897e-31,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
