UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,0.970272894216061,alpha_2
2.1213605,3.5533817,-0.524595238160274,beta_2
2.089698,10.069536,-0.521801433655541,immune
-9.805659,1.1269126,0.201731609852293,alpha_1
8.333635,-0.71902174,0.495531329695242,beta_1
7.030728,-3.5811422,0.990513501341054,beta_1
7.4326005,-2.9926991,0.514644173898188,beta_1
8.100903,-3.3909883,1.16319277329203,beta_1
-7.644358,-1.0879118,-2.25129710212593,alpha_1
7.0127807,-2.9720278,0.271898059741018,beta_1
3.8532014,2.77606,-1.2327250484017,beta_2
-0.2548735,2.0643983,-2.90320845685568,delta_2
-7.523513,-0.2645195,-1.06723608150581,alpha_1
8.399753,-0.5532214,0.893616511531161,beta_1
-8.80484,-2.5318043,-0.104017519042417,alpha_1
-9.545399,-0.6971933,-0.236890069500595,alpha_1
0.18682633,1.3760691,-3,delta_2
-0.19706067,1.3951954,-2.25694371974184,delta_2
-8.599813,-2.7038648,1.11078944204423,alpha_1
-0.021403072,-1.11038,-0.18168153741452,delta_1
-8.650335,-2.317859,-0.579286406626916,alpha_1
0.07814337,0.89461184,-0.676096718131749,delta_2
-9.628777,-1.9380584,0.0945589862077308,alpha_1
-0.03973574,-1.1024127,-0.500372451767317,delta_1
-9.283587,-1.0377162,1.2746395765092,alpha_1
8.02267,-0.1679783,-0.812885413670042,beta_2
0.24900414,-1.0582565,0.303834760213077,delta_1
-8.491583,-1.7144617,-0.762904568290923,alpha_1
-10.347256,0.6269315,0.817841833023982,alpha_1
5.937259,0.2738438,1.70850361547066,beta_2
1.0423777,-1.2872143,0.128846568710896,delta_1
-7.7963347,-0.9682282,-1.80849597677756,alpha_1
8.751668,-1.5316006,-0.0886391918161462,beta_1
-9.521015,-1.3287379,0.495670358933766,alpha_1
-9.202023,1.5364757,0.315243669503976,alpha_1
-0.4197616,2.265155,-2.34982339746623,delta_2
1.12048,-1.3128867,0.573802809705036,delta_1
-7.84118,-1.1428636,-1.59199323547804,alpha_1
8.633101,-1.329578,0.11268769127987,beta_1
-7.2162747,-1.210757,0.321895061517433,alpha_1
-7.211089,-1.4684074,-0.523567600323599,alpha_1
-8.308418,0.15762053,0.349488004558749,alpha_1
8.246129,0.50667375,-0.958871643202401,beta_1
5.843484,-0.9293012,1.11343488156269,beta_2
8.974941,-0.6775067,0.267045117725172,beta_1
-4.922699,1.2882909,0.0846686147700721,alpha_2
8.984592,-2.0593245,2.49661511185665,beta_1
