UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,-1.73781014726508,alpha_2
2.1213605,3.5533817,0.843905477965528,beta_2
2.089698,10.069536,-0.179981529865481,immune
-9.805659,1.1269126,-0.296407624001119,alpha_1
8.333635,-0.71902174,0.274427542632155,beta_1
7.030728,-3.5811422,-0.437221360464322,beta_1
7.4326005,-2.9926991,0.862662975016424,beta_1
8.100903,-3.3909883,0.495156368956033,beta_1
-7.644358,-1.0879118,-2.01574062555078,alpha_1
7.0127807,-2.9720278,0.224881991598594,beta_1
3.8532014,2.77606,0.845167202451223,beta_2
-0.2548735,2.0643983,-0.152450395052281,delta_2
-7.523513,-0.2645195,-0.795132505001032,alpha_1
8.399753,-0.5532214,0.793195415980872,beta_1
-8.80484,-2.5318043,-0.596950545306945,alpha_1
-9.545399,-0.6971933,0.826354178055943,alpha_1
0.18682633,1.3760691,-2.09523073236546,delta_2
-0.19706067,1.3951954,-0.263462698563272,delta_2
-8.599813,-2.7038648,0.37340211945819,alpha_1
-0.021403072,-1.11038,2.46060449537182,delta_1
-8.650335,-2.317859,-0.00144800947578297,alpha_1
0.07814337,0.89461184,0.687443102962891,delta_2
-9.628777,-1.9380584,-0.666076355270322,alpha_1
-0.03973574,-1.1024127,0.363069152316762,delta_1
-9.283587,-1.0377162,-1.8596372933378,alpha_1
8.02267,-0.1679783,0.864233356167743,beta_2
0.24900414,-1.0582565,-0.662893793661326,delta_1
-8.491583,-1.7144617,-1.04252957543738,alpha_1
-10.347256,0.6269315,-2.50528400006466,alpha_1
5.937259,0.2738438,-0.606289867516142,beta_2
1.0423777,-1.2872143,0.046984519463064,delta_1
-7.7963347,-0.9682282,-0.937354018222324,alpha_1
8.751668,-1.5316006,-0.0186031915416219,beta_1
-9.521015,-1.3287379,-0.444296753638522,alpha_1
-9.202023,1.5364757,-0.128531703149195,alpha_1
-0.4197616,2.265155,-0.744222592261905,delta_2
1.12048,-1.3128867,0.227138325697102,delta_1
-7.84118,-1.1428636,-0.60289880170302,alpha_1
8.633101,-1.329578,0.0603286878993028,beta_1
-7.2162747,-1.210757,0.567571810153912,alpha_1
-7.211089,-1.4684074,0.448263749301065,alpha_1
-8.308418,0.15762053,1.24482379132721,alpha_1
8.246129,0.50667375,-0.734001498372367,beta_1
5.843484,-0.9293012,-0.134373484289667,beta_2
8.974941,-0.6775067,-1.61938705220794,beta_1
-4.922699,1.2882909,-0.97959584941413,alpha_2
8.984592,-2.0593245,1.2366255542312,beta_1
5.0701046,2.8273194,-0.20030339353435,beta_2
6.7658725,-4.541393,0.879490739746709,beta_1
-7.288164,8.495864,-1.45597347394595,acinar
-10.12213,-0.35120243,-0.64799269961047,alpha_1
7.6415772,-3.814907,0.130878851417094,beta_1
4.0141487,2.3003762,0.275202759046139,beta_2
6.7572856,-3.2950146,3,beta_1
6.9625173,0.9588478,0.531008072872817,beta_2
5.827504,-1.4829612,-1.64042057839023,beta_2
-0.31335264,1.7168251,1.51622942864024,delta_2
-4.6467414,2.4445472,-0.120586640834095,alpha_2
7.9615865,-0.55532444,-1.64728041819212,beta_2
-7.791639,-2.411005,0.541606105234681,alpha_1
4.892667,0.52741706,1.53437862606648,beta_2
-5.1759005,1.4578193,2.03198832986927,alpha_2
-2.5486915,3.4870582,-0.840772320987932,alpha_2
7.959288,-3.8222065,-0.402528983210141,beta_1
-4.61883,2.1656473,-1.18956951401797,alpha_2
8.003184,0.61445856,0.605426688643593,beta_2
8.51219,-0.513163,1.70094496574318,beta_1
7.138314,-1.7909038,0.826849285993812,beta_1
6.6326227,-2.9013803,1.38036754816364,beta_1
-3.2659976,4.730314,0.244645162905823,alpha_2
-0.38027367,2.107341,1.23865106107415,delta_2
8.316812,-2.570268,2.00289455215422,beta_1
5.6474648,-1.8235463,1.48904375135614,beta_2
6.7757144,-3.0301914,-0.610257051656987,beta_1
5.737269,-1.6020894,1.51705585517936,beta_2
-6.131173,2.0530593,-0.180716545938163,alpha_2
6.192882,-4.1206326,2.0246664753991,beta_1
-7.3422046,-1.7492353,0.452639071016281,alpha_1
-8.740127,-0.66424793,-1.89060918971739,alpha_1
8.593668,-3.938493,1.15702706779706,beta_1
7.8119473,-1.6510684,2.17188434969609,beta_1
8.652991,-2.4337513,2.76785613540735,beta_1
-7.855938,8.385781,-0.675203975883906,ductal
-2.5520186,-1.8607448,0.969468836589812,gamma
7.818936,-3.0514486,2.05741389383502,beta_1
6.793833,-3.4811285,-0.475933731185582,beta_1
-7.486817,-1.2761396,-0.29390570787705,alpha_1
-7.3084264,-1.2080411,-1.46582022761817,alpha_1
4.31428,2.5704315,-0.169372669994829,beta_2
-4.000361,3.2102606,-0.92878816475809,alpha_2
8.87204,-0.8845667,1.52380932847824,beta_1
6.7700753,-2.526638,2.13291935856808,beta_1
-8.162218,0.7835102,-0.228822717765843,alpha_1
4.8162007,2.9828446,0.282891291492431,beta_2
-10.221644,-0.5087496,0.117927403440851,alpha_1
-8.912562,-2.618905,-0.611667428903706,alpha_1
6.745512,-2.1313827,0.292723664647482,beta_1
3.5102556,3.4518614,-0.120736194189484,beta_2
8.643421,-2.195398,0.929559610319904,beta_1
-7.398564,-1.8108959,-2.88965962415182,alpha_1
-8.91406,1.4358062,0.452842095272143,alpha_1
5.675345,-3.5966568,1.77914733195324,beta_1
5.933924,-3.3282835,-0.905967938710038,beta_1
-9.688878,-2.2134156,0.597896622121296,alpha_1
-7.170091,-1.2445563,-1.11102637199433,alpha_1
4.272106,3.2554815,1.67229606439537,beta_2
-0.98985416,1.9991322,-0.609186222278312,delta_2
-10.108716,1.1026143,-0.597976366672358,alpha_1
