UMAP1,UMAP2,zval,cell_type_overall
-5.1023927,1.3868204,1.12701527345904,alpha
-9.805659,1.1269126,-1.01326451306131,alpha
-7.644358,-1.0879118,-0.651766311634744,alpha
-7.523513,-0.2645195,-0.544855324790802,alpha
-8.80484,-2.5318043,1.53964465303533,alpha
-9.545399,-0.6971933,-0.602322692289397,alpha
-8.599813,-2.7038648,-2.41653585623047,alpha
-8.650335,-2.317859,0.719400887225888,alpha
-9.628777,-1.9380584,-0.633483485133947,alpha
-9.283587,-1.0377162,-0.718137795930241,alpha
-8.491583,-1.7144617,0.014416768589631,alpha
-10.347256,0.6269315,-0.456801813612089,alpha
-7.7963347,-0.9682282,-0.157209385328359,alpha
-9.521015,-1.3287379,0.588883683608574,alpha
-9.202023,1.5364757,0.698996121811007,alpha
-7.84118,-1.1428636,0.131170454545924,alpha
-7.2162747,-1.210757,-0.527932508847606,alpha
-7.211089,-1.4684074,-1.05632313835947,alpha
-8.308418,0.15762053,0.615498879898919,alpha
-4.922699,1.2882909,-0.946509514059832,alpha
-10.12213,-0.35120243,-1.31622765026894,alpha
-4.6467414,2.4445472,0.742975669030533,alpha
-7.791639,-2.411005,-0.270636308339204,alpha
-5.1759005,1.4578193,0.60980964103184,alpha
-2.5486915,3.4870582,0.162023942704171,alpha
-4.61883,2.1656473,-1.27615037106295,alpha
-3.2659976,4.730314,-1.58012457151432,alpha
-6.131173,2.0530593,0.514454142108623,alpha
-7.3422046,-1.7492353,0.275715091971586,alpha
-8.740127,-0.66424793,0.0937951964699827,alpha
-2.5520186,-1.8607448,1.09098627209573,gamma
-7.486817,-1.2761396,-0.205173695938791,alpha
-7.3084264,-1.2080411,-0.424504876618026,alpha
-4.000361,3.2102606,0.662648395998358,alpha
-8.162218,0.7835102,-0.886218421469877,alpha
-10.221644,-0.5087496,-0.578878498015076,alpha
-8.912562,-2.618905,-1.58785878281173,alpha
-7.398564,-1.8108959,-1.16362501215123,alpha
-8.91406,1.4358062,-1.1036803948356,alpha
-9.688878,-2.2134156,-0.498702417237504,alpha
-7.170091,-1.2445563,0.730701809711764,alpha
-10.108716,1.1026143,1.42619530889765,alpha
-9.709468,0.9717272,-1.03142335654737,alpha
-4.360313,2.594776,0.0759413490482422,alpha
-9.675761,-1.1240194,-2.5548407841175,alpha
-9.910626,0.3805665,-2.21489804181448,alpha
-8.728428,-0.4618044,-1.17747053012622,alpha
-7.375006,-2.047063,-1.12213740397756,alpha
-7.973892,-1.4402355,0.823802869798766,alpha
-10.086238,-1.073406,0.208885251358386,alpha
-10.3410425,-0.85877377,-1.24272335437626,alpha
-7.298544,-1.4847922,0.88200922480457,alpha
-6.9461055,0.595834,-0.32632267410984,alpha
-9.666243,1.744997,0.898950410514565,alpha
-10.371552,1.5657253,-1.93728003414142,alpha
-5.5301976,1.9273292,-0.898259720528544,alpha
-4.3957467,3.141259,0.584387853084809,alpha
-9.593353,1.8210763,1.17200349100543,alpha
-6.032505,1.6753258,-0.0623861067878468,alpha
-5.3139844,1.8414928,-0.108296815445928,alpha
-7.6707096,-1.3824468,-1.49384847402281,alpha
-2.4882863,3.5874307,-0.304261099392738,alpha
-9.371331,-1.6929306,-0.115021272838263,alpha
-4.895281,1.3976265,0.898384290129249,alpha
-10.191144,-0.23801808,-0.408256598009907,alpha
-3.6139793,3.430024,-0.898546497974996,alpha
-7.646781,-0.1816413,-2.74831328706096,alpha
-7.116072,-1.6308734,-1.23140884001675,alpha
-4.1423817,3.301466,-0.320423028616241,alpha
-9.103379,-1.5450203,0.500476223245907,alpha
-10.300314,1.6628476,1.51736136055189,alpha
-9.707262,1.2327415,1.43075467315109,alpha
-8.55713,-1.9539051,-0.445178250390206,alpha
-7.546826,-0.71356684,-0.94769335914056,alpha
-9.753069,1.2841417,1.2154778921444,alpha
-7.859094,-0.64599735,-1.49658414371338,alpha
-8.044734,-0.033220626,0.313289825302955,alpha
-9.6516075,-1.7979134,-0.107678862228939,alpha
-4.317294,3.1271574,1.0963817891495,alpha
-7.8443027,-0.43381545,-0.25684146955128,alpha
-9.630224,0.84154516,1.1790227906096,alpha
-8.264368,-2.0765898,-2.18020584498911,alpha
-3.3200557,4.6982794,-1.07081777898226,alpha
-3.1494293,4.5993857,-1.30245539239619,alpha
-10.357726,-1.3690745,-0.130339275652132,alpha
-3.4372253,3.6480033,-0.985595628548241,alpha
-3.396379,4.6619673,-1.25447048525417,alpha
-5.0944047,2.0352316,-0.397239928256276,alpha
-10.007995,-1.51942,0.546952439309639,alpha
-9.3766775,-2.369424,-2.18387782891526,alpha
-7.1392746,0.8926823,-1.6101000003947,alpha
-8.52401,-2.4021206,-0.599530212619106,alpha
-2.4818091,3.0880654,-1.4493402011646,alpha
-10.614918,-0.48720437,0.354035248011019,alpha
-8.205127,-2.0713065,0.725701814955577,alpha
-10.873109,0.59279937,0.0813252207576868,alpha
-8.225884,-0.7383254,0.578603788463083,alpha
-7.336874,-0.22601512,-0.625136863468522,alpha
-3.6613395,3.9847472,1.25972287389701,alpha
-9.146223,1.2760397,0.486994649315213,alpha
-8.163808,-2.1049998,0.498959096195606,alpha
-7.304824,0.93943983,-1.38895942090328,alpha
-10.331384,0.51573545,1.43828585500284,alpha
-9.519,1.3357452,0.981422228046603,alpha
-8.237228,-1.785838,-0.475349526943561,alpha
-7.114434,1.0136708,0.556404137022133,alpha
-8.663087,-2.059006,0.589477509038857,alpha
-7.1846333,-0.23845185,-0.153824481063304,alpha
-9.433323,-2.1293504,-0.659856699406135,alpha
-3.5619113,3.1359603,-0.247014328604138,alpha
-8.058988,-2.1932847,1.26367837040688,alpha
-8.349038,-0.3808567,-0.943604223673244,alpha
-7.9709477,-2.1293502,-0.308347724820209,alpha
-4.0348153,3.3147051,-1.59992829878582,alpha
-9.508471,0.9012061,-0.743802562611291,alpha
-10.372022,-1.0760086,-0.214880461748239,alpha
-9.042878,0.20001596,-2.88568715807415,alpha
-9.9545145,0.9927573,-1.44285889023863,alpha
-8.539578,-2.3695915,-1.42439861547947,alpha
-9.01187,-1.004549,-1.42839941162633,alpha
-7.520162,-1.8878956,-2.07192229445893,alpha
-9.375886,1.390116,0.848125378236485,alpha
-7.921012,0.41563866,-2.40513082867889,alpha
-9.285163,-1.0286667,0.953306556111214,alpha
-8.40592,0.86825055,-0.107623123427792,alpha
-8.168047,-0.74941,-0.717371575269369,alpha
-8.514221,-1.677165,-0.469622013713558,alpha
-7.2415223,-0.49057716,-0.863344057685872,alpha
-6.81374,0.031576447,-0.711201052050013,alpha
-9.525447,-0.67008877,-0.513838839673372,alpha
-6.847661,0.022859238,-0.758570579280602,alpha
-7.514285,1.3097795,0.189045721451094,alpha
-10.166571,0.25286785,-0.221657034059134,alpha
-2.4958038,-2.4268909,1.66903237136661,gamma
-5.429863,2.4980466,1.47937145956,alpha
-3.9018729,2.4986274,-0.115431658597423,alpha
-10.156094,-1.0469458,0.00839000706789936,alpha
-3.560343,4.0240483,-1.89339968170934,alpha
-7.4476247,1.3834404,-1.24163161832322,alpha
-10.020174,-1.7432194,-0.201859570467479,alpha
-7.345814,-1.510881,0.376636680083071,alpha
-9.031613,-2.7254708,0.694695212702476,alpha
-8.732606,-1.0569222,-0.58340331544352,alpha
-3.2885716,4.500113,-0.0271655042989885,alpha
-7.4809165,-1.2201833,-1.06909100317713,alpha
-11.031488,0.14881895,0.307043582954644,alpha
-9.472835,-1.7750324,0.943650635165278,alpha
-8.890053,0.33258924,0.297051501713646,alpha
-7.3102007,-0.9086482,0.517133033199452,alpha
-6.9029493,-0.4061288,-2.59966287714529,alpha
-10.134002,-0.36824587,-1.02220128451753,alpha
-7.8857517,-1.2324787,-2.0705852903554,alpha
