UMAP1,UMAP2,zval,cell_type_overall
-5.1023927,1.3868204,-0.194324673006834,alpha
-9.805659,1.1269126,-0.422092714827374,alpha
-7.644358,-1.0879118,-0.746008691443101,alpha
-7.523513,-0.2645195,-1.81055903924052,alpha
-8.80484,-2.5318043,-0.608007890332084,alpha
-9.545399,-0.6971933,0.444891644217378,alpha
-8.599813,-2.7038648,-1.13816625300049,alpha
-8.650335,-2.317859,-2.26962818256723,alpha
-9.628777,-1.9380584,-2.10108624796317,alpha
-9.283587,-1.0377162,0.299340005922208,alpha
-8.491583,-1.7144617,0.922950016263395,alpha
-10.347256,0.6269315,0.337318488108932,alpha
-7.7963347,-0.9682282,-0.390822948825922,alpha
-9.521015,-1.3287379,-0.658252118739664,alpha
-9.202023,1.5364757,-1.11588109876389,alpha
-7.84118,-1.1428636,-0.718623398183409,alpha
-7.2162747,-1.210757,-0.174084265264052,alpha
-7.211089,-1.4684074,-2.37293652630591,alpha
-8.308418,0.15762053,0.511790475416819,alpha
-4.922699,1.2882909,-0.105570640164696,alpha
-10.12213,-0.35120243,-0.973892610463814,alpha
-4.6467414,2.4445472,-0.353252191056061,alpha
-7.791639,-2.411005,-2.55213675151036,alpha
-5.1759005,1.4578193,-0.748224808595892,alpha
-2.5486915,3.4870582,1.52003262719967,alpha
-4.61883,2.1656473,0.0956682105034216,alpha
-3.2659976,4.730314,-1.25450994643671,alpha
-6.131173,2.0530593,-0.754640241882731,alpha
-7.3422046,-1.7492353,0.364509601677881,alpha
-8.740127,-0.66424793,-1.25947406711362,alpha
-2.5520186,-1.8607448,-2.9185796350457,gamma
-7.486817,-1.2761396,0.130868943983944,alpha
-7.3084264,-1.2080411,-2.19373843966831,alpha
-4.000361,3.2102606,1.22370749010635,alpha
-8.162218,0.7835102,-0.557109445701185,alpha
-10.221644,-0.5087496,-0.0486679252970777,alpha
-8.912562,-2.618905,3.67751300371092,alpha
-7.398564,-1.8108959,0.257564868672971,alpha
-8.91406,1.4358062,0.380333839690622,alpha
-9.688878,-2.2134156,1.25099016593304,alpha
-7.170091,-1.2445563,-1.56411343850836,alpha
-10.108716,1.1026143,2.14971721433948,alpha
-9.709468,0.9717272,1.7027189642869,alpha
-4.360313,2.594776,0.778923967688941,alpha
-9.675761,-1.1240194,3.8858716423589,alpha
-9.910626,0.3805665,1.08888509336775,alpha
-8.728428,-0.4618044,-1.57066832678216,alpha
-7.375006,-2.047063,0.848850215884496,alpha
-7.973892,-1.4402355,-1.31580369627113,alpha
-10.086238,-1.073406,0.159104989162675,alpha
-10.3410425,-0.85877377,2.2918455728343,alpha
-7.298544,-1.4847922,0.341515053500094,alpha
-6.9461055,0.595834,-2.22983438710827,alpha
-9.666243,1.744997,-1.43202408014293,alpha
-10.371552,1.5657253,-0.17482335478412,alpha
-5.5301976,1.9273292,-1.12889271327389,alpha
-4.3957467,3.141259,-0.725853530948483,alpha
-9.593353,1.8210763,-1.56286821670135,alpha
-6.032505,1.6753258,0.360961595161207,alpha
-5.3139844,1.8414928,-0.720326424788441,alpha
-7.6707096,-1.3824468,-1.72855641010442,alpha
-2.4882863,3.5874307,3.36140704785243,alpha
-9.371331,-1.6929306,0.317855883693498,alpha
-4.895281,1.3976265,0.744941335195531,alpha
-10.191144,-0.23801808,-1.67146210968181,alpha
-3.6139793,3.430024,0.981991364447226,alpha
-7.646781,-0.1816413,-1.8987418937596,alpha
-7.116072,-1.6308734,0.61253670761814,alpha
-4.1423817,3.301466,-2.77512507132828,alpha
-9.103379,-1.5450203,0.529719496418451,alpha
-10.300314,1.6628476,0.783189821228204,alpha
-9.707262,1.2327415,0.689662769053439,alpha
-8.55713,-1.9539051,-1.99105102702076,alpha
-7.546826,-0.71356684,0.166107649077567,alpha
-9.753069,1.2841417,1.298602178176,alpha
-7.859094,-0.64599735,1.53641508767038,alpha
-8.044734,-0.033220626,0.458649322041665,alpha
-9.6516075,-1.7979134,-1.20102552648672,alpha
-4.317294,3.1271574,0.476588401595248,alpha
-7.8443027,-0.43381545,-1.11654753130599,alpha
-9.630224,0.84154516,-1.24356582248274,alpha
-8.264368,-2.0765898,-0.484199554722577,alpha
-3.3200557,4.6982794,-0.0823044432469085,alpha
