UMAP1,UMAP2,zval,cell_type_overall
2.1213605,3.5533817,1.84987544259215,beta
8.333635,-0.71902174,-1.50802311186328,beta
7.030728,-3.5811422,-1.25637613486691,beta
7.4326005,-2.9926991,-0.617733183010002,beta
8.100903,-3.3909883,-0.269729658570177,beta
7.0127807,-2.9720278,0.0332809387767147,beta
3.8532014,2.77606,-1.45783391933466,beta
-0.2548735,2.0643983,0.603443879674827,delta
8.399753,-0.5532214,-0.664113543394542,beta
0.18682633,1.3760691,1.71391576427336,delta
-0.19706067,1.3951954,-0.704377475046304,delta
-0.021403072,-1.11038,2.64125737414345,delta
0.07814337,0.89461184,0.155086846230142,delta
-0.03973574,-1.1024127,0.276611004853845,delta
8.02267,-0.1679783,1.43580305648008,beta
0.24900414,-1.0582565,2.35244487287951,delta
5.937259,0.2738438,0.228481493450463,beta
1.0423777,-1.2872143,1.5238896506805,delta
8.751668,-1.5316006,0.685804451963116,beta
-0.4197616,2.265155,-0.0856577732212523,delta
1.12048,-1.3128867,0.999150241070531,delta
8.633101,-1.329578,-1.28332593646825,beta
8.246129,0.50667375,-0.620347078686995,beta
5.843484,-0.9293012,0.53495209164194,beta
8.974941,-0.6775067,0.722995249561258,beta
8.984592,-2.0593245,-1.18099646471957,beta
5.0701046,2.8273194,1.55728055745021,beta
6.7658725,-4.541393,-1.68967022959895,beta
7.6415772,-3.814907,-1.21759243025086,beta
4.0141487,2.3003762,0.1630601108575,beta
6.7572856,-3.2950146,-0.233592698542747,beta
6.9625173,0.9588478,-1.4319541540368,beta
5.827504,-1.4829612,0.369184394145896,beta
-0.31335264,1.7168251,-0.902767272653274,delta
7.9615865,-0.55532444,0.474627215640049,beta
4.892667,0.52741706,-1.16993334589452,beta
7.959288,-3.8222065,-1.17877226947907,beta
8.003184,0.61445856,-0.150349937519747,beta
8.51219,-0.513163,0.89787904380438,beta
7.138314,-1.7909038,-0.861245155780131,beta
6.6326227,-2.9013803,-1.88261186458827,beta
-0.38027367,2.107341,1.12878394941998,delta
8.316812,-2.570268,0.710010730661131,beta
5.6474648,-1.8235463,0.722045840011433,beta
6.7757144,-3.0301914,0.265321526810959,beta
5.737269,-1.6020894,0.724397118547746,beta
6.192882,-4.1206326,-0.61347119733908,beta
8.593668,-3.938493,-1.5543845861954,beta
7.8119473,-1.6510684,-2.13190639204871,beta
8.652991,-2.4337513,-0.753948784918068,beta
7.818936,-3.0514486,0.879350403634199,beta
6.793833,-3.4811285,0.810833262088069,beta
4.31428,2.5704315,-0.495931028826038,beta
8.87204,-0.8845667,0.282646523087751,beta
6.7700753,-2.526638,1.15116978566808,beta
4.8162007,2.9828446,0.840491406162146,beta
6.745512,-2.1313827,-1.09586105798839,beta
3.5102556,3.4518614,-0.445697131163675,beta
8.643421,-2.195398,-1.04272683881387,beta
5.675345,-3.5966568,-0.801467363420558,beta
5.933924,-3.3282835,1.91429760413683,beta
4.272106,3.2554815,0.724867373727502,beta
-0.98985416,1.9991322,1.23098195558549,delta
7.5181546,1.2280372,-1.91763290600276,beta
8.841546,-1.0863501,-1.12087997869691,beta
-0.94744253,1.9986551,0.203375834955263,delta
4.782824,2.7192082,0.658494423135849,beta
5.011549,0.059122786,0.923187192009166,beta
6.1271152,-3.7984428,1.29254964755362,beta
8.78737,-0.24178618,-1.50056888059249,beta
6.380873,-2.414176,-1.45355379022872,beta
7.4332504,-2.2515025,1.28652404901702,beta
6.375552,-3.1026077,0.654010365673951,beta
9.012188,-1.0216713,-0.513009210032561,beta
7.5745087,-3.8071704,-0.783295260573516,beta
-0.043634817,1.3254689,0.140304276677482,delta
8.712,-1.4385668,-0.883380342133327,beta
7.334743,-4.252082,-1.51167375490011,beta
7.9375176,-1.8407152,0.32798633598615,beta
8.563792,-1.1817094,-0.439683464739572,beta
9.675642,-1.3041422,1.2938391519636,beta
8.52561,-4.056625,-2.58190181497152,beta
7.671673,-3.211888,-0.229413035986906,beta
8.712908,-2.7303624,-1.75318889271305,beta
9.340434,-1.0380365,0.877676041345306,beta
8.729992,-3.8902102,-2.53989042224986,beta
-0.6769928,-0.24898998,0.893271919908441,delta
8.898049,-0.8946693,0.251669971424773,beta
9.267252,-2.8338041,-0.725786742516275,beta
5.7687078,0.9892482,0.0609646018149079,beta
0.02424571,1.0492387,0.56536337173821,delta
9.23605,-2.8542454,1.44550874816577,beta
7.318273,-3.415284,0.733516771118465,beta
8.960629,-3.7633548,-0.998307090446393,beta
7.3019686,-2.0603542,-0.646975019426914,beta
6.5926123,-2.7327929,2.27755160196223,beta
7.020975,-3.9396167,-1.91197233403119,beta
9.451615,-2.8128526,1.19942374515579,beta
-0.30444416,-0.28166062,1.03185966185426,delta
5.6895814,0.028801363,1.38489288580262,beta
6.274025,-1.0776864,-0.800511812346732,beta
6.0413656,-2.838148,-1.28025251975264,beta
-0.6423212,2.4888513,3.62497209033843,delta
8.544123,-1.448854,-0.267433582935477,beta
2.9229991,2.1897209,1.13150541418726,beta
6.3776126,-4.112003,-0.868936462025706,beta
0.36023012,-0.8542309,1.89873922793214,delta
6.4151692,-1.6846968,0.589818739058658,beta
6.4463515,1.9431329,1.1059726232529,beta
4.2951517,2.363829,0.546729541133255,beta
9.101496,-2.7835484,-0.808415003310155,beta
7.511976,-3.9552097,-1.5274894226067,beta
7.7566595,-4.1441374,-0.409689451586704,beta
9.280139,-0.6451091,0.736000495555356,beta
7.3907743,-3.5003543,0.212124878732496,beta
9.180004,-0.47596562,0.930015773634572,beta
7.5089335,-3.5997841,-0.0246219349086177,beta
6.308975,-3.7460783,1.03999699980032,beta
1.0194141,3.5174973,-1.57956552350762,beta
