motif,motif.1,lfdr,enrichedIn
MAFG,1,-71.8065807422243,alpha
NRL,2,-66.5781843320198,alpha
Mafb,3,-62.0793757915497,alpha
MAFK,4,-59.7451236950393,alpha
MAFF,5,-56.9446538233382,alpha
NEUROD2,6,-29.705577472236,alpha
Atoh1,7,-28.8074408323906,alpha
OLIG1,8,-26.5632242874296,alpha
BHLHE22,9,-25.6539139023725,alpha
BHLHE23,10,-24.3353268293056,alpha
Twist2,11,-24.1286388732223,alpha
OLIG2,12,-22.8515635886857,alpha
OLIG3,13,-22.0655293685105,alpha
NR2F1,14,-21.3673579877399,alpha
Neurog1,15,-20.2584619186218,alpha
BACH2,16,-18.7702935953404,alpha
Bach1::Mafk,17,-18.7457874136258,alpha
Bhlha15,18,-17.1424786756071,alpha
NR2F2,19,-16.6560607463422,alpha
MAF::NFE2,20,-16.5034272182464,alpha
Nfe2l2,21,-15.7860399262143,alpha
NEUROG2,22,-13.3714602409409,alpha
Arnt,23,-13.0773914505018,alpha
USF1,24,-12.7858003960833,alpha
HLTF,25,-12.4261074942629,alpha
NR4A1,26,-11.651509211478,alpha
PKNOX1,27,-10.9889478067628,alpha
NR1H2::RXRA,28,-10.8040920768744,alpha
Srebf1(var.2),29,-10.8040920768744,alpha
FOSL1,30,-10.2278337664976,alpha
DMRT3,31,-9.72349374668079,alpha
PBX2,32,-9.14135211888486,alpha
Nr2f6(var.2),33,-9.12024552394659,alpha
BHLHE40,34,-9.12024552394659,alpha
TAL1::TCF3,35,-9.06766336127176,alpha
Klf12,36,-9.05508873171576,alpha
NFKB1,37,-8.53217754999018,alpha
FOS,38,-8.4969804097293,alpha
PBX3,39,-8.46998127218816,alpha
MAFG::NFE2L1,40,-8.43647951516314,alpha
KLF14,41,-8.27572622557343,alpha
FOSL2,42,-8.18197474051122,alpha
Arntl,43,-8.07653573555176,alpha
TFEB,44,-8.02505563170638,alpha
JUND,45,-8.02423632813627,alpha
MYC,46,-7.92763452802163,alpha
TFEC,47,-7.57630908178941,alpha
Nr2f6,48,-7.517076064072,alpha
JUN(var.2),49,-7.5075653322996,alpha
JUNB,50,-7.46356335323876,alpha
NFKB2,51,-7.45989954752206,alpha
FOSL1::JUN,52,-7.24872405698054,alpha
TFE3,53,-7.22366580923214,alpha
KLF13,54,-7.11358973887444,alpha
SREBF1,55,-7.10616681631048,alpha
TWIST1,56,-7.06510052159176,alpha
ZBTB18,57,-7.0598479734885,alpha
FOS::JUND,58,-7.0233682106395,alpha
FOSL1::JUNB,59,-7.01974961987243,alpha
BATF::JUN,60,-6.86908657033216,alpha
Npas2,61,-6.84588782024319,alpha
MLXIPL,62,-6.72374060521911,alpha
TCF4,63,-6.72374060521911,alpha
PPARA::RXRA,64,-6.58937352244973,alpha
FOS::JUN,65,-6.52001744681603,alpha
MNT,66,-6.43726506909156,alpha
SP8,67,-6.42822000366226,alpha
MXI1,68,-6.39781227127728,alpha
FOSL2::JUN,69,-6.3564988429285,alpha
NR4A2,70,-6.31991476849444,alpha
FOSL1::JUND,71,-6.25225168299966,alpha
NFE2,72,-6.19391701022705,alpha
FOS::JUNB,73,-6.14797681859708,alpha
FOXB1,74,-6.13518322076612,alpha
Id2,75,-6.06402598465512,alpha
JUN::JUNB,76,-6.04755521161952,alpha
FOSL2::JUND,77,-6.02183374498318,alpha
SREBF2(var.2),78,-5.90179496653446,alpha
FOSB::JUNB,79,-5.8915952407106,alpha
GATA3,80,-5.83424507473041,alpha
FOSL2::JUNB,81,-5.82416577753113,alpha
USF2,82,-5.8012404683917,alpha
RXRB,83,-5.75844255808909,alpha
BHLHE41,84,-5.75798386389293,alpha
GATA2,85,-5.72254781183735,alpha
NFYB,86,-5.60610637863788,alpha
POU2F1,87,-5.50100763752699,alpha
Rarg,88,-5.48112007040689,alpha
