motif,motif.1,lfdr,enrichedIn
NRL,1,-92.9568170837961,beta
Mafb,2,-91.8912721968173,beta
MAFG,3,-60.8889350776195,beta
FOXK1,4,-55.6075841023008,beta
NFIC,5,-52.4873680006198,beta
FOXP2,6,-50.4675125065893,beta
FOXK2,7,-49.1129128466559,beta
FOXI1,8,-48.7346048422713,beta
FOXL1,9,-48.7346048422713,beta
FOXD2,10,-48.7346048422713,beta
FOXO4,11,-48.7346048422713,beta
FOXO6,12,-48.7346048422713,beta
FOXP3,13,-48.7346048422713,beta
FOXD1,14,-48.1242679468297,beta
FOXO3,15,-48.1242679468297,beta
FOXG1,16,-45.0146587587447,beta
Foxj2,17,-45.0146587587447,beta
FOXP1,18,-44.2255299809219,beta
Foxj3,19,-41.0049621428957,beta
FOXC2,20,-38.0202468353498,beta
FOXC1,21,-36.1711812638297,beta
Foxo1,22,-34.8795575979645,beta
GLIS3,23,-28.0422575152877,beta
Foxa2,24,-25.2434538638345,beta
Foxd3,25,-24.8441372966954,beta
FOXF2,26,-24.4359161132386,beta
FOXB1,27,-24.0752933135254,beta
NFIA,28,-22.9176360281068,beta
NFATC2,29,-21.7682403897469,beta
Nr5a2,30,-21.649642863414,beta
Esrrg,31,-21.4298998603071,beta
GLIS2,32,-20.8948916157265,beta
FOXA1,33,-20.0848104413016,beta
MEF2B,34,-17.1763546346738,beta
ESRRB,35,-17.1139307427518,beta
MAFK,36,-16.9894464430769,beta
NFIX,37,-16.5729400703271,beta
MAFF,38,-16.349886355051,beta
ZIC4,39,-16.1160979774317,beta
MEF2C,40,-15.8892097481801,beta
PKNOX1,41,-14.9819066079181,beta
NR2F1,42,-14.8971430635584,beta
NKX2-8,43,-14.0769042016349,beta
Nkx2-5(var.2),44,-14.0019999648493,beta
MEF2D,45,-13.0669321457561,beta
Nr2e1,46,-12.5671191482897,beta
PKNOX2,47,-12.4711135486382,beta
MEF2A,48,-12.3243222207858,beta
TGIF2,49,-11.767445146649,beta
TGIF1,50,-11.6037618425064,beta
Hic1,51,-11.5783853748626,beta
NR4A2,52,-11.1663558368859,beta
NR2F2,53,-9.67976958135157,beta
ZIC3,54,-9.01793576111854,beta
Zfx,55,-8.91225264294541,beta
Pax6,56,-8.40834352998533,beta
Esrra,57,-7.41288458554544,beta
Foxq1,58,-6.61348061945197,beta
Tcf12,59,-6.17787284328978,beta
HOXB13,60,-6.10392442844379,beta
Myog,61,-5.98165329278102,beta
NFAT5,62,-5.88284843355628,beta
ZIC1,63,-5.88071043296191,beta
SIX1,64,-5.78079541985256,beta
NFATC1,65,-5.74713512531273,beta
Rarg(var.2),66,-5.55698127315865,beta
Ascl2,67,-5.31577635248327,beta
MXI1,68,-4.88949767825618,beta
MAX::MYC,69,-4.69318226187274,beta
TFAP4,70,-4.68708456234,beta
HOXA13,71,-4.68336711026028,beta
CREB3L1,72,-4.66936508793503,beta
ONECUT3,73,-4.65290765316205,beta
TFAP2C(var.2),74,-4.53315265048868,beta
Arid5a,75,-4.43548467145187,beta
ASCL1,76,-4.39932445337552,beta
TFAP2A(var.2),77,-4.29095842847746,beta
Nr1h3::Rxra,78,-4.26177344371595,beta
TFE3,79,-4.23474821061009,beta
ONECUT2,80,-4.12313900983748,beta
NR1A4::RXRA,81,-4.12236897370007,beta
PROX1,82,-4.11909535438266,beta
NFATC3,83,-4.11464079851128,beta
Gfi1b,84,-3.94604413213683,beta
Srebf1(var.2),85,-3.94415426331565,beta
ZNF384,86,-3.88980777092998,beta
ESR1,87,-3.8074218204552,beta
MYC,88,-3.80045860988651,beta
REST,89,-3.6674837912843,beta
Myod1,90,-3.58326982363122,beta
MYCN,91,-3.53829956050226,beta
RARA(var.2),92,-3.34909538445338,beta
NEUROD1,93,-3.28564930089713,beta
NR4A2::RXRA,94,-3.06564453433841,beta
FOXH1,95,-2.92000870067273,beta
TWIST1,96,-2.90646140454251,beta
RHOXF1,97,-2.88079284053344,beta
TP73,98,-2.83857098057755,beta
SMAD2::SMAD3::SMAD4,99,-2.83618123172804,beta
NR1H4,100,-2.7836052431372,beta
MTF1,101,-2.76352431873272,beta
MNT,102,-2.603152457748,beta
Znf423,103,-2.50411904427851,beta
USF1,104,-2.41465822316316,beta
PLAG1,105,-2.39534630656415,beta
NR4A1,106,-2.36511807727907,beta
GSC2,107,-2.27653079066373,beta
Sox5,108,-2.26907490860422,beta
HEY1,109,-2.23049326895015,beta
TP53,110,-2.19592263641867,beta
EBF1,111,-2.14365030506376,beta
TFAP2A,112,-2.10942590742358,beta
TEF,113,-2.10535075683549,beta
RXRA::VDR,114,-2.01680673927714,beta
GBX2,330,2.03554163756989,delta
EGR1,331,2.03841064929571,delta
MAF::NFE2,332,2.05163160277575,delta
E2F8,333,2.05541998231064,delta
ISX,334,2.07019712947003,delta
Prrx2,335,2.07019712947003,delta
LHX9,336,2.07019712947003,delta
RAX2,337,2.07019712947003,delta
Shox2,338,2.07019712947003,delta
Dlx3,339,2.07019712947003,delta
Sox3,340,2.10535075683549,delta
DUX4,341,2.10942590742358,delta
KLF4,342,2.15654178002215,delta
TCF7L1,343,2.17989148162928,delta
ZNF263,344,2.23055140537699,delta
TBX4,345,2.23417648123454,delta
TBX5,346,2.23417648123454,delta
ZNF143,347,2.33587270921396,delta
RELA,348,2.34008558072734,delta
Dux,349,2.41844830629852,delta
Crem,350,2.4341710701988,delta
SOX10,351,2.44104690568279,delta
RUNX2,352,2.47567898963428,delta
KLF9,353,2.50721610506632,delta
ARNT::HIF1A,354,2.51281825277444,delta
MYF6,355,2.63878460603951,delta
TBX1,356,2.74507052650265,delta
SP8,357,2.76166792812559,delta
Pax2,358,2.81838417651644,delta
TBX20,359,2.83240678862018,delta
Phox2b,360,2.85628035293202,delta
EOMES,361,2.86574314560931,delta
EGR2,362,2.91513143207311,delta
TEAD3,363,2.91682741434301,delta
SP2,364,2.95125024057153,delta
Barhl1,365,2.95125024057153,delta
BATF3,366,2.9867418954221,delta
SP1,367,2.99833845485231,delta
KLF14,368,3.0383286588559,delta
GSX1,369,3.04576851220958,delta
MZF1(var.2),370,3.0685851149161,delta
CREB1,371,3.07478905189176,delta
GRHL2,372,3.10767539230122,delta
OTX2,373,3.11458248725704,delta
TBX21,374,3.17188554886591,delta
HOXA2,375,3.22779663388432,delta
NOTO,376,3.23755147463436,delta
ZBTB7C,377,3.30670973377023,delta
FEV,378,3.42095509478909,delta
MIXL1,379,3.43524362655621,delta
TCF7L2,380,3.48896800104972,delta
E2F7,381,3.50084857023043,delta
RUNX1,382,3.51118165443438,delta
Atf3,383,3.52747661604785,delta
Nfe2l2,384,3.53829956050226,delta
RFX5,385,3.53911196672095,delta
VENTX,386,3.57068666836883,delta
PPARG,387,3.57896802734565,delta
HOXC10,388,3.67466418085421,delta
Hoxa11,389,3.6814070388069,delta
POU5F1,390,3.68814977499787,delta
MGA,391,3.76346241558576,delta
TBX15,392,3.76346241558576,delta
HIF1A,393,3.76960454127499,delta
GLI2,394,3.79627024407945,delta
FOSL1::JUND(var.2),395,3.80044280690668,delta
ELK3,396,3.80650170575618,delta
RORB,397,3.80650170575618,delta
SP3,398,3.81310063213635,delta
BACH2,399,3.89639511012777,delta
TBR1,400,3.92080472046983,delta
Arid3a,401,3.9533131627205,delta
ZNF354C,402,3.96176929282099,delta
PBX1,403,3.98692704081374,delta
NR1H2::RXRA,404,4.03453282085489,delta
HOXD11,405,4.10249035433908,delta
MEOX1,406,4.14647664593907,delta
TBX2,407,4.15043633096778,delta
Nr2f6,408,4.15830102961361,delta
RFX2,409,4.17554129728273,delta
OLIG2,410,4.22289295213719,delta
RFX3,411,4.22289295213719,delta
Crx,412,4.23474821061009,delta
POU1F1,413,4.39436759048717,delta
TEAD1,414,4.41510965693091,delta
KLF13,415,4.42510634119455,delta
RFX4,416,4.45099696783939,delta
FOSL2::JUN(var.2),417,4.48439498657977,delta
Spz1,418,4.63412035342114,delta
RORA(var.2),419,4.64397639255526,delta
POU2F2,420,4.68713142264585,delta
HOXC11,421,4.72985313813458,delta
Dlx2,422,4.75880346337352,delta
Tcf7,423,4.78811343145877,delta
FOSB::JUN,424,4.80018596615905,delta
MAFG::NFE2L1,425,4.80451758791691,delta
PBX3,426,4.81618638295438,delta
Nobox,427,4.88856715892629,delta
EGR3,428,4.89938539595232,delta
TEAD4,429,4.90661999880131,delta
JDP2(var.2),430,4.96160496500251,delta
RUNX3,431,4.96879841348235,delta
FOSL2::JUND(var.2),432,5.11771796972957,delta
LHX6,433,5.11822308208294,delta
LEF1,434,5.15336414963027,delta
MEOX2,435,5.19984305521345,delta
Arid3b,436,5.22488997124405,delta
Rxra,437,5.23195094929819,delta
SNAI2,438,5.26552715464246,delta
TEAD2,439,5.42757556726662,delta
KLF16,440,5.52889931442775,delta
FOSB::JUNB(var.2),441,5.55974579260665,delta
HMBOX1,442,5.62470285846208,delta
POU4F2,443,5.72994581588541,delta
Hmx3,444,5.75430587637818,delta
POU4F1,445,5.80426162873699,delta
POU3F3,446,5.86239873264204,delta
FOSL1::JUN(var.2),447,5.87185567235312,delta
MNX1,448,5.92848883599262,delta
Rfx1,449,5.97429530183706,delta
POU4F3,450,6.04157442548296,delta
Sox6,451,6.05708861580443,delta
GSX2,452,6.17787284328978,delta
Twist2,453,6.25630365635481,delta
Atoh1,454,6.25719846365221,delta
Hmx1,455,6.25726206706679,delta
RXRB,456,6.27054566804326,delta
BHLHE22,457,6.42162681084522,delta
FLI1,458,6.4447260683143,delta
EMX1,459,6.46028249225026,delta
RORC,460,6.55009964635948,delta
JUNB(var.2),461,6.59719639728782,delta
OLIG1,462,6.61348061945197,delta
ATF7,463,6.63296179560936,delta
NEUROD2,464,6.67427476030308,delta
JUN::JUNB(var.2),465,6.70355429643031,delta
BHLHE23,466,6.75726387168676,delta
BARX1,467,6.76371266549039,delta
Creb5,468,6.81234118426365,delta
VAX1,469,6.85075120710066,delta
VAX2,470,6.85075120710066,delta
FOSL2::JUNB(var.2),471,6.87578419008483,delta
RXRG,472,6.90047806799662,delta
Hoxb5,473,6.90047806799662,delta
HLTF,474,6.90365843316082,delta
PAX7,475,6.94676351978723,delta
Mecom,476,7.11835270298444,delta
ERF,477,7.13056243495585,delta
IRF5,478,7.31786745490151,delta
OLIG3,479,7.38559725016404,delta
POU3F2,480,7.43004833023039,delta
PPARA::RXRA,481,7.50561657559049,delta
Pparg::Rxra,482,7.60086788602332,delta
IRF1,483,7.81154202402325,delta
ZNF24,484,7.84019119260807,delta
SOX13,485,7.96619857919787,delta
FIGLA,486,7.972016697387,delta
LMX1A,487,7.98600988654733,delta
LMX1B,488,7.98600988654733,delta
Lhx4,489,7.98600988654733,delta
UNCX,490,7.98600988654733,delta
Gabpa,491,8.00181271754026,delta
NKX6-1,492,8.12317949597509,delta
NKX6-2,493,8.12317949597509,delta
HOXB2,494,8.21668030637806,delta
SPDEF,495,8.72903011449324,delta
FOS::JUN(var.2),496,8.76367843313568,delta
NFYB,497,9.11333693520151,delta
STAT1::STAT2,498,9.21283548503542,delta
ESX1,499,9.23064150011125,delta
Bhlha15,500,9.35624880752532,delta
Hoxd3,501,9.82260820447927,delta
Arx,502,10.0647476865252,delta
Hoxa9,503,10.1540858384521,delta
ERG,504,10.1823558802244,delta
POU2F1,505,10.2303924245265,delta
NFYA,506,10.3192136435947,delta
HESX1,507,10.9374744036018,delta
NFE2,508,11.136872516264,delta
RAX,509,11.4189541376526,delta
HOXB3,510,11.4473459072628,delta
PAX3,511,11.6324655965721,delta
Nkx2-5,512,11.678177857308,delta
ETS1,513,11.9400172260647,delta
SPIB,514,12.0134068563467,delta
Alx4,515,12.1733437539364,delta
BATF::JUN,516,12.2052164747794,delta
POU3F1,517,12.3770065256543,delta
JUN::JUNB,518,12.8728281104909,delta
FOSL1,519,13.1783892274158,delta
FOSL1::JUNB,520,13.3949794735751,delta
FOSL2::JUN,521,13.4962943117751,delta
FOS::JUNB,522,13.6419813842154,delta
FOSL1::JUN,523,13.6842268501318,delta
FOS,524,13.9020619904261,delta
IRF7,525,13.9485273005324,delta
JUND,526,13.9637519658489,delta
FOSL2::JUND,527,14.0819427447586,delta
FOSL2::JUNB,528,14.1788775820493,delta
Lhx3,529,14.1870727399084,delta
FOSL1::JUND,530,14.2231503620608,delta
JDP2,531,14.292413278151,delta
mix-a,532,14.4028215969752,delta
FOS::JUN,533,14.4107693272015,delta
FOSL2,534,14.5440572403521,delta
FOS::JUND,535,14.6032780135811,delta
JUN(var.2),536,14.8442706511902,delta
Alx1,537,14.8866914881164,delta
FOSB::JUNB,538,14.9587921832281,delta
JUNB,539,15.0478185743941,delta
POU3F4,540,15.1034979920253,delta
ELK4,541,15.6279743122814,delta
IRF2,542,16.1051231542867,delta
ISL2,543,16.5263824065686,delta
Neurog1,544,16.7087192766843,delta
Sox2,545,16.8126650906536,delta
NKX3-2,546,17.2514929779361,delta
Pou2f3,547,18.2241074782748,delta
IRF3,548,18.6385767743289,delta
SPI1,549,18.9410356228103,delta
POU6F1,550,20.113306341603,delta
POU5F1B,551,20.1251094101092,delta
ZBTB7A,552,22.1259100431215,delta
PRDM1,553,22.3720165158328,delta
Hoxd8,554,23.0849188980184,delta
IRF9,555,23.1050297853563,delta
IRF8,556,24.5260795778587,delta
Nkx3-1,557,26.2793104690362,delta
IRF4,558,27.9731144872122,delta
HNF4G,559,28.6653104904756,delta
ELF1,560,30.0721135793055,delta
GATA1::TAL1,561,30.3594417732017,delta
ETV6,562,32.1301406641842,delta
ETV2,563,32.9203588026906,delta
SPIC,564,34.1433923712911,delta
GATA5,565,34.351569428221,delta
Gata1,566,35.0110082417466,delta
ELF4,567,36.3932331474635,delta
Hnf4a,568,38.3869182541623,delta
GATA2,569,41.6259532933653,delta
GATA6,570,44.2255299809219,delta
Gata4,571,45.7003699781203,delta
GATA3,572,46.7149343431125,delta
EHF,573,55.6346469346143,delta
SCRT2,574,56.1254247041944,delta
ELF3,575,56.1733860092575,delta
HNF1A,576,59.3640866495587,delta
HNF1B,577,68.5199013914242,delta
ELF5,578,79.4115094344773,delta
SCRT1,579,86.4933900157738,delta
