motif,jaspar.id,x,y,test,mean_x,mean_y,enrichedIn,pval,FDR,padj,family.id,family.name,class.id,class.name,superclass.id,superclass.name
NEUROD1,MA1109.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.133464666803757,-1.67390869743992,alpha_1,9.5010452463244e-240,2.20044207904873e-238,5.50110519762183e-237,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Rfx1,MA0509.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.524280107874335,-1.16311214938895,alpha_1,2.02661954460488e-207,4.1907597011651e-206,1.17341271632623e-204,3.3.3,RFX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
TAL1::TCF3,MA0091.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.229926246969601,-1.24453970551887,alpha_1,2.91584415991952e-203,5.82163368480483e-202,1.6882737685934e-200,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
TAL1::TCF3,MA0091.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.229926246969601,-1.24453970551887,alpha_1,2.91584415991952e-203,5.82163368480483e-202,1.6882737685934e-200,1.2.1,E2A,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
ASCL1,MA1100.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0838517821140702,-1.35485851172843,alpha_1,1.65203669861906e-194,2.89857348030435e-193,9.56529248500435e-192,1.2.2,MyoD-ASC-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Myod1,MA0499.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.130389069649866,-1.24656255698074,alpha_1,8.73024513490421e-184,1.29610562387424e-182,5.05481193310954e-181,1.2.2,MyoD-ASC-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
NRL,MA0842.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.576785334579907,-0.696554528668688,alpha_1,1.44363124648617e-178,1.89968748117157e-177,8.35862491715492e-176,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
Myog,MA0500.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.000845642371710042,-1.26157892164918,alpha_1,3.31277878712381e-170,4.16978025596671e-169,1.91809891774469e-167,1.2.2,MyoD-ASC-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Tcf12,MA0521.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0564586320010236,-1.21317186863767,alpha_1,4.83340693529147e-170,5.95434599049737e-169,2.79854261553376e-167,1.2.1,E2A,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
GATA2,MA0036.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.74007672364315,0.400301824337041,alpha_1,4.91220455308084e-169,5.80442129843633e-168,2.8441664362338e-166,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
Gata4,MA0482.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.7776628701682,0.461072352935297,alpha_1,3.00640416018276e-167,3.41315295832514e-166,1.74070800874582e-164,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
MSC,MA0665.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.20561497401959,-0.984427621445039,alpha_1,3.17888848512895e-166,3.40847487572159e-165,1.84057643288966e-163,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Ascl2,MA0816.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0404020093134317,-1.26593104162407,alpha_1,9.00402277834581e-161,8.98849860114177e-160,5.21332918866223e-158,1.2.2,MyoD-ASC-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Tcf21,MA0832.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.183621794426304,-1.00523033499195,alpha_1,1.75056817629916e-160,1.71793046453765e-159,1.01357897407721e-157,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
GATA3,MA0037.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.73638055500012,0.448059885112036,alpha_1,2.97370185254736e-156,2.77705382681439e-155,1.72177337262492e-153,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
GATA6,MA1104.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.74886216967639,0.496331907361539,alpha_1,4.26457214862214e-150,3.8581051157066e-149,2.46918727405222e-147,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
Gata1,MA0035.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.69088709039874,0.485270145731885,alpha_1,6.21837651818609e-149,5.53913846773807e-148,3.60044000402975e-146,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
STAT3,MA0144.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.349119827856867,-0.703443557084361,alpha_1,2.90728997214876e-130,2.51241924458826e-129,1.68332089387413e-127,6.2.1,STAT,6.2,STAT domain factors,6,Immunoglobulin fold
MYF6,MA0667.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.179419411609537,-0.741910947803529,alpha_1,8.73838015482654e-124,7.44047369065378e-123,5.05952210964457e-121,1.2.2,MyoD-ASC-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
NEUROG2,MA0669.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.306872739384848,-0.636034300150013,alpha_1,3.44563848223901e-123,2.89134011770491e-122,1.99502468121639e-120,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
GATA5,MA0766.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.40369452466077,0.332763180171504,alpha_1,3.1426755326682e-121,2.59944161916412e-120,1.81960913341488e-118,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
Stat4,MA0518.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.345219200282943,-0.675954127610386,alpha_1,6.9769643740977e-117,5.68966531352475e-116,4.03966237260257e-114,6.2.1,STAT,6.2,STAT domain factors,6,Immunoglobulin fold
NHLH1,MA0048.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0443409357163029,-0.843335450217343,alpha_1,2.58778482466884e-112,2.08101029650453e-111,1.49832741348326e-109,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
FOXA1,MA0148.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.61331115101229,-0.68900770417791,alpha_1,1.44916854589626e-102,1.13387647037018e-101,8.39068588073934e-100,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
