Term,es,nes,pval,fdr
Alpha1,0.7689345292324545,2.964383571917735,0.0,0.0
Alpha2,-0.5540862349066202,-2.93851775180275,0.0,0.0
Beta1,0.7187626780859077,2.761255252879609,0.0,0.0
Beta2,-0.3633825822698722,-1.9839596541361524,0.0,0.00020128824476650564
Beta sub4_xin,-0.3850381630438211,-1.9889183812930469,0.0,0.0003019323671497585
mutli_anticorrelated,-0.4122570224612338,-1.5588496760035895,0.013340174448435094,0.03155193236714976
Beta sub1_xin,0.5397112699328898,1.2919344143851088,0.18669527896995708,0.1988182934315531
Mawla_Beta_1,0.5042669804620068,1.190048465356262,0.2807017543859649,0.27411372007366486
Mawla_Beta_2,-0.3384365885555984,-1.1460206239916446,0.24629468177855274,0.2998792270531401
multi_correlated,0.3280856945624309,1.06209568431931,0.37663620647073354,0.4327578268876611
Beta sub3_xin,0.283954795633623,0.6255574863798212,0.8801169590643275,0.9629373848987108
Beta sub2_xin,-0.16940726889098634,-0.5581038351006298,0.9857881136950905,0.9798711755233495
