Term,es,nes,pval,fdr
Beta1,0.7799313942045025,2.0961002331656533,0.0,0.0
Alpha1,0.6907074179870692,1.853336614176244,0.0,4.521000045210001e-05
Beta sub3_xin,0.7895138661383871,1.559552178711735,0.010656807307525011,0.01009087210090872
Beta sub2_xin,0.539887018045367,1.2652780426876606,0.15429430558165758,0.17731362177313623
Mawla_Beta_1,0.5747366742377059,1.198873338934225,0.2449442839455221,0.28599846285998465
multi_correlated,0.4435926040929614,1.1226657291389233,0.30448493342676947,0.4111268269684111
Beta sub1_xin,0.41018209007821427,0.8610821390537982,0.6742015761094982,0.7844537878445379
Mawla_Beta_2,0.3708858346895507,0.8815720362099034,0.665680473372781,1.0
mutli_anticorrelated,-0.23967102875691274,-0.8798643154115178,0.7160883280757098,1000000000.0
Alpha2,-0.2595251992851858,,,1000000000.0
Beta sub4_xin,-0.261689527471129,,,1000000000.0
Beta2,-0.5334007098245837,,,1000000000.0
