Term,es,nes,pval,fdr
Alpha1,0.4044608678853767,11.264612945892454,0.0,0.0
Alpha2,-0.2170898579386906,-13.652699823691599,0.0,0.0
Beta sub4_xin,-0.13130345853476333,-2.944157813996561,0.0,0.0
Beta1,0.376637138239732,12.163926757033932,0.0,0.0
Beta2,-0.14160032913729348,-4.123348959661576,0.0,0.0
Delta1,0.9460165433173585,6.9685470672553365,0.0,0.0
Delta2,-0.6003910468205249,-30.64417615675479,0.0,0.0
mutli_anticorrelated,-0.21945443876066448,-1.8321669305525219,0.010330578512396695,0.01591695501730104
Beta sub2_xin,0.30432299217164255,1.7574008800032828,0.022044088176352707,0.039071347678369193
Beta sub1_xin,0.34375278545326843,1.4872551852453346,0.09161793372319688,0.12570781426953567
Mawla_Beta_1,0.30685932460009513,1.235102607425157,0.2222222222222222,0.2721781804454511
Beta sub3_xin,0.3135271121407422,1.0510731892301475,0.3790983606557377,0.4331014398964569
Mawla_Beta_2,-0.1188891305924029,-0.7790904323132725,0.7520661157024794,0.7430795847750865
multi_correlated,0.0719369598373158,0.6002127102041135,0.9478764478764479,0.9425254813137033
