UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,-0.459330273013904,alpha_2
2.1213605,3.5533817,-1.04454672598213,beta_2
-9.805659,1.1269126,0.0972451073395628,alpha_1
8.333635,-0.71902174,1.57666211020792,beta_1
7.030728,-3.5811422,0.712548074339292,beta_1
7.4326005,-2.9926991,2,beta_1
8.100903,-3.3909883,2,beta_1
-7.644358,-1.0879118,-1.69456464161679,alpha_1
7.0127807,-2.9720278,1.61323368332628,beta_1
3.8532014,2.77606,-2,beta_2
-0.2548735,2.0643983,-1.82368957859211,delta_2
-7.523513,-0.2645195,0.271928820607383,alpha_1
8.399753,-0.5532214,1.04749155164211,beta_1
-8.80484,-2.5318043,-0.524046021057116,alpha_1
-9.545399,-0.6971933,2,alpha_1
0.18682633,1.3760691,-1.86424516926011,delta_2
-0.19706067,1.3951954,-2,delta_2
-8.599813,-2.7038648,-2,alpha_1
-0.021403072,-1.11038,-2,delta_1
-8.650335,-2.317859,-0.473963935425462,alpha_1
0.07814337,0.89461184,-0.467482356065888,delta_2
-9.628777,-1.9380584,-0.51119021743984,alpha_1
-0.03973574,-1.1024127,0.518241098838509,delta_1
-9.283587,-1.0377162,-0.307606818367831,alpha_1
8.02267,-0.1679783,1.04405375551913,beta_2
0.24900414,-1.0582565,1.11243371862477,delta_1
-8.491583,-1.7144617,1.08619239300642,alpha_1
-10.347256,0.6269315,-0.145649029480906,alpha_1
5.937259,0.2738438,-1.40521293959643,beta_2
1.0423777,-1.2872143,-0.128361715341304,delta_1
-7.7963347,-0.9682282,-1.75911132014479,alpha_1
8.751668,-1.5316006,1.88922437066639,beta_1
-9.521015,-1.3287379,-0.402269453931295,alpha_1
-9.202023,1.5364757,0.291967761801339,alpha_1
-0.4197616,2.265155,-1.14178248389058,delta_2
1.12048,-1.3128867,0.667202340603765,delta_1
-7.84118,-1.1428636,-1.33759044348281,alpha_1
8.633101,-1.329578,1.50251108944808,beta_1
-7.2162747,-1.210757,-2,alpha_1
-7.211089,-1.4684074,-1.48217309202589,alpha_1
-8.308418,0.15762053,-0.557343541398666,alpha_1
8.246129,0.50667375,-2,beta_1
5.843484,-0.9293012,1.36767938744436,beta_2
8.974941,-0.6775067,-2,beta_1
-4.922699,1.2882909,-1.28199320766946,alpha_2
8.984592,-2.0593245,2,beta_1
5.0701046,2.8273194,-1.31746823626984,beta_2
6.7658725,-4.541393,2,beta_1
-10.12213,-0.35120243,1.10113401465325,alpha_1
7.6415772,-3.814907,1.86831990160663,beta_1
4.0141487,2.3003762,-2,beta_2
6.7572856,-3.2950146,2,beta_1
6.9625173,0.9588478,0.257729217290759,beta_2
5.827504,-1.4829612,-0.340123478439038,beta_2
-0.31335264,1.7168251,-2,delta_2
-4.6467414,2.4445472,-1.66623656091123,alpha_2
7.9615865,-0.55532444,0.837646535671414,beta_2
-7.791639,-2.411005,-2,alpha_1
4.892667,0.52741706,0.109614975595053,beta_2
-5.1759005,1.4578193,-2,alpha_2
-2.5486915,3.4870582,-2,alpha_2
7.959288,-3.8222065,-0.230904834609927,beta_1
-4.61883,2.1656473,-2,alpha_2
8.003184,0.61445856,1.07627334799038,beta_2
8.51219,-0.513163,-0.784085721892532,beta_1
7.138314,-1.7909038,-2,beta_1
6.6326227,-2.9013803,1.64107766820884,beta_1
-3.2659976,4.730314,-2,alpha_2
-0.38027367,2.107341,-2,delta_2
8.316812,-2.570268,2,beta_1
5.6474648,-1.8235463,0.250998648824175,beta_2
6.7757144,-3.0301914,-0.157508764229565,beta_1
5.737269,-1.6020894,-0.265893598363426,beta_2
-6.131173,2.0530593,-1.05910170707192,alpha_2
6.192882,-4.1206326,0.102180519178454,beta_1
-7.3422046,-1.7492353,0.377471903846457,alpha_1
-8.740127,-0.66424793,-2,alpha_1
8.593668,-3.938493,-0.91395343544318,beta_1
7.8119473,-1.6510684,2,beta_1
8.652991,-2.4337513,-0.538462920263468,beta_1
7.818936,-3.0514486,2,beta_1
6.793833,-3.4811285,1.87881262790931,beta_1
-7.486817,-1.2761396,0.142984862083408,alpha_1
-7.3084264,-1.2080411,-2,alpha_1
4.31428,2.5704315,-2,beta_2
-4.000361,3.2102606,-2,alpha_2
8.87204,-0.8845667,1.98063893247951,beta_1
6.7700753,-2.526638,0.221242139034335,beta_1
-8.162218,0.7835102,0.375104421942705,alpha_1
4.8162007,2.9828446,-2,beta_2
-10.221644,-0.5087496,1.54495470895099,alpha_1
-8.912562,-2.618905,1.58681283087803,alpha_1
6.745512,-2.1313827,1.36340057559399,beta_1
3.5102556,3.4518614,-2,beta_2
8.643421,-2.195398,-0.737006628726852,beta_1
-7.398564,-1.8108959,-0.511385314081871,alpha_1
-8.91406,1.4358062,1.52210814927724,alpha_1
5.675345,-3.5966568,0.533831567520403,beta_1
5.933924,-3.3282835,2,beta_1
-9.688878,-2.2134156,-0.946833660036535,alpha_1
-7.170091,-1.2445563,-1.80275652411903,alpha_1
4.272106,3.2554815,-2,beta_2
-0.98985416,1.9991322,-2,delta_2
-10.108716,1.1026143,-1.48590646058843,alpha_1
-9.709468,0.9717272,-0.625326067750765,alpha_1
7.5181546,1.2280372,-1.76726031875787,beta_2
8.841546,-1.0863501,0.997374556117968,beta_1
-4.360313,2.594776,-2,alpha_2
-9.675761,-1.1240194,0.150763029804829,alpha_1
