UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,-2,alpha_2
2.1213605,3.5533817,-1.33540371905735,beta_2
-9.805659,1.1269126,-1.49327407067789,alpha_1
8.333635,-0.71902174,-0.395727652463888,beta_1
7.030728,-3.5811422,0.555537977538966,beta_1
7.4326005,-2.9926991,0.0599769437918499,beta_1
8.100903,-3.3909883,-2,beta_1
-7.644358,-1.0879118,-0.361256529450976,alpha_1
7.0127807,-2.9720278,-1.03154465203536,beta_1
3.8532014,2.77606,-2,beta_2
-0.2548735,2.0643983,-2,delta_2
-7.523513,-0.2645195,0.159383339444058,alpha_1
8.399753,-0.5532214,-0.937836099558972,beta_1
-8.80484,-2.5318043,-0.587598962188479,alpha_1
-9.545399,-0.6971933,-0.666863013812828,alpha_1
0.18682633,1.3760691,-2,delta_2
-0.19706067,1.3951954,-2,delta_2
-8.599813,-2.7038648,0.249885652520381,alpha_1
-0.021403072,-1.11038,1.39129528695882,delta_1
-8.650335,-2.317859,-0.35233081936666,alpha_1
0.07814337,0.89461184,-0.0427761359779358,delta_2
-9.628777,-1.9380584,1.05579397515169,alpha_1
-0.03973574,-1.1024127,-0.630190945193735,delta_1
-9.283587,-1.0377162,2,alpha_1
8.02267,-0.1679783,-1.2429535473512,beta_2
0.24900414,-1.0582565,0.13758880714494,delta_1
-8.491583,-1.7144617,-0.673145103495269,alpha_1
-10.347256,0.6269315,2,alpha_1
5.937259,0.2738438,-0.347809361009126,beta_2
1.0423777,-1.2872143,1.27337487607481,delta_1
-7.7963347,-0.9682282,0.163207800299166,alpha_1
8.751668,-1.5316006,0.200574192042805,beta_1
-9.521015,-1.3287379,-0.722860757295148,alpha_1
-9.202023,1.5364757,0.989617053696168,alpha_1
-0.4197616,2.265155,-0.523359006311923,delta_2
1.12048,-1.3128867,0.82619473893723,delta_1
-7.84118,-1.1428636,1.39817480896577,alpha_1
8.633101,-1.329578,0.553629396891727,beta_1
-7.2162747,-1.210757,-1.41701890409299,alpha_1
-7.211089,-1.4684074,0.692379017390038,alpha_1
-8.308418,0.15762053,-0.749255442084954,alpha_1
8.246129,0.50667375,-1.63857143091756,beta_1
5.843484,-0.9293012,0.621092048229617,beta_2
8.974941,-0.6775067,2,beta_1
-4.922699,1.2882909,-1.44353672565114,alpha_2
8.984592,-2.0593245,0.600765007388925,beta_1
5.0701046,2.8273194,-2,beta_2
6.7658725,-4.541393,-0.700332896452207,beta_1
-10.12213,-0.35120243,-1.26363368201023,alpha_1
7.6415772,-3.814907,-1.45047682485136,beta_1
4.0141487,2.3003762,-2,beta_2
6.7572856,-3.2950146,0.330888958608939,beta_1
6.9625173,0.9588478,-0.37795707010524,beta_2
5.827504,-1.4829612,-0.705887224564979,beta_2
-0.31335264,1.7168251,-2,delta_2
-4.6467414,2.4445472,-1.44622524522196,alpha_2
7.9615865,-0.55532444,2,beta_2
-7.791639,-2.411005,0.833203913340561,alpha_1
4.892667,0.52741706,-1.12599743443638,beta_2
-5.1759005,1.4578193,-0.0620260857403716,alpha_2
-2.5486915,3.4870582,-2,alpha_2
7.959288,-3.8222065,0.00551290351596606,beta_1
-4.61883,2.1656473,0.0753498991906669,alpha_2
8.003184,0.61445856,-0.563875839325202,beta_2
8.51219,-0.513163,1.7835440163777,beta_1
7.138314,-1.7909038,-0.579406221771439,beta_1
6.6326227,-2.9013803,1.50068247234075,beta_1
-3.2659976,4.730314,-0.6869640101409,alpha_2
-0.38027367,2.107341,-2,delta_2
8.316812,-2.570268,0.950458821377201,beta_1
5.6474648,-1.8235463,0.644935858282742,beta_2
6.7757144,-3.0301914,-0.687073724355094,beta_1
5.737269,-1.6020894,0.214683344695925,beta_2
-6.131173,2.0530593,-0.153813101444056,alpha_2
6.192882,-4.1206326,1.96895192212382,beta_1
-7.3422046,-1.7492353,0.284234070127183,alpha_1
-8.740127,-0.66424793,2,alpha_1
8.593668,-3.938493,2,beta_1
7.8119473,-1.6510684,-0.204473107198411,beta_1
8.652991,-2.4337513,0.173612132795811,beta_1
7.818936,-3.0514486,0.152602155065692,beta_1
6.793833,-3.4811285,1.29498676782216,beta_1
-7.486817,-1.2761396,-1.43117303552542,alpha_1
-7.3084264,-1.2080411,-0.454151035784664,alpha_1
4.31428,2.5704315,-2,beta_2
-4.000361,3.2102606,-1.67575234158903,alpha_2
8.87204,-0.8845667,0.176663732610584,beta_1
6.7700753,-2.526638,0.484994421904746,beta_1
-8.162218,0.7835102,-0.207902695839632,alpha_1
4.8162007,2.9828446,-2,beta_2
-10.221644,-0.5087496,-0.878876032167916,alpha_1
-8.912562,-2.618905,0.0232783240423289,alpha_1
6.745512,-2.1313827,0.217615179091732,beta_1
3.5102556,3.4518614,-1.01032703867786,beta_2
8.643421,-2.195398,0.13132988633555,beta_1
-7.398564,-1.8108959,-1.90368534932482,alpha_1
-8.91406,1.4358062,-1.34962586068778,alpha_1
5.675345,-3.5966568,-0.909184564515539,beta_1
5.933924,-3.3282835,0.102368290795904,beta_1
-9.688878,-2.2134156,1.22232016164124,alpha_1
-7.170091,-1.2445563,-1.40079402264965,alpha_1
4.272106,3.2554815,-2,beta_2
-0.98985416,1.9991322,-2,delta_2
-10.108716,1.1026143,0.14618092215239,alpha_1
-9.709468,0.9717272,2,alpha_1
7.5181546,1.2280372,-2,beta_2
8.841546,-1.0863501,0.649725653525787,beta_1
-4.360313,2.594776,-2,alpha_2
-9.675761,-1.1240194,1.58591849666968,alpha_1
-0.94744253,1.9986551,-1.8606150723338,delta_2
