UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,0.350332918025065,alpha_2
2.1213605,3.5533817,-1.56558410146221,beta_2
-9.805659,1.1269126,-0.434334196106595,alpha_1
8.333635,-0.71902174,-0.730599735942928,beta_1
7.030728,-3.5811422,1.26787284081306,beta_1
7.4326005,-2.9926991,-1.19407066586923,beta_1
8.100903,-3.3909883,-0.850054057291941,beta_1
-7.644358,-1.0879118,-0.426726611433773,alpha_1
7.0127807,-2.9720278,-0.925605729258865,beta_1
3.8532014,2.77606,2.90772548127971,beta_2
-0.2548735,2.0643983,0.946927863771932,delta_2
-7.523513,-0.2645195,0.89790740278627,alpha_1
8.399753,-0.5532214,-0.660048720279078,beta_1
-8.80484,-2.5318043,-0.0347537374630043,alpha_1
-9.545399,-0.6971933,-1.41593408395919,alpha_1
0.18682633,1.3760691,3.60981864454554,delta_2
-0.19706067,1.3951954,0.467658665916897,delta_2
-8.599813,-2.7038648,-2.36869960417919,alpha_1
-0.021403072,-1.11038,0.947737587366056,delta_1
-8.650335,-2.317859,-0.165056899269522,alpha_1
0.07814337,0.89461184,-1.01625473350222,delta_2
-9.628777,-1.9380584,-0.11433202623614,alpha_1
-0.03973574,-1.1024127,0.175554520416416,delta_1
-9.283587,-1.0377162,-1.22709250071968,alpha_1
8.02267,-0.1679783,0.0768554759730452,beta_2
0.24900414,-1.0582565,-0.782600949882762,delta_1
-8.491583,-1.7144617,3.28225647638217,alpha_1
-10.347256,0.6269315,-0.496516006947956,alpha_1
5.937259,0.2738438,2.59501746339216,beta_2
1.0423777,-1.2872143,-2.09048032278041,delta_1
-7.7963347,-0.9682282,0.862244042568321,alpha_1
8.751668,-1.5316006,0.832706358692621,beta_1
-9.521015,-1.3287379,-2.17868253281441,alpha_1
-9.202023,1.5364757,1.46435691359262,alpha_1
-0.4197616,2.265155,1.98013637647768,delta_2
1.12048,-1.3128867,-1.69127648601341,delta_1
-7.84118,-1.1428636,0.238888206174223,alpha_1
8.633101,-1.329578,0.17472291841041,beta_1
-7.2162747,-1.210757,4.00912746470824,alpha_1
-7.211089,-1.4684074,3.34449127356443,alpha_1
-8.308418,0.15762053,0.125351318269156,alpha_1
8.246129,0.50667375,1.37357756005372,beta_1
5.843484,-0.9293012,-1.15780462068259,beta_2
8.974941,-0.6775067,0.62278246399524,beta_1
-4.922699,1.2882909,1.47179354440732,alpha_2
8.984592,-2.0593245,-0.481880130225351,beta_1
