UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,2,alpha_2
2.1213605,3.5533817,2,beta_2
-9.805659,1.1269126,-2,alpha_1
8.333635,-0.71902174,-0.21034712236254,beta_1
7.030728,-3.5811422,-2,beta_1
7.4326005,-2.9926991,1.59029209273638,beta_1
8.100903,-3.3909883,-0.477114808338192,beta_1
-7.644358,-1.0879118,-1.28148647017648,alpha_1
7.0127807,-2.9720278,-0.734270709399775,beta_1
3.8532014,2.77606,2,beta_2
-0.2548735,2.0643983,2,delta_2
-7.523513,-0.2645195,-2,alpha_1
8.399753,-0.5532214,0.14316314803027,beta_1
-8.80484,-2.5318043,-1.12494945211419,alpha_1
-9.545399,-0.6971933,-1.46005079227118,alpha_1
0.18682633,1.3760691,2,delta_2
-0.19706067,1.3951954,2,delta_2
-8.599813,-2.7038648,-2,alpha_1
-0.021403072,-1.11038,-1.89770778712839,delta_1
-8.650335,-2.317859,-2,alpha_1
0.07814337,0.89461184,2,delta_2
-9.628777,-1.9380584,0.567395392432229,alpha_1
-0.03973574,-1.1024127,-0.244736011833146,delta_1
-9.283587,-1.0377162,-2,alpha_1
8.02267,-0.1679783,1.58499517828719,beta_2
0.24900414,-1.0582565,-1.16172358584247,delta_1
-8.491583,-1.7144617,-1.77208947370038,alpha_1
-10.347256,0.6269315,-2,alpha_1
5.937259,0.2738438,-0.890654202904986,beta_2
1.0423777,-1.2872143,-2,delta_1
-7.7963347,-0.9682282,-2,alpha_1
8.751668,-1.5316006,2,beta_1
-9.521015,-1.3287379,-2,alpha_1
-9.202023,1.5364757,-1.57737113541329,alpha_1
-0.4197616,2.265155,1.60438991774969,delta_2
1.12048,-1.3128867,-2,delta_1
-7.84118,-1.1428636,-1.99445899376283,alpha_1
8.633101,-1.329578,2,beta_1
-7.2162747,-1.210757,0.106977769014606,alpha_1
-7.211089,-1.4684074,-2,alpha_1
-8.308418,0.15762053,-2,alpha_1
8.246129,0.50667375,2,beta_1
5.843484,-0.9293012,-1.22592728694585,beta_2
8.974941,-0.6775067,0.200910266912889,beta_1
-4.922699,1.2882909,2,alpha_2
8.984592,-2.0593245,-1.8741383449842,beta_1
5.0701046,2.8273194,2,beta_2
6.7658725,-4.541393,-0.7239606407825,beta_1
-10.12213,-0.35120243,1.63006083342339,alpha_1
7.6415772,-3.814907,-0.432208201792453,beta_1
4.0141487,2.3003762,2,beta_2
6.7572856,-3.2950146,-2,beta_1
6.9625173,0.9588478,1.73603065157987,beta_2
5.827504,-1.4829612,0.353724993187966,beta_2
-0.31335264,1.7168251,2,delta_2
-4.6467414,2.4445472,2,alpha_2
7.9615865,-0.55532444,-1.41753452930964,beta_2
-7.791639,-2.411005,0.0719480913993675,alpha_1
4.892667,0.52741706,-0.364543051049304,beta_2
-5.1759005,1.4578193,1.73940258080775,alpha_2
-2.5486915,3.4870582,2,alpha_2
7.959288,-3.8222065,-1.25110522018447,beta_1
-4.61883,2.1656473,2,alpha_2
8.003184,0.61445856,2,beta_2
8.51219,-0.513163,0.77278429638799,beta_1
7.138314,-1.7909038,-0.714225977360895,beta_1
6.6326227,-2.9013803,-2,beta_1
-3.2659976,4.730314,-2,alpha_2
-0.38027367,2.107341,2,delta_2
8.316812,-2.570268,-2,beta_1
5.6474648,-1.8235463,-1.61573159234579,beta_2
6.7757144,-3.0301914,-0.797542216900979,beta_1
5.737269,-1.6020894,-0.993010186383152,beta_2
-6.131173,2.0530593,1.37290815549619,alpha_2
6.192882,-4.1206326,-0.892377134722366,beta_1
-7.3422046,-1.7492353,-2,alpha_1
-8.740127,-0.66424793,-1.73841874626135,alpha_1
8.593668,-3.938493,-2,beta_1
7.8119473,-1.6510684,-2,beta_1
8.652991,-2.4337513,1.11864480263069,beta_1
7.818936,-3.0514486,2,beta_1
6.793833,-3.4811285,-0.217028967565485,beta_1
-7.486817,-1.2761396,-1.7757274691102,alpha_1
-7.3084264,-1.2080411,-0.663625032722549,alpha_1
4.31428,2.5704315,2,beta_2
-4.000361,3.2102606,2,alpha_2
8.87204,-0.8845667,0.95401347851223,beta_1
6.7700753,-2.526638,0.991193332607711,beta_1
-8.162218,0.7835102,-2,alpha_1
4.8162007,2.9828446,2,beta_2
-10.221644,-0.5087496,-2,alpha_1
-8.912562,-2.618905,-2,alpha_1
6.745512,-2.1313827,0.0948246897037752,beta_1
3.5102556,3.4518614,2,beta_2
8.643421,-2.195398,-1.05093319162602,beta_1
-7.398564,-1.8108959,-1.46509841408244,alpha_1
-8.91406,1.4358062,-2,alpha_1
5.675345,-3.5966568,-1.63278926034201,beta_1
5.933924,-3.3282835,-1.87411836980543,beta_1
-9.688878,-2.2134156,-1.49784606223163,alpha_1
-7.170091,-1.2445563,-0.213390837619803,alpha_1
4.272106,3.2554815,2,beta_2
-0.98985416,1.9991322,2,delta_2
-10.108716,1.1026143,-0.526895571772785,alpha_1
-9.709468,0.9717272,-2,alpha_1
7.5181546,1.2280372,1.96619218918965,beta_2
8.841546,-1.0863501,-0.580960022563874,beta_1
-4.360313,2.594776,2,alpha_2
-9.675761,-1.1240194,-2,alpha_1
-0.94744253,1.9986551,2,delta_2
-9.910626,0.3805665,-2,alpha_1
4.782824,2.7192082,0.476866045820888,beta_2
-8.728428,-0.4618044,-2,alpha_1
5.011549,0.059122786,2,beta_2
-7.375006,-2.047063,1.69644173717951,alpha_1
-7.973892,-1.4402355,0.647128447991147,alpha_1
6.1271152,-3.7984428,-0.188489736662206,beta_1
