UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,0.429528111148483,alpha_2
2.1213605,3.5533817,0.40326243152072,beta_2
-9.805659,1.1269126,1.4060778702433,alpha_1
8.333635,-0.71902174,-0.0711212205499451,beta_1
7.030728,-3.5811422,0.818034797684595,beta_1
7.4326005,-2.9926991,1.42379408195359,beta_1
8.100903,-3.3909883,0.153551205548071,beta_1
-7.644358,-1.0879118,-0.373782064838975,alpha_1
7.0127807,-2.9720278,-0.883539971089552,beta_1
3.8532014,2.77606,0.404094451295186,beta_2
-0.2548735,2.0643983,0.899051430827311,delta_2
-7.523513,-0.2645195,-0.212583563342452,alpha_1
8.399753,-0.5532214,-1.01261636601059,beta_1
-8.80484,-2.5318043,0.551441626639006,alpha_1
-9.545399,-0.6971933,-1.15109396402806,alpha_1
0.18682633,1.3760691,-0.572401013141448,delta_2
-0.19706067,1.3951954,-0.362383311611957,delta_2
-8.599813,-2.7038648,-0.643750432474279,alpha_1
-0.021403072,-1.11038,-1.33840884392417,delta_1
-8.650335,-2.317859,0.502028075023849,alpha_1
0.07814337,0.89461184,-0.860562931275447,delta_2
-9.628777,-1.9380584,-0.675886014248446,alpha_1
-0.03973574,-1.1024127,-0.66455663850807,delta_1
-9.283587,-1.0377162,0.488484657688337,alpha_1
8.02267,-0.1679783,0.3915171025332,beta_2
0.24900414,-1.0582565,-0.0717034164277621,delta_1
-8.491583,-1.7144617,-0.65748416467029,alpha_1
-10.347256,0.6269315,0.17442837214864,alpha_1
5.937259,0.2738438,-2.39000835718165,beta_2
1.0423777,-1.2872143,-0.811148222790755,delta_1
-7.7963347,-0.9682282,-0.628465021528378,alpha_1
8.751668,-1.5316006,-1.46199564024312,beta_1
-9.521015,-1.3287379,-1.06141882901148,alpha_1
-9.202023,1.5364757,0.383610900635868,alpha_1
-0.4197616,2.265155,0.780160645150909,delta_2
1.12048,-1.3128867,-0.419271261581502,delta_1
-7.84118,-1.1428636,-1.01546048163055,alpha_1
8.633101,-1.329578,-0.234642389364164,beta_1
-7.2162747,-1.210757,-0.429289965238684,alpha_1
-7.211089,-1.4684074,0.254648027549823,alpha_1
-8.308418,0.15762053,-1.36715838121306,alpha_1
8.246129,0.50667375,0.729935903357034,beta_1
5.843484,-0.9293012,-0.611704810650545,beta_2
8.974941,-0.6775067,0.911903487464511,beta_1
-4.922699,1.2882909,-1.51756341794925,alpha_2
8.984592,-2.0593245,1.23170090273939,beta_1
5.0701046,2.8273194,0.11289748097783,beta_2
6.7658725,-4.541393,-0.117209410547378,beta_1
-10.12213,-0.35120243,-1.08245983203005,alpha_1
7.6415772,-3.814907,-0.466705695638317,beta_1
4.0141487,2.3003762,0.132313443174087,beta_2
6.7572856,-3.2950146,-0.744733858863576,beta_1
6.9625173,0.9588478,-1.48945878725507,beta_2
5.827504,-1.4829612,0.944876683090084,beta_2
-0.31335264,1.7168251,-0.603041504216456,delta_2
-4.6467414,2.4445472,1.18272060065569,alpha_2
7.9615865,-0.55532444,-0.421994637503098,beta_2
-7.791639,-2.411005,-0.433751102975244,alpha_1
4.892667,0.52741706,-0.164342582516999,beta_2
-5.1759005,1.4578193,1.53759095781095,alpha_2
-2.5486915,3.4870582,0.499710958469748,alpha_2
7.959288,-3.8222065,2.46283767716243,beta_1
-4.61883,2.1656473,-0.659610883414765,alpha_2
8.003184,0.61445856,-0.0814605306999678,beta_2
8.51219,-0.513163,-1.71921165910367,beta_1
7.138314,-1.7909038,-0.153008554081141,beta_1
6.6326227,-2.9013803,-1.12717303024913,beta_1
-3.2659976,4.730314,-1.58998137911905,alpha_2
-0.38027367,2.107341,1.49498031983844,delta_2
8.316812,-2.570268,-0.0963670335396922,beta_1
5.6474648,-1.8235463,0.489032145382565,beta_2
6.7757144,-3.0301914,-1.09929561210584,beta_1
5.737269,-1.6020894,-0.208427532575342,beta_2
-6.131173,2.0530593,-0.324272140281678,alpha_2
6.192882,-4.1206326,1.09428616304394,beta_1
-7.3422046,-1.7492353,-2.16005406447585,alpha_1
-8.740127,-0.66424793,-0.893079897269488,alpha_1
8.593668,-3.938493,0.211271256940123,beta_1
7.8119473,-1.6510684,-0.495590437075605,beta_1
8.652991,-2.4337513,-2.37698848898672,beta_1
7.818936,-3.0514486,0.82485346353778,beta_1
6.793833,-3.4811285,-0.152325533329897,beta_1
-7.486817,-1.2761396,-0.450308739358629,alpha_1
-7.3084264,-1.2080411,1.16970129806932,alpha_1
4.31428,2.5704315,0.442440674927178,beta_2
-4.000361,3.2102606,2.44700365764445,alpha_2
8.87204,-0.8845667,1.30274143193549,beta_1
