UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,4.05712982052154,alpha_2
2.1213605,3.5533817,9.23622316321609,beta_2
-9.805659,1.1269126,-6.01739353047296,alpha_1
8.333635,-0.71902174,-0.313455642947136,beta_1
7.030728,-3.5811422,-2.87964010254902,beta_1
7.4326005,-2.9926991,-0.570179590911684,beta_1
8.100903,-3.3909883,-2.16010660286308,beta_1
-7.644358,-1.0879118,-1.27606704442,alpha_1
7.0127807,-2.9720278,-2.20340750477854,beta_1
3.8532014,2.77606,8.49844425845119,beta_2
-0.2548735,2.0643983,17.4112124000448,delta_2
-7.523513,-0.2645195,-2.48982248722979,alpha_1
8.399753,-0.5532214,0.203849355529203,beta_1
-8.80484,-2.5318043,-0.636292830258175,alpha_1
-9.545399,-0.6971933,-1.86848163339754,alpha_1
0.18682633,1.3760691,23.7416999013233,delta_2
-0.19706067,1.3951954,13.3823968375921,delta_2
-8.599813,-2.7038648,-2.73743438363063,alpha_1
-0.021403072,-1.11038,-1.1243831840526,delta_1
-8.650335,-2.317859,-3.61483760641005,alpha_1
0.07814337,0.89461184,8.05451560488051,delta_2
-9.628777,-1.9380584,0.28155761615792,alpha_1
-0.03973574,-1.1024127,0.0289260493249431,delta_1
-9.283587,-1.0377162,-6.35991677770268,alpha_1
8.02267,-0.1679783,-1.62714954471456,beta_2
0.24900414,-1.0582565,-0.326716574230359,delta_1
-8.491583,-1.7144617,-3.99936267263334,alpha_1
-10.347256,0.6269315,-5.29730317296844,alpha_1
5.937259,0.2738438,-0.195905422083313,beta_2
1.0423777,-1.2872143,-0.0611565909283055,delta_1
-7.7963347,-0.9682282,-3.94782962086468,alpha_1
8.751668,-1.5316006,1.92888777411825,beta_1
-9.521015,-1.3287379,-6.33218685215549,alpha_1
-9.202023,1.5364757,-1.2749063123887,alpha_1
-0.4197616,2.265155,7.01958950349542,delta_2
1.12048,-1.3128867,-0.779938619728608,delta_1
-7.84118,-1.1428636,-2.87389247749816,alpha_1
8.633101,-1.329578,2.90500852266926,beta_1
-7.2162747,-1.210757,-0.738768818685499,alpha_1
-7.211089,-1.4684074,-4.1754072369675,alpha_1
-8.308418,0.15762053,-2.34890501610525,alpha_1
8.246129,0.50667375,6.56686892948679,beta_1
5.843484,-0.9293012,-0.187774742189538,beta_2
8.974941,-0.6775067,-0.763489441772738,beta_1
-4.922699,1.2882909,3.1315451716572,alpha_2
8.984592,-2.0593245,-6.23557024499707,beta_1
5.0701046,2.8273194,11.3386253184717,beta_2
6.7658725,-4.541393,0.649163546293432,beta_1
-10.12213,-0.35120243,-1.17740505399815,alpha_1
7.6415772,-3.814907,-1.12456706338459,beta_1
4.0141487,2.3003762,11.428747940753,beta_2
6.7572856,-3.2950146,-9.07710931109903,beta_1
6.9625173,0.9588478,4.0954452500963,beta_2
5.827504,-1.4829612,1.10072507031772,beta_2
-0.31335264,1.7168251,28.9751131146435,delta_2
-4.6467414,2.4445472,5.70284805598923,alpha_2
7.9615865,-0.55532444,-1.9567146234924,beta_2
-7.791639,-2.411005,0.213239593961871,alpha_1
4.892667,0.52741706,3.53897821725995,beta_2
-5.1759005,1.4578193,3.39769862165838,alpha_2
-2.5486915,3.4870582,11.9081488443979,alpha_2
7.959288,-3.8222065,-2.01189119792364,beta_1
-4.61883,2.1656473,3.16607225696043,alpha_2
8.003184,0.61445856,3.75956514499017,beta_2
8.51219,-0.513163,0.841910569011299,beta_1
7.138314,-1.7909038,-1.65030798579599,beta_1
6.6326227,-2.9013803,-4.15481165716948,beta_1
-3.2659976,4.730314,-6.22673405714424,alpha_2
-0.38027367,2.107341,12.5833695245489,delta_2
8.316812,-2.570268,-1.35603377507692,beta_1
5.6474648,-1.8235463,-2.66348395693196,beta_2
6.7757144,-3.0301914,0.00352576039090133,beta_1
5.737269,-1.6020894,-2.23995785549876,beta_2
-6.131173,2.0530593,2.8018305798999,alpha_2
6.192882,-4.1206326,-2.01208439758802,beta_1
-7.3422046,-1.7492353,-3.53355983414623,alpha_1
-8.740127,-0.66424793,-0.150040850560159,alpha_1
8.593668,-3.938493,-4.784883863758,beta_1
7.8119473,-1.6510684,-2.16132557336846,beta_1
8.652991,-2.4337513,2.98486885918259,beta_1
7.818936,-3.0514486,1.99363696331829,beta_1
6.793833,-3.4811285,-2.32178418265778,beta_1
-7.486817,-1.2761396,-2.53583771974418,alpha_1
-7.3084264,-1.2080411,0.680377259504506,alpha_1
4.31428,2.5704315,12.9665506873266,beta_2
-4.000361,3.2102606,21.3879604738161,alpha_2
8.87204,-0.8845667,1.31406319366962,beta_1
6.7700753,-2.526638,-0.352807044921686,beta_1
-8.162218,0.7835102,-0.122808897557954,alpha_1
4.8162007,2.9828446,9.93749585620701,beta_2
-10.221644,-0.5087496,-4.39443896632828,alpha_1
-8.912562,-2.618905,-4.8577961242724,alpha_1
6.745512,-2.1313827,-1.6061293826997,beta_1
3.5102556,3.4518614,8.76285697485011,beta_2
8.643421,-2.195398,-2.57501461889774,beta_1
-7.398564,-1.8108959,-2.07798408254767,alpha_1
-8.91406,1.4358062,-0.259722124464337,alpha_1
5.675345,-3.5966568,-1.08219924835799,beta_1
5.933924,-3.3282835,-2.76147381899434,beta_1
-9.688878,-2.2134156,-1.96524219318417,alpha_1
-7.170091,-1.2445563,-1.3432662677179,alpha_1
4.272106,3.2554815,12.9870409414529,beta_2
-0.98985416,1.9991322,10.8869275608356,delta_2
-10.108716,1.1026143,-0.857591874145922,alpha_1
-9.709468,0.9717272,-4.03592529094525,alpha_1
7.5181546,1.2280372,4.81922313160394,beta_2
8.841546,-1.0863501,0.0165928802701027,beta_1
-4.360313,2.594776,10.7522802063194,alpha_2
-9.675761,-1.1240194,-5.56408206385774,alpha_1
-0.94744253,1.9986551,12.6369728543031,delta_2
-9.910626,0.3805665,-6.37436835995167,alpha_1
4.782824,2.7192082,2.729956494552,beta_2
-8.728428,-0.4618044,-0.110183110641378,alpha_1
5.011549,0.059122786,3.31707689629224,beta_2
-7.375006,-2.047063,0.687545371609471,alpha_1
-7.973892,-1.4402355,0.63202316539078,alpha_1
6.1271152,-3.7984428,-0.813627945111014,beta_1
8.78737,-0.24178618,-0.224677676477739,beta_1
6.380873,-2.414176,1.22321174935026,beta_1
-10.086238,-1.073406,-5.74323012830284,alpha_1
-10.3410425,-0.85877377,-6.87380950743131,alpha_1
-7.298544,-1.4847922,1.38749462461937,alpha_1
-6.9461055,0.595834,1.75337423320389,alpha_1
-9.666243,1.744997,-2.03413330185013,alpha_1
-10.371552,1.5657253,-5.09033045641532,alpha_1
7.4332504,-2.2515025,2.83020960667916,beta_1
-5.5301976,1.9273292,4.46944662630166,alpha_2
6.375552,-3.1026077,-1.39655504127969,beta_1
-4.3957467,3.141259,15.7832135556389,alpha_2
9.012188,-1.0216713,-2.45693221353885,beta_1
-9.593353,1.8210763,-1.46553455338214,alpha_1
7.5745087,-3.8071704,-3.41861085283683,beta_1
-6.032505,1.6753258,4.43794788974721,alpha_2
-0.043634817,1.3254689,8.73201655947201,delta_2
-5.3139844,1.8414928,4.93671450880964,alpha_2
-7.6707096,-1.3824468,-0.296264581521701,alpha_1
8.712,-1.4385668,0.876273366871544,beta_1
7.334743,-4.252082,-1.72292693806776,beta_1
7.9375176,-1.8407152,1.04713210079932,beta_1
-2.4882863,3.5874307,6.30829220234745,alpha_2
-9.371331,-1.6929306,-3.12391150163724,alpha_1
8.563792,-1.1817094,3.16734078557289,beta_1
9.675642,-1.3041422,-1.2430121705996,beta_1
8.52561,-4.056625,-1.12286115495321,beta_1
-4.895281,1.3976265,14.8471548012415,alpha_2
7.671673,-3.211888,0.795713238703449,beta_1
8.712908,-2.7303624,-1.30310489515736,beta_1
-10.191144,-0.23801808,-6.36149015198265,alpha_1
9.340434,-1.0380365,-0.730812435729464,beta_1
8.729992,-3.8902102,-0.0099873108517688,beta_1
-3.6139793,3.430024,16.5040111809115,alpha_2
-7.646781,-0.1816413,2.19080699825991,alpha_1
-7.116072,-1.6308734,-4.42609616630132,alpha_1
-0.6769928,-0.24898998,0.661025115463265,delta_1
-4.1423817,3.301466,3.5918673460367,alpha_2
8.898049,-0.8946693,-2.34644388885464,beta_1
-9.103379,-1.5450203,-2.38012719440351,alpha_1
9.267252,-2.8338041,-7.87909749748273,beta_1
5.7687078,0.9892482,4.48821535618002,beta_2
