UMAP1,UMAP2,zval,cluster
-5.1023927,1.3868204,-0.468500991380987,alpha_2
2.1213605,3.5533817,0.357236465885682,beta_2
-9.805659,1.1269126,-1.67375634494377,alpha_1
8.333635,-0.71902174,-0.635663994728073,beta_1
7.030728,-3.5811422,0.799286748667637,beta_1
7.4326005,-2.9926991,-0.138147867523229,beta_1
8.100903,-3.3909883,1.79696339174092,beta_1
-7.644358,-1.0879118,-0.070216383181173,alpha_1
7.0127807,-2.9720278,-0.55063597504258,beta_1
3.8532014,2.77606,3.29706986828288,beta_2
-0.2548735,2.0643983,2.10894176316114,delta_2
-7.523513,-0.2645195,-2.7902709668909,alpha_1
8.399753,-0.5532214,-0.0254079491703998,beta_1
-8.80484,-2.5318043,-0.328425163343383,alpha_1
-9.545399,-0.6971933,-0.47276214905422,alpha_1
0.18682633,1.3760691,1.91035521073594,delta_2
-0.19706067,1.3951954,1.5200847483177,delta_2
-8.599813,-2.7038648,-2.15523805760194,alpha_1
-0.021403072,-1.11038,-3.53448310548775,delta_1
-8.650335,-2.317859,-2.21866069133608,alpha_1
0.07814337,0.89461184,-0.341956617278129,delta_2
-9.628777,-1.9380584,-2.07015691063976,alpha_1
-0.03973574,-1.1024127,-0.496942130847097,delta_1
-9.283587,-1.0377162,-0.584021486928706,alpha_1
8.02267,-0.1679783,1.13563577590381,beta_2
0.24900414,-1.0582565,-1.08173660285587,delta_1
-8.491583,-1.7144617,-0.527306465656421,alpha_1
-10.347256,0.6269315,0.0612698762780835,alpha_1
5.937259,0.2738438,-1.68843938727219,beta_2
1.0423777,-1.2872143,-0.0306587846407643,delta_1
-7.7963347,-0.9682282,-1.51490009113807,alpha_1
8.751668,-1.5316006,-0.75471930214386,beta_1
-9.521015,-1.3287379,0.544766536811152,alpha_1
-9.202023,1.5364757,-1.13693641052781,alpha_1
-0.4197616,2.265155,-1.92316660029179,delta_2
1.12048,-1.3128867,0.183209920497481,delta_1
-7.84118,-1.1428636,-1.93244424148558,alpha_1
8.633101,-1.329578,-0.19579280050928,beta_1
-7.2162747,-1.210757,-0.63607942764264,alpha_1
-7.211089,-1.4684074,-2.25311998777101,alpha_1
-8.308418,0.15762053,-0.661730284049219,alpha_1
8.246129,0.50667375,1.63279981941777,beta_1
5.843484,-0.9293012,-1.22535724766937,beta_2
8.974941,-0.6775067,-1.32899592677221,beta_1
-4.922699,1.2882909,-0.354026270156182,alpha_2
8.984592,-2.0593245,-0.195576811024774,beta_1
5.0701046,2.8273194,1.54896271121032,beta_2
6.7658725,-4.541393,-0.190685099238887,beta_1
-10.12213,-0.35120243,1.72607003701155,alpha_1
7.6415772,-3.814907,-0.85548602539767,beta_1
4.0141487,2.3003762,3.01370467432018,beta_2
6.7572856,-3.2950146,-0.0980060237005692,beta_1
6.9625173,0.9588478,-2.53492883312302,beta_2
5.827504,-1.4829612,-0.125793012545775,beta_2
-0.31335264,1.7168251,4.28290705301371,delta_2
-4.6467414,2.4445472,1.12019254096302,alpha_2
7.9615865,-0.55532444,-1.67951827429862,beta_2
-7.791639,-2.411005,-2.09045300111883,alpha_1
4.892667,0.52741706,-1.07676862250239,beta_2
-5.1759005,1.4578193,-0.0362276672307784,alpha_2
-2.5486915,3.4870582,2.49618187341595,alpha_2
7.959288,-3.8222065,-0.337815277776822,beta_1
-4.61883,2.1656473,1.20786206103679,alpha_2
8.003184,0.61445856,1.05686275281975,beta_2
8.51219,-0.513163,-0.236017248875987,beta_1
7.138314,-1.7909038,-2.37706177675706,beta_1
6.6326227,-2.9013803,0.850687878764264,beta_1
-3.2659976,4.730314,-1.22711286874455,alpha_2
-0.38027367,2.107341,2.35547897162279,delta_2
8.316812,-2.570268,0.343844694912346,beta_1
5.6474648,-1.8235463,0.0827990142149177,beta_2
6.7757144,-3.0301914,0.432141123472912,beta_1
5.737269,-1.6020894,-0.00459238700068684,beta_2
-6.131173,2.0530593,-0.828926766017172,alpha_2
6.192882,-4.1206326,-1.34056063672707,beta_1
-7.3422046,-1.7492353,-0.518772047068283,alpha_1
-8.740127,-0.66424793,-0.906743935709194,alpha_1
8.593668,-3.938493,0.0842856373354871,beta_1
7.8119473,-1.6510684,-1.45368960598218,beta_1
8.652991,-2.4337513,-1.32242049958664,beta_1
