motif,motif.1,lfdr,enrichedIn
NEUROD1,1,-237.657490058631,alpha_1
Rfx1,2,-205.377707240968,alpha_1
TAL1::TCF3,3,-201.234955125189,alpha_1
ASCL1,4,-192.537815685569,alpha_1
Myod1,5,-181.88735960495,alpha_1
NRL,6,-176.72131783924,alpha_1
Myog,7,-168.37988683139,alpha_1
Tcf12,8,-168.225165933311,alpha_1
GATA2,9,-167.236241072984,alpha_1
Gata4,10,-165.466844248648,alpha_1
MSC,11,-164.467439902891,alpha_1
Ascl2,12,-159.046312844829,alpha_1
Tcf21,13,-158.764994418781,alpha_1
GATA3,14,-154.556415702366,alpha_1
GATA6,15,-148.413625943994,alpha_1
Gata1,16,-147.256557778196,alpha_1
STAT3,17,-128.599907888653,alpha_1
MYF6,18,-122.12839941463,alpha_1
NEUROG2,19,-121.538900817857,alpha_1
GATA5,20,-119.585119931937,alpha_1
Stat4,21,-115.244913279609,alpha_1
NHLH1,22,-110.681725770964,alpha_1
FOXA1,23,-100.945434256871,alpha_1
RFX5,24,-88.8653184794569,alpha_1
SNAI2,25,-88.1339501767,alpha_1
STAT1,26,-86.4614779176698,alpha_1
Foxa2,27,-83.366693657832,alpha_1
GATA1::TAL1,28,-76.8905728049308,alpha_1
IRF2,29,-75.3073456820985,alpha_1
TFAP4,30,-72.6883087618866,alpha_1
TWIST1,31,-69.0756129682142,alpha_1
NFIC,32,-67.5161176591496,alpha_1
RFX3,33,-66.3435831049777,alpha_1
NFATC2,34,-66.1520893734293,alpha_1
TCF3,35,-65.3634979546002,alpha_1
Mafb,36,-63.9084182927898,alpha_1
OLIG1,37,-63.3584069813746,alpha_1
ZEB1,38,-63.0144467629087,alpha_1
EWSR1-FLI1,39,-60.8184035977021,alpha_1
NFAT5,40,-60.5282606183003,alpha_1
NEUROD2,41,-59.8513856366013,alpha_1
BHLHE23,42,-59.8128181757742,alpha_1
RFX2,43,-59.1833844684861,alpha_1
BHLHE22,44,-56.9895918395599,alpha_1
OLIG2,45,-54.6126418938216,alpha_1
Atoh1,46,-54.247646397203,alpha_1
TCF4,47,-52.9962018970793,alpha_1
Bhlha15,48,-52.885207196755,alpha_1
ID4,49,-51.842047241803,alpha_1
IRF3,50,-50.816902770099,alpha_1
Nkx2-5(var.2),51,-49.5076282876127,alpha_1
RFX4,52,-47.4095512677976,alpha_1
OLIG3,53,-47.2344909328502,alpha_1
Stat5a::Stat5b,54,-46.7983097866343,alpha_1
ELF5,55,-46.5327399568694,alpha_1
ELF3,56,-46.4041767638223,alpha_1
Bcl6,57,-46.0976615637343,alpha_1
IRF8,58,-44.6367774954463,alpha_1
ZBTB18,59,-44.4250593347214,alpha_1
SPIB,60,-43.699390863274,alpha_1
FOXB1,61,-43.3234938893275,alpha_1
MZF1,62,-42.9415049509152,alpha_1
THAP1,63,-42.1239775635306,alpha_1
STAT1::STAT2,64,-40.3182230627586,alpha_1
Twist2,65,-39.7479312515757,alpha_1
FOXC1,66,-38.3450223524043,alpha_1
Nr2e3,67,-37.8058451969534,alpha_1
REST,68,-36.5629848540274,alpha_1
Hnf4a,69,-35.5393371478946,alpha_1
HNF4G,70,-35.1055639781233,alpha_1
Nkx3-1,71,-34.6430969585856,alpha_1
MAFG,72,-33.2241072075523,alpha_1
EHF,73,-32.9773507449312,alpha_1
SOX8,74,-32.3238330171583,alpha_1
NFATC3,75,-32.0175297169599,alpha_1
NKX2-3,76,-31.6463203195343,alpha_1
NFATC1,77,-31.6115525313771,alpha_1
IRF4,78,-29.984294053857,alpha_1
ZNF263,79,-29.888702933374,alpha_1
Arid5a,80,-29.2797596262111,alpha_1
RBPJ,81,-28.6670449492086,alpha_1
IRF9,82,-28.4666006795003,alpha_1
Neurog1,83,-28.1134006583761,alpha_1
FOXH1,84,-28.0127749622018,alpha_1
SOX10,85,-27.8976037820666,alpha_1
SIX1,86,-27.8752791168175,alpha_1
FOXC2,87,-27.0929693357748,alpha_1
CTCF,88,-26.6308366225808,alpha_1
Nr2e1,89,-26.5314203817545,alpha_1
Nr5a2,90,-25.5962116510958,alpha_1
CEBPE,91,-25.4561570910228,alpha_1
RUNX1,92,-24.9433622054609,alpha_1
NKX3-2,93,-24.7159085577727,alpha_1
Spz1,94,-23.2364850500199,alpha_1
Mecom,95,-22.4812859957595,alpha_1
NKX2-8,96,-22.1799449193775,alpha_1
SOX4,97,-21.7394659375046,alpha_1
POU5F1,98,-21.0956011081814,alpha_1
HNF1B,99,-20.5702911626086,alpha_1
Pparg::Rxra,100,-20.0168056881147,alpha_1
Pou5f1::Sox2,101,-19.6652441930554,alpha_1
HIC2,102,-19.5071976823789,alpha_1
MTF1,103,-19.2358643224831,alpha_1
ZBTB7A,104,-19.2137881241317,alpha_1
CEBPB,105,-19.1609969436054,alpha_1
Hic1,106,-18.2379877219986,alpha_1
FIGLA,107,-18.0878955163838,alpha_1
TFAP2B(var.3),108,-17.918911384413,alpha_1
Crx,109,-17.7695343608101,alpha_1
FOXF2,110,-16.9533687068028,alpha_1
Stat6,111,-16.9298907699645,alpha_1
FOXI1,112,-16.7022560200548,alpha_1
FOXL1,113,-16.7022560200548,alpha_1
FOXD2,114,-16.7022560200548,alpha_1
FOXO4,115,-16.7022560200548,alpha_1
FOXO6,116,-16.7022560200548,alpha_1
FOXP3,117,-16.7022560200548,alpha_1
TFAP2A(var.3),118,-15.4986830019467,alpha_1
NFIA,119,-15.3648546901974,alpha_1
FOXP2,120,-15.2423814098691,alpha_1
FOXP1,121,-14.8192930256683,alpha_1
FOXK1,122,-14.8190048714721,alpha_1
EBF1,123,-14.5189887663611,alpha_1
ELF4,124,-14.0233612080097,alpha_1
TFAP2C(var.3),125,-13.9959625665365,alpha_1
ELF1,126,-13.7465961955666,alpha_1
NFIC::TLX1,127,-13.7465961955666,alpha_1
IRF7,128,-13.5115253104218,alpha_1
Sox11,129,-12.1076194057559,alpha_1
Foxo1,130,-12.0380401462316,alpha_1
SIX2,131,-11.9309179631957,alpha_1
NR2C2,132,-11.8588775766428,alpha_1
ISL2,133,-11.7891400631314,alpha_1
CEBPD,134,-11.6246746530054,alpha_1
Znf423,135,-11.4060746484863,alpha_1
BCL6B,136,-11.3247615835949,alpha_1
CTCFL,137,-10.1279884099226,alpha_1
CEBPA,138,-9.94611461855717,alpha_1
MYB,139,-9.65979213745892,alpha_1
GRHL2,140,-9.58305959622326,alpha_1
HMBOX1,141,-9.57191734427189,alpha_1
ELK4,142,-8.85310190107826,alpha_1
ZBTB7C,143,-8.71922358387638,alpha_1
GRHL1,144,-8.53876293188017,alpha_1
ETV6,145,-8.5244721152767,alpha_1
PRDM1,146,-8.45194495467447,alpha_1
HNF1A,147,-8.43347246192289,alpha_1
SCRT2,148,-8.11918486106972,alpha_1
SPI1,149,-7.98306599511298,alpha_1
FOXK2,150,-7.9802788975268,alpha_1
Hand1::Tcf3,151,-7.73873231829732,alpha_1
NFIX,152,-7.36925683285615,alpha_1
TCF7L1,153,-7.17589575829179,alpha_1
Smad4,154,-7.09546901956428,alpha_1
ETV2,155,-6.64715785710895,alpha_1
CEBPG,156,-6.48588985708345,alpha_1
Ar,157,-6.34735000001882,alpha_1
ZIC1,158,-6.3335218781761,alpha_1
ONECUT2,159,-5.56610421598655,alpha_1
RUNX2,160,-5.52373239810266,alpha_1
ZSCAN4,161,-5.05196971634069,alpha_1
POU2F2,162,-5.00976877910656,alpha_1
Foxj3,163,-4.90985780398117,alpha_1
HLTF,164,-4.8353223879267,alpha_1
IRF5,165,-4.75912113868562,alpha_1
TFAP2C(var.2),166,-4.06223858194363,alpha_1
Sox3,167,-3.89769531971885,alpha_1
LEF1,168,-3.88801665930003,alpha_1
IRF1,169,-3.81111480368998,alpha_1
Gfi1b,170,-3.51424736208125,alpha_1
ZBTB7B,171,-3.48423856610592,alpha_1
Rhox11,172,-3.18027886507161,alpha_1
SPDEF,173,-3.02700042715327,alpha_1
INSM1,174,-3.01028418830938,alpha_1
Tcf7,175,-2.98502212955847,alpha_1
GCM1,176,-2.95759211604232,alpha_1
SPIC,177,-2.94556119991434,alpha_1
