motif,motif.1,lfdr,enrichedIn
NEUROD1,1,-292.062651660284,beta_1
Rfx1,2,-292.062651660284,beta_1
ASCL1,3,-292.062651660284,beta_1
NRL,4,-292.062651660284,beta_1
TAL1::TCF3,5,-285.179648056504,beta_1
Ascl2,6,-250.039540122546,beta_1
Tcf12,7,-246.029054909275,beta_1
Myog,8,-238.82871379733,beta_1
Myod1,9,-229.325977910908,beta_1
RFX5,10,-194.801863073172,beta_1
Tcf21,11,-180.154879212734,beta_1
RFX3,12,-160.583033380559,beta_1
RFX2,13,-155.10375344376,beta_1
MSC,14,-154.066578750051,beta_1
Mafb,15,-148.838413506031,beta_1
RFX4,16,-145.51389469184,beta_1
CTCF,17,-139.110366416858,beta_1
NHLH1,18,-110.967076714718,beta_1
NEUROG2,19,-108.040090022768,beta_1
MYF6,20,-99.5778163119142,beta_1
CTCFL,21,-85.0751720249857,beta_1
NEUROD2,22,-82.3284894254922,beta_1
NFIC,23,-81.7561610280015,beta_1
ZEB1,24,-80.3768926400888,beta_1
MAFG,25,-79.7822698193124,beta_1
TFAP4,26,-78.8712414603607,beta_1
NFATC2,27,-73.2083618119226,beta_1
NFAT5,28,-61.9752776704155,beta_1
TWIST1,29,-60.0341108088488,beta_1
SNAI2,30,-57.3578563836134,beta_1
OLIG1,31,-56.8412461813659,beta_1
STAT3,32,-54.1544979222165,beta_1
BHLHE23,33,-52.6996165603625,beta_1
Bhlha15,34,-51.7777280613342,beta_1
NFATC3,35,-50.0421274531125,beta_1
Atoh1,36,-48.999374530363,beta_1
TCF3,37,-47.817264180491,beta_1
NKX2-3,38,-47.811403634295,beta_1
BHLHE22,39,-47.4156264762464,beta_1
MTF1,40,-45.5810698153177,beta_1
NFATC1,41,-44.9553825372148,beta_1
ONECUT1,42,-43.641470510352,beta_1
Stat4,43,-43.2594218280742,beta_1
Nkx3-1,44,-42.4121835362345,beta_1
OLIG2,45,-41.1186079938895,beta_1
ONECUT2,46,-41.1135084173115,beta_1
NKX2-8,47,-40.7942419526087,beta_1
REST,48,-40.4941362603762,beta_1
SIX1,49,-40.2107791316677,beta_1
Nkx2-5(var.2),50,-39.9516397260747,beta_1
