motif,motif.1,lfdr,enrichedIn
Rfx1,1,-53.9978985719824,delta_1
RFX5,2,-36.2160082521113,delta_1
NEUROD1,3,-34.0930993499288,delta_1
TAL1::TCF3,4,-33.0446807315911,delta_1
ASCL1,5,-32.6180574392163,delta_1
RFX3,6,-31.9727218619643,delta_1
Ascl2,7,-31.8694892241129,delta_1
MSC,8,-31.637939262497,delta_1
RFX2,9,-30.4163584178119,delta_1
Tcf12,10,-28.8633446404876,delta_1
Tcf21,11,-28.1557437577229,delta_1
Myod1,12,-27.9586716324237,delta_1
Myog,13,-27.8486667132932,delta_1
FOXA1,14,-27.538127253231,delta_1
RFX4,15,-26.8263088186644,delta_1
IRF2,16,-24.8673005471521,delta_1
Foxa2,17,-24.4308766022187,delta_1
MYF6,18,-21.5186959040524,delta_1
EWSR1-FLI1,19,-17.6394892480766,delta_1
IRF3,20,-17.2797862528227,delta_1
NHLH1,21,-16.5540318547464,delta_1
SNAI2,22,-15.917750037055,delta_1
FOXB1,23,-14.7006673620104,delta_1
Nkx3-1,24,-14.263680002666,delta_1
NFAT5,25,-13.8871303622195,delta_1
STAT1::STAT2,26,-13.7668423730097,delta_1
CTCF,27,-13.5527114923486,delta_1
FOXC1,28,-13.1111771506326,delta_1
NFATC2,29,-11.9433327602126,delta_1
Arid3a,30,-11.7950850415812,delta_1
ISL2,31,-11.3574477310698,delta_1
NKX3-2,32,-11.2048253894237,delta_1
STAT3,33,-11.1935241812799,delta_1
FOXC2,34,-11.191264723793,delta_1
TWIST1,35,-10.853471484333,delta_1
TFAP4,36,-10.6555943661948,delta_1
NFATC1,37,-10.4425334594033,delta_1
NEUROG2,38,-10.4340170163041,delta_1
HNF1B,39,-9.59825737952719,delta_1
ELF5,40,-9.57459350686678,delta_1
HNF4G,41,-9.48747820859811,delta_1
NKX2-3,42,-9.44527128019861,delta_1
MTF1,43,-9.30102545909828,delta_1
FOXP2,44,-9.28215310698235,delta_1
NFIC,45,-9.276390032012,delta_1
IRF9,46,-9.18492192086612,delta_1
TCF3,47,-9.14363340814538,delta_1
ID4,48,-8.97298098294776,delta_1
NFATC3,49,-8.92380510645778,delta_1
ZNF263,50,-8.81017278831209,delta_1
FOXI1,51,-8.65948829261457,delta_1
FOXL1,52,-8.65948829261457,delta_1
FOXD2,53,-8.65948829261457,delta_1
FOXO4,54,-8.65948829261457,delta_1
FOXO6,55,-8.65948829261457,delta_1
FOXP3,56,-8.65948829261457,delta_1
Foxo1,57,-8.63680286578063,delta_1
IRF8,58,-8.5645915381433,delta_1
HNF1A,59,-8.3985683929517,delta_1
CTCFL,60,-8.38203978029954,delta_1
FOXP1,61,-8.2919042855602,delta_1
Stat4,62,-8.1752919169452,delta_1
FOXK1,63,-7.88703822424833,delta_1
SOX10,64,-7.77665502645673,delta_1
ZEB1,65,-7.77135375021863,delta_1
Hnf4a,66,-7.72607369334739,delta_1
