"",motif,alpha_1,beta_1,delta_1,alpha_2,beta_2,delta_2,alpha,beta,delta
"1",NR2F1,0.444223412048092,0.349379132057916,0,1,0.483580559973394,0.4131001897884,TRUE,FALSE,TRUE
"2",MEF2C,0.211187507308621,0.351433841949973,0,1,0.674621241873444,0.373244693150151,TRUE,FALSE,FALSE
"3",MEF2A,0.209604297360575,0.293138357142374,0,1,0.614598616585995,0.352677014343207,TRUE,FALSE,FALSE
"4",MEF2B,0.209183886612333,0.326474388068308,0,1,0.647758845658767,0.421916995754965,TRUE,FALSE,TRUE
"5",MEF2D,0.222003156291952,0.297791732998568,0,1,0.612282253480955,0.407496938248456,TRUE,FALSE,FALSE
"6",TFEC,0.0948709698700239,0.0356160429319446,0,1,0.49245442464752,0.624502194735874,TRUE,TRUE,TRUE
"7",MITF,0,0.0187031301447645,0.0166688269972434,1,0.529568088147589,0.644261869438412,TRUE,TRUE,TRUE
"8",USF1,0.0489736400108084,0.0685152611806783,0,1,0.566204093396527,0.638826419001255,TRUE,TRUE,TRUE
"9",NRF1,0,0.0226467198658377,0.0294012313419136,1,0.373472573380305,0.493566372219642,TRUE,FALSE,FALSE
"10",TFEB,0.14261215269,0.0629014605076401,0,1,0.449094881291942,0.556819668414421,TRUE,TRUE,TRUE
"11",TFE3,0.116057677683631,0.101955771368666,0,1,0.508319821414627,0.516893022210529,TRUE,TRUE,TRUE
"12",USF2,0.0647563438071591,0.053027309585325,0,1,0.46856902219792,0.530391036493467,TRUE,TRUE,TRUE
"13",CREB3,0.27175523047541,0.217702320075063,0,1,0.368928240648243,0.714097977204498,TRUE,FALSE,TRUE
"14",RARA,0.277536140786899,0.170363029627207,0,1,0.444467177277635,0.548587362894478,TRUE,FALSE,FALSE
"15",Srebf1(var.2),0.225351980291927,0.105346257242632,0,1,0.478888377477029,0.50631255356263,TRUE,TRUE,TRUE
"16",SREBF2(var.2),0.189435593456417,0.0588243023576687,0,1,0.469198420492745,0.483559849034266,TRUE,TRUE,TRUE
"17",KLF16,0.23535288231954,0,0.260831440142577,1,0.402120328918324,0.609514080359815,TRUE,FALSE,FALSE
"18",SP3,0.323915027900478,0,0.14634945558985,1,0.38479207386818,0.655846252373343,TRUE,FALSE,FALSE
"19",NFYA,0.380552680221912,0,0.238850707010997,1,0.296206051481673,0.703932339769366,TRUE,FALSE,TRUE
"20",NFYB,0.268685717138768,0,0.211566623004309,1,0.327115300996328,0.755776309430098,TRUE,FALSE,TRUE
"21",Atf1,0.114149176101968,0,0.0296856939799415,1,0.198768537750072,0.483018380358817,TRUE,FALSE,FALSE
"22",Crem,0.123853825148266,0,0.0278650695552618,1,0.182987105225184,0.539837737203766,TRUE,FALSE,TRUE
"23",Atf3,0.243463764256945,0,0.034846073296157,1,0.206470332373376,0.641421909211245,TRUE,FALSE,TRUE
"24",Klf1,0.32876594652368,0,0.00497065177985306,1,0.289019175985714,0.647708503289411,TRUE,FALSE,TRUE
"25",Klf12,0.28228584373023,0.0285817796368133,0,1,0.257111434151442,0.61912704684494,TRUE,FALSE,TRUE
"26",KLF13,0.356977028015512,0,0.144060043771464,1,0.217467153753083,0.566428338103692,TRUE,FALSE,FALSE
"27",SP4,0.248801233184199,0,0.0873773538225045,1,0.337451787176875,0.547162235216613,TRUE,FALSE,TRUE
"28",KLF14,0.322510995880585,0,0.103273104562131,1,0.311855073278347,0.549495066139677,TRUE,FALSE,TRUE
"29",SP8,0.283102517671842,0,0.10948316896335,1,0.280071571365032,0.551242597851323,TRUE,FALSE,FALSE
"30",PBX2,0.667239001379884,0,0.0685529213413521,1,0.439009256942228,0.409267466953915,FALSE,TRUE,FALSE
"31",HEY2,0.236585488454459,0.0527294786987421,0,1,0.304842673553816,0.266114407738252,TRUE,FALSE,FALSE
"32",MAX,0.262980871057357,0.0111880353020942,0,1,0.25465421723011,0.189591111273523,TRUE,FALSE,FALSE
"33",MYC,0.309226335996514,0.162781396669842,0,1,0.30570862720903,0.113441767383699,TRUE,FALSE,FALSE
"34",HEY1,0.342800148083955,0.128200404718882,0,1,0.313387021596955,0.26534475067961,TRUE,FALSE,FALSE
"35",ZNF384,0.326142626937069,0.154312636389153,0,1,0.35479262822464,0.320428646241888,TRUE,FALSE,FALSE
"36",Arnt,0.326861352518944,0.0511849920466867,0,1,0.254531511509644,0.251821181715552,TRUE,FALSE,FALSE
"37",Id2,0.357394231353812,0.137340615334853,0,1,0.252915461999,0.221491215092833,TRUE,FALSE,FALSE
"38",Hes1,0.29587827159181,0.0423953087930561,0,1,0.272482690196467,0.463743703066589,TRUE,FALSE,FALSE
"39",Nr2f6(var.2),0.378900029357833,0.0150122603716559,0,1,0.260814514236656,0.498554837100703,TRUE,FALSE,TRUE
"40",Rarg,0.36257318382006,0.072823637634593,0,1,0.331419316905412,0.503333611474956,TRUE,FALSE,FALSE
"41",Creb3l2,0.268174914191302,0.0988751865619922,0,1,0.361238735705142,0.351727184441897,TRUE,FALSE,FALSE
"42",MLX,0.220126714489824,0.0462080054534199,0,1,0.28711484489118,0.388526499366325,TRUE,FALSE,FALSE
"43",BHLHE40,0.382352794829568,0.0151019305912875,0,1,0.217204463652998,0.36502252020805,TRUE,FALSE,FALSE
"44",Arntl,0.308905988180824,0.0313995649829759,0,1,0.237048271108185,0.38740812719237,TRUE,FALSE,TRUE
"45",BHLHE41,0.31142083944884,0.0433205127994082,0,1,0.252799401739465,0.410251267371976,TRUE,FALSE,TRUE
"46",MLXIPL,0.27943173887599,0.0564200120973957,0,1,0.2650883199579,0.364875273856092,TRUE,FALSE,FALSE
"47",Tcfl5,0.276295290846347,0.0338531306033658,0,1,0.209210509197968,0.359757227101255,TRUE,FALSE,FALSE
"48",DUX4,0,0.332187234883155,0.528366632085941,0.840535001656653,0.773501902276924,1,TRUE,FALSE,FALSE
"49",DUXA,0,0.566621585169851,0.637222938329932,0.625049559186448,0.837478395963901,1,TRUE,FALSE,FALSE
"50",ATF4,0.027795897963755,0,0.102241541430795,0.735870818713411,0.875503839895286,1,TRUE,TRUE,TRUE
"51",Bach1::Mafk,0,0.190277911295348,0.194542074665911,0.76335286986862,0.709707644197223,1,TRUE,TRUE,TRUE
"52",MAF::NFE2,0,0.155316394497485,0.180860340226209,0.769067151238716,0.696439337666747,1,TRUE,TRUE,TRUE
"53",BACH2,0,0.15112818713338,0.202963454213778,0.775519722096682,0.681124167022533,1,TRUE,TRUE,TRUE
"54",Nfe2l2,0,0.140217199152535,0.191317483899772,0.757300536464427,0.678603321672543,1,TRUE,TRUE,TRUE
"55",FOS::JUND,0,0.107983141885486,0.258387327119743,0.786792651296497,0.647273068160079,1,TRUE,TRUE,TRUE
