enrichedIn,celltype,motif,delta,selected,FDR
alpha_1,alpha,NEUROD1,1.80737336424368,TRUE,2.20044207904873e-238
alpha_1,alpha,Rfx1,1.68739225726329,TRUE,4.1907597011651e-206
alpha_1,alpha,TAL1::TCF3,1.47446595248847,TRUE,5.82163368480483e-202
alpha_1,alpha,ASCL1,1.4387102938425,TRUE,2.89857348030435e-193
alpha_1,alpha,Myod1,1.37695162663061,TRUE,1.29610562387424e-182
alpha_1,alpha,NRL,1.2733398632486,TRUE,1.89968748117157e-177
alpha_1,alpha,Myog,1.26242456402089,TRUE,4.16978025596671e-169
alpha_1,alpha,Tcf12,1.26963050063869,TRUE,5.95434599049737e-169
alpha_1,alpha,GATA2,1.33977489930611,TRUE,5.80442129843633e-168
alpha_1,alpha,Gata4,1.3165905172329,TRUE,3.41315295832514e-166
alpha_1,alpha,MSC,1.19004259546463,TRUE,3.40847487572159e-165
alpha_1,alpha,Ascl2,1.3063330509375,TRUE,8.98849860114177e-160
alpha_1,alpha,Tcf21,1.18885212941825,TRUE,1.71793046453765e-159
alpha_1,alpha,GATA3,1.28832066988808,TRUE,2.77705382681439e-155
alpha_1,alpha,GATA6,1.25253026231485,TRUE,3.8581051157066e-149
alpha_1,alpha,Gata1,1.20561694466686,TRUE,5.53913846773807e-148
alpha_1,alpha,STAT3,1.05256338494123,TRUE,2.51241924458826e-129
alpha_1,alpha,MYF6,0.921330359413066,TRUE,7.44047369065378e-123
alpha_1,alpha,NEUROG2,0.942907039534861,TRUE,2.89134011770491e-122
alpha_1,alpha,GATA5,1.07093134448927,TRUE,2.59944161916412e-120
alpha_1,alpha,Stat4,1.02117332789333,TRUE,5.68966531352475e-116
alpha_1,alpha,NHLH1,0.887676385933646,TRUE,2.08101029650453e-111
alpha_1,alpha,FOXA1,1.3023188551902,TRUE,1.13387647037018e-101
alpha_1,alpha,RFX5,0.907296108815336,TRUE,1.363582819052e-89
alpha_1,alpha,SNAI2,0.846776632564917,TRUE,7.34598138175789e-89
alpha_1,alpha,STAT1,0.855390794080447,TRUE,3.45558899572515e-87
alpha_1,alpha,Foxa2,1.19172400839632,TRUE,4.29839519586265e-84
alpha_1,alpha,GATA1::TAL1,0.70715802362731,TRUE,1.28655155802866e-77
alpha_1,alpha,IRF2,0.767524537357018,TRUE,4.92781412312445e-76
alpha_1,alpha,TFAP4,0.726099378481501,TRUE,2.04970442227093e-73
alpha_1,alpha,TWIST1,0.663849281308476,TRUE,8.40208424559488e-70
alpha_1,alpha,NFIC,0.713246106230522,TRUE,3.04706936514027e-68
alpha_1,alpha,RFX3,0.774358015505276,TRUE,4.53332541448616e-67
alpha_1,alpha,NFATC2,0.622925472308907,TRUE,7.04548065153381e-67
alpha_1,alpha,TCF3,0.66296868421298,TRUE,4.3301410710284e-66
alpha_1,alpha,Mafb,0.673099349095779,TRUE,1.23475759790253e-64
alpha_1,alpha,OLIG1,0.63217980908639,TRUE,4.38119939096222e-64
alpha_1,alpha,ZEB1,0.63078888247529,TRUE,9.67282291683115e-64
alpha_1,alpha,EWSR1-FLI1,0.593604143294023,TRUE,1.5191351138569e-61
alpha_1,alpha,NFAT5,0.591893318830449,TRUE,2.96305274035374e-61
alpha_1,alpha,NEUROD2,0.603499228903296,TRUE,1.40803796023507e-60
alpha_1,alpha,BHLHE23,0.610976482044615,TRUE,1.53879874779561e-60
alpha_1,alpha,RFX2,0.724725717926303,TRUE,6.55564656697742e-60
alpha_1,alpha,BHLHE22,0.597565096674175,TRUE,1.02425515980551e-57
alpha_1,alpha,OLIG2,0.568086790614895,TRUE,2.43982179288965e-55
alpha_1,alpha,Atoh1,0.588944796512193,TRUE,5.6539713410176e-55
alpha_1,alpha,TCF4,0.602013879981622,TRUE,1.00878380838391e-53
alpha_1,alpha,Bhlha15,0.592413445093586,TRUE,1.30254520129793e-53
alpha_1,alpha,ID4,0.618606785610249,TRUE,1.43864207674588e-52
alpha_1,alpha,IRF3,0.589680878890611,TRUE,1.52439399710894e-51
alpha_1,alpha,Nkx2-5(var.2),0.518753568507375,TRUE,3.10721791629136e-50
alpha_1,alpha,RFX4,0.635907531150316,TRUE,3.89447331329782e-48
alpha_1,alpha,OLIG3,0.522476985715348,TRUE,5.82785942006595e-48
alpha_1,alpha,Stat5a::Stat5b,0.577373435850639,TRUE,1.5910733934774e-47
alpha_1,alpha,ELF5,0.787982785858882,TRUE,2.93264870591504e-47
alpha_1,alpha,ELF3,0.718858366065064,TRUE,3.94296785201113e-47
alpha_1,alpha,Bcl6,0.52485454358757,TRUE,7.98616789575572e-47
alpha_1,alpha,IRF8,0.552157519257571,TRUE,2.30792932038144e-45
alpha_1,alpha,ZBTB18,0.526073112444698,TRUE,3.75786059670181e-45
alpha_1,alpha,SPIB,0.522809931315582,TRUE,1.99806281174717e-44
alpha_1,alpha,FOXB1,0.69531836181478,TRUE,4.74794971422948e-44
alpha_1,alpha,MZF1,0.422956359949378,FALSE,1.14418183618016e-43
alpha_1,alpha,THAP1,0.496908873639596,FALSE,7.51661725273031e-43
alpha_1,alpha,STAT1::STAT2,0.518650472050486,TRUE,4.8059244268445e-41
alpha_1,alpha,Twist2,0.485015342414091,FALSE,1.78677039660636e-40
alpha_1,alpha,FOXC1,0.641880544025233,TRUE,4.51832688710212e-39
alpha_1,alpha,Nr2e3,0.456179593558925,FALSE,1.56370492153616e-38
alpha_1,alpha,REST,0.437651527410319,FALSE,2.73536412016818e-37
alpha_1,alpha,Hnf4a,0.598162276289489,TRUE,2.88843668452804e-36
alpha_1,alpha,HNF4G,0.597815243572721,TRUE,7.84216583448934e-36
alpha_1,alpha,Nkx3-1,0.440479748046959,FALSE,2.27458955969392e-35
alpha_1,alpha,MAFG,0.492231948496378,FALSE,5.96887923918989e-34
alpha_1,alpha,EHF,0.589813438367704,TRUE,1.05353569616275e-33
alpha_1,alpha,SOX8,0.411399243839755,FALSE,4.74424362664548e-33
alpha_1,alpha,NFATC3,0.418207182473477,FALSE,9.60440097228575e-33
alpha_1,alpha,NKX2-3,0.424233684326665,FALSE,2.25776990844497e-32
alpha_1,alpha,NFATC1,0.425123706415187,FALSE,2.44594940109361e-32
alpha_1,alpha,IRF4,0.44260265491429,FALSE,1.03682615966952e-30
alpha_1,alpha,ZNF263,0.349233336270235,FALSE,1.29210279709069e-30
alpha_1,alpha,Arid5a,0.416901281112318,FALSE,5.25098011661689e-30
alpha_1,alpha,RBPJ,0.404336094832937,FALSE,2.15255893468466e-29
alpha_1,alpha,IRF9,0.431126512961441,FALSE,3.4150677234444e-29
alpha_1,alpha,Neurog1,0.404508769175514,FALSE,7.70192600022365e-29
alpha_1,alpha,FOXH1,0.398144284420275,FALSE,9.71012985426654e-29
alpha_1,alpha,SOX10,0.394796287536627,FALSE,1.26589072520476e-28
alpha_1,alpha,SIX1,0.396904059642917,FALSE,1.33266466632349e-28
alpha_1,alpha,FOXC2,0.5280156561406,TRUE,8.07292028694994e-28
alpha_1,alpha,CTCF,0.534294906389406,TRUE,2.33971725231505e-27
alpha_1,alpha,Nr2e1,0.370983110895993,FALSE,2.94157291636628e-27
alpha_1,alpha,Nr5a2,0.377345507725575,FALSE,2.53389345010626e-26
alpha_1,alpha,CEBPE,0.411977592426728,FALSE,3.49818609346016e-26
alpha_1,alpha,RUNX1,0.354802367221448,FALSE,1.13929920554796e-25
alpha_1,alpha,NKX3-2,0.365695165068233,FALSE,1.92349668525355e-25
alpha_1,alpha,Spz1,0.357918328803582,FALSE,5.8011614186573e-24
alpha_1,alpha,Mecom,0.346377028793128,FALSE,3.30152054542674e-23
alpha_1,alpha,NKX2-8,0.351545275665358,FALSE,6.60777247631374e-23
alpha_1,alpha,SOX4,0.320941189921563,FALSE,1.8219399655083e-22
alpha_1,alpha,POU5F1,0.349779998592807,FALSE,8.0241472879878e-22
alpha_1,alpha,HNF1B,0.42370858976917,FALSE,2.68973093192763e-21
alpha_1,alpha,Pparg::Rxra,0.353745633922662,FALSE,9.62042618877344e-21
alpha_1,alpha,Pou5f1::Sox2,0.3153247546652,FALSE,2.16150282235524e-20
alpha_1,alpha,HIC2,0.326664923790789,FALSE,3.11030026682018e-20
alpha_1,alpha,MTF1,0.32145507674903,FALSE,5.80945881912453e-20
