ps_bin_idx,ps_bin,celltype,1,2,N,frac,ps
1,"[0,0.185)",beta,103,1,104,0.990384615384615,0.01
1,"[0,0.209)",alpha,172,0,172,1,0.01
1,"[0,0.749)",delta,48,3,51,0.941176470588235,0
10,"[1.66,1.85)",beta,91,1,92,0.989130434782609,0.1
10,"[1.88,2.09)",alpha,127,0,127,1,0.1
10,"[6.74,7.49)",delta,47,1,48,0.979166666666667,0.45
100,"[18.3,18.5]",beta,0,30,30,0,1
100,"[20.6,20.9]",alpha,1,67,68,0.0147058823529412,1
11,"[1.85,2.03)",beta,38,3,41,0.926829268292683,0.11
11,"[2.09,2.29)",alpha,26,0,26,1,0.11
11,"[7.49,8.24)",delta,34,6,40,0.85,0.5
12,"[2.03,2.22)",beta,45,0,45,1,0.12
12,"[2.29,2.5)",alpha,67,0,67,1,0.12
12,"[8.24,8.98)",delta,48,10,58,0.827586206896552,0.55
13,"[2.22,2.4)",beta,19,0,19,1,0.13
13,"[2.5,2.71)",alpha,654,4,658,0.993920972644377,0.13
13,"[8.98,9.73)",delta,3,13,16,0.1875,0.6
14,"[2.4,2.59)",beta,148,7,155,0.954838709677419,0.14
14,"[2.71,2.92)",alpha,112,0,112,1,0.14
14,"[9.73,10.5)",delta,8,11,19,0.421052631578947,0.65
15,"[10.5,11.2)",delta,8,27,35,0.228571428571429,0.7
15,"[2.59,2.77)",beta,219,2,221,0.990950226244344,0.15
15,"[2.92,3.13)",alpha,138,0,138,1,0.15
16,"[11.2,12)",delta,1,18,19,0.0526315789473684,0.75
16,"[2.77,2.96)",beta,80,0,80,1,0.16
16,"[3.13,3.34)",alpha,133,0,133,1,0.16
17,"[12,12.7)",delta,0,44,44,0,0.8
17,"[2.96,3.14)",beta,55,0,55,1,0.17
17,"[3.34,3.55)",alpha,59,0,59,1,0.17
18,"[12.7,13.5)",delta,0,12,12,0,0.85
18,"[3.14,3.33)",beta,113,4,117,0.965811965811966,0.18
18,"[3.55,3.75)",alpha,146,0,146,1,0.18
19,"[13.5,14.2)",delta,0,26,26,0,0.9
19,"[3.33,3.51)",beta,3,0,3,1,0.19
19,"[3.75,3.96)",alpha,27,0,27,1,0.19
2,"[0.185,0.37)",beta,14,0,14,1,0.02
2,"[0.209,0.417)",alpha,48,0,48,1,0.02
2,"[0.749,1.5)",delta,17,2,19,0.894736842105263,0.05
20,"[14.2,15]",delta,0,58,58,0,0.95
20,"[3.51,3.7)",beta,23,1,24,0.958333333333333,0.2
20,"[3.96,4.17)",alpha,98,0,98,1,0.2
21,"[3.7,3.88)",beta,43,1,44,0.977272727272727,0.21
21,"[4.17,4.38)",alpha,157,0,157,1,0.21
22,"[3.88,4.07)",beta,59,0,59,1,0.22
22,"[4.38,4.59)",alpha,91,0,91,1,0.22
23,"[4.07,4.25)",beta,89,2,91,0.978021978021978,0.23
23,"[4.59,4.8)",alpha,47,0,47,1,0.23
24,"[4.25,4.44)",beta,46,1,47,0.978723404255319,0.24
24,"[4.8,5.01)",alpha,94,0,94,1,0.24
25,"[4.44,4.62)",beta,9,1,10,0.9,0.25
25,"[5.01,5.21)",alpha,14,0,14,1,0.25
26,"[4.62,4.81)",beta,62,6,68,0.911764705882353,0.26
26,"[5.21,5.42)",alpha,32,0,32,1,0.26
27,"[4.81,4.99)",beta,74,3,77,0.961038961038961,0.27
27,"[5.42,5.63)",alpha,74,0,74,1,0.27
28,"[4.99,5.18)",beta,74,3,77,0.961038961038961,0.28
28,"[5.63,5.84)",alpha,406,6,412,0.985436893203883,0.28
29,"[5.18,5.36)",beta,96,6,102,0.941176470588235,0.29
29,"[5.84,6.05)",alpha,44,0,44,1,0.29
3,"[0.37,0.555)",beta,7,0,7,1,0.03
3,"[0.417,0.626)",alpha,9,0,9,1,0.03
3,"[1.5,2.25)",delta,12,0,12,1,0.1
30,"[5.36,5.55)",beta,60,6,66,0.909090909090909,0.3
30,"[6.05,6.26)",alpha,50,1,51,0.980392156862745,0.3
31,"[5.55,5.73)",beta,16,1,17,0.941176470588235,0.31
31,"[6.26,6.47)",alpha,350,3,353,0.991501416430595,0.31
32,"[5.73,5.92)",beta,9,1,10,0.9,0.32
