"",ps,smoothed.percent.open,celltype,gene,peak,avg.open
"1",0,3.18212983421675,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"2",0.0101010101010101,2.95947460552115,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"3",0.0202020202020202,2.75796483595208,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"4",0.0303030303030303,2.57739378968695,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"5",0.0404040404040404,2.41746015095895,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"6",0.0505050505050505,2.27733298573733,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"7",0.0606060606060606,2.15358081972937,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"8",0.0707070707070707,2.04412908028399,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"9",0.0808080808080808,1.94741903230425,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"10",0.0909090909090909,1.86209762924847,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"11",0.101010101010101,1.7869858544564,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"12",0.111111111111111,1.72105214475031,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"13",0.121212121212121,1.66338999123985,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"14",0.131313131313131,1.613198983806,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"15",0.141414141414141,1.57089077092748,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"16",0.151515151515152,1.53924208565287,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"17",0.161616161616162,1.51714870059609,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"18",0.171717171717172,1.50331879765522,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"19",0.181818181818182,1.49657267815557,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"20",0.191919191919192,1.49580857152981,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"21",0.202020202020202,1.49997449014813,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"22",0.212121212121212,1.50804526379871,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"23",0.222222222222222,1.51900420208598,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"24",0.232323232323232,1.53792909983027,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"25",0.242424242424242,1.57754697564339,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"26",0.252525252525253,1.63571208298769,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"27",0.262626262626263,1.70971829852042,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"28",0.272727272727273,1.7967628483922,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"29",0.282828282828283,1.89376316502215,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"30",0.292929292929293,1.9972066950509,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"31",0.303030303030303,2.10303943404668,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"32",0.313131313131313,2.20660384802924,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"33",0.323232323232323,2.30264018786498,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"34",0.333333333333333,2.38536635339342,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"35",0.343434343434343,2.45477695904193,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"36",0.353535353535354,2.52953083499714,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"37",0.363636363636364,2.61032456691317,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"38",0.373737373737374,2.69572306678586,alpha,ATOH1,4:94749419-94751027,3.49538281198359
"39",0.383838383838384,2.78414796785272,alpha,ATOH1,4:94749419-94751027,3.49538281198359
