"",motif,ps,zval,celltype,ps.scaled
"1",NEUROD1,0,0.847207208527096,alpha,0
"2",NEUROD1,0.210672223240505,0.758604970068895,alpha,0.0101010101010101
"3",NEUROD1,0.42134444648101,0.675035544928638,alpha,0.0202020202020202
"4",NEUROD1,0.632016669721515,0.601531746424267,alpha,0.0303030303030303
"5",NEUROD1,0.84268889296202,0.543126387873727,alpha,0.0404040404040404
"6",NEUROD1,1.05336111620253,0.504852282594959,alpha,0.0505050505050505
"7",NEUROD1,1.26403333944303,0.491742243905908,alpha,0.0606060606060606
"8",NEUROD1,1.47470556268354,0.506185757877686,alpha,0.0707070707070707
"9",NEUROD1,1.68537778592404,0.538733501213594,alpha,0.0808080808080808
"10",NEUROD1,1.89605000916455,0.576623100984631,alpha,0.0909090909090909
"11",NEUROD1,2.10672223240505,0.60709202594163,alpha,0.101010101010101
"12",NEUROD1,2.31739445564556,0.617377744835422,alpha,0.111111111111111
"13",NEUROD1,2.52806667888606,0.594717726416839,alpha,0.121212121212121
"14",NEUROD1,2.73873890212657,0.530190036390438,alpha,0.131313131313131
"15",NEUROD1,2.94941112536707,0.449773851989445,alpha,0.141414141414141
"16",NEUROD1,3.16008334860758,0.397644845672685,alpha,0.151515151515152
"17",NEUROD1,3.37075557184808,0.394365569226063,alpha,0.161616161616162
"18",NEUROD1,3.58142779508859,0.424362064035267,alpha,0.171717171717172
"19",NEUROD1,3.79210001832909,0.469036059737928,alpha,0.181818181818182
"20",NEUROD1,4.0027722415696,0.509789285971683,alpha,0.191919191919192
"21",NEUROD1,4.2134444648101,0.528023472374164,alpha,0.202020202020202
"22",NEUROD1,4.42411668805061,0.505140348583007,alpha,0.212121212121212
"23",NEUROD1,4.63478891129111,0.424250665803318,alpha,0.222222222222222
"24",NEUROD1,4.84546113453162,0.289947232695617,alpha,0.232323232323232
"25",NEUROD1,5.05613335777212,0.121489605289353,alpha,0.242424242424242
"26",NEUROD1,5.26680558101263,-0.0615792414960384,alpha,0.252525252525253
"27",NEUROD1,5.47747780425313,-0.239716332741118,alpha,0.262626262626263
"28",NEUROD1,5.68815002749364,-0.393378693526449,alpha,0.272727272727273
"29",NEUROD1,5.89882225073414,-0.503199841022545,alpha,0.282828282828283
"30",NEUROD1,6.10949447397465,-0.560847228130553,alpha,0.292929292929293
"31",NEUROD1,6.32016669721515,-0.57535145972003,alpha,0.303030303030303
"32",NEUROD1,6.53083892045566,-0.557267618256907,alpha,0.313131313131313
