prom_peak,gene,celltype,mean_frac_open,odds
1:10002866-10003720,LZIC,alpha,0.0594927142457069,0.813874901785634
1:10002866-10003720,NMNAT1,alpha,0.0594927142457069,0.813874901785634
1:100111215-100112205,PALMD,alpha,0.00995778214747755,1.93395619558343
1:100231527-100232346,FRRS1,alpha,0.00647448574483925,2.33652797955455
1:100315017-100316186,AGL,alpha,0.107386726746182,1.04756678756784
1:100434863-100436185,SLC35A3,alpha,0.105985717546867,1.25052895097219
1:100503350-100504585,HIAT1,alpha,0.175903748473361,0.710112421223698
1:10056643-10058257,RBP7,alpha,0.0169506356687676,0.933159010585374
1:100598102-100599052,SASS6,alpha,0.110281595533578,1.08823369794478
1:100598102-100599052,TRMT13,alpha,0.110281595533578,1.08823369794478
1:100643436-100644216,LRRC39,alpha,0.00823451644736781,0.878410999056792
1:100715003-100715876,DBT,alpha,0.0989805777620131,0.971017127253484
1:100731207-100732522,RTCA,alpha,0.0640197803216075,0.960134336765814
1:100817645-100818537,CDC14A,alpha,0.103145152168657,1.43204761740359
1:10092513-10093905,UBE4B,alpha,0.140627728652523,0.716444232871079
1:101360213-101362517,EXTL2,alpha,0.160538040804276,0.826948388822623
1:101360213-101362517,SLC30A7,alpha,0.160538040804276,0.826948388822623
1:101490806-101492145,DPH5,alpha,0.0646572592028334,1.22967746257605
1:101701273-101702606,S1PR1,alpha,0.013558407677733,0.98906591365545
1:102312387-102312940,OLFM3,alpha,0.00976514103786475,1.87634919234425
1:10269920-10271302,KIF1B,alpha,0.154415542442288,0.662097932515767
1:103573332-103573879,COL11A1,alpha,0.00318383045181374,5.5633607192991
1:104067940-104069171,RNPC3,alpha,0.0646554772256754,0.685876857101263
1:10458531-10459631,PGD,alpha,0.153736046415441,0.664164153321337
1:10490095-10491147,APITD1,alpha,0.0464579264876274,0.549299450312119
1:10490095-10491147,APITD1-CORT,alpha,0.0464579264876274,0.549299450312119
1:1051216-1052110,C1orf159,alpha,0.101654762746623,0.763498794917897
1:10532080-10532828,DFFA,alpha,0.0377050422638088,0.711968530891593
1:10534791-10535610,PEX14,alpha,0.0386840042414808,0.644516093035278
1:107599089-107600459,PRMT6,alpha,0.108024205627409,1.223066463201
