Term,es,nes,pval,fdr,ranklist,glist_set,significance
Alpha1,0.404460867885377,11.2646129458925,0,0,delta,thisStudy,**
Alpha2,-0.217089857938691,-13.6526998236916,0,0,delta,thisStudy,**
Beta1,0.376637138239732,12.1639267570339,0,0,delta,thisStudy,**
Beta2,-0.141600329137293,-4.12334895966158,0,0,delta,thisStudy,**
Delta1,0.946016543317359,6.96854706725534,0,0,delta,thisStudy,**
Delta2,-0.600391046820525,-30.6441761567548,0,0,delta,thisStudy,**
Alpha1,0.475861448696371,14.0134436450662,0,0,beta,thisStudy,**
Alpha2,-0.286792423144269,-18.6065164192685,0,0,beta,thisStudy,**
Beta1,0.804845250736,27.1360968340275,0,0,beta,thisStudy,**
Beta2,-0.492506738499054,-14.5982993863093,0,0,beta,thisStudy,**
Delta1,0.518357235984365,3.85220752128052,0,0,beta,thisStudy,**
Delta2,-0.193396415096086,-9.94293155257502,0,0,beta,thisStudy,**
Alpha1,0.848253093593469,24.7985102535159,0,0,alpha,thisStudy,**
Alpha2,-0.63851341796897,-41.2621690827661,0,0,alpha,thisStudy,**
Beta1,0.523141518241758,17.4070153964543,0,0,alpha,thisStudy,**
Beta2,-0.143716732945219,-4.14851675480011,0,0,alpha,thisStudy,**
Delta1,0.684850493521596,5.2060717122483,0,0,alpha,thisStudy,**
Delta2,-0.206498411467862,-10.6152700043408,0,0,alpha,thisStudy,**
Beta sub4_xin,-0.131303458534763,-2.94415781399656,0,0,delta,Xin_et_al,**
Beta sub2_xin,0.304322992171643,1.75740088000328,0.0220440881763527,0.0390713476783692,delta,Xin_et_al,*
Beta sub1_xin,0.343752785453268,1.48725518524533,0.0916179337231969,0.125707814269536,delta,Xin_et_al,
Beta sub3_xin,0.313527112140742,1.05107318923015,0.379098360655738,0.433101439896457,delta,Xin_et_al,
Beta sub4_xin,-0.222032282455024,-5.0814977984138,0,0,beta,Xin_et_al,**
Beta sub2_xin,0.279591744569417,1.77818852288718,0.021978021978022,0.0360590573537763,beta,Xin_et_al,*
Beta sub1_xin,0.308644996043457,1.36082738252126,0.128630705394191,0.167139882642438,beta,Xin_et_al,
Beta sub3_xin,0.276175654645105,1.05499482542052,0.360074626865672,0.425083150807171,beta,Xin_et_al,
Beta sub4_xin,-0.178402994209498,-3.95028170891706,0,0,alpha,Xin_et_al,**
Beta sub1_xin,0.382009925558322,1.69795511045557,0.032064128256513,0.0604178430265387,alpha,Xin_et_al,*
Beta sub2_xin,0.187650761616467,1.19106869955766,0.233396584440228,0.375381140598532,alpha,Xin_et_al,
Beta sub3_xin,0.248454716474067,0.902419723818277,0.581532416502947,0.564229249011858,alpha,Xin_et_al,
Mawla_Beta_1,0.306859324600095,1.23510260742516,0.222222222222222,0.272178180445451,delta,Mawla_et_al,
Mawla_Beta_2,-0.118889130592403,-0.779090432313272,0.752066115702479,0.743079584775087,delta,Mawla_et_al,
Mawla_Beta_2,-0.235640374384126,-1.57603567304362,0.0386965376782077,0.0493099482461185,beta,Mawla_et_al,*
Mawla_Beta_1,0.325225938111701,1.42462475943742,0.0925553319919517,0.151050539466212,beta,Mawla_et_al,
Mawla_Beta_1,0.285991084828515,1.17964423042242,0.237918215613383,0.324675324675325,alpha,Mawla_et_al,
Mawla_Beta_2,-0.0987841497880342,-0.665242611905746,0.873076923076923,0.880277617119722,alpha,Mawla_et_al,
mutli_anticorrelated,-0.219454438760664,-1.83216693055252,0.0103305785123967,0.015916955017301,delta,patchSeq,*
multi_correlated,0.0719369598373158,0.600212710204113,0.947876447876448,0.942525481313703,delta,patchSeq,
mutli_anticorrelated,-0.227210801275549,-1.86231578956019,0.00616016427104723,0.0144910868315124,beta,patchSeq,*
multi_correlated,0.105284452912134,0.909896896868017,0.53968253968254,0.549971607041454,beta,patchSeq,
mutli_anticorrelated,-0.167627838038156,-1.40636683724545,0.11018711018711,0.118507807981492,alpha,patchSeq,
multi_correlated,0.110309973045817,0.941097835497804,0.495983935742972,0.585302895861902,alpha,patchSeq,
