celltype,cluster,Term,Overlap,n.hit,n.tot,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
beta,1,positive regulation of hormone metabolic process (GO:0032352),2/6,2,6,0.00138254753905422,0.38709361627647,0,0,34.1880341880342,225.088117567965,EGR1;HPN
beta,1,aromatic compound catabolic process (GO:0019439),2/6,2,6,0.00138254753905422,0.38709361627647,0,0,34.1880341880342,225.088117567965,PON3;PON1
beta,1,regulation of high voltage-gated calcium channel activity (GO:1901841),2/7,2,7,0.00192315544905583,0.38709361627647,0,0,29.3040293040293,183.261186194875,PDE4B;SRI
beta,1,positive regulation of cell death (GO:0010942),4/58,4,58,0.00246506687831859,0.38709361627647,0,0,7.07338638373121,42.4794789792523,NTRK1;EGR1;CIDEB;FOS
beta,1,potassium ion export (GO:0071435),2/9,2,9,0.00325473981032248,0.38709361627647,0,0,22.7920227920228,130.544568476385,KCNH2;KCNA5
beta,1,regulation of actin filament-based movement (GO:1903115),2/10,2,10,0.00404239520470533,0.38709361627647,0,0,20.5128205128205,113.044469543317,PDE4B;SRI
beta,1,carboxylic acid metabolic process (GO:0019752),3/34,3,34,0.00437235951655601,0.38709361627647,0,0,9.04977375565611,49.1624658864117,PON3;ST6GAL1;PON1
beta,1,protein localization to cell periphery (GO:1990778),5/118,5,118,0.00602546600380986,0.38709361627647,0,0,4.34593654932638,22.2153866039362,EHD3;ZDHHC22;ANK1;MRAP2;WNT4
beta,1,membrane repolarization during cardiac muscle cell action potential (GO:0086013),2/15,2,15,0.00913503402830994,0.38709361627647,0,0,13.6752136752137,64.2138579707555,KCNH2;KCNA5
beta,1,positive regulation of small GTPase mediated signal transduction (GO:0051057),2/15,2,15,0.00913503402830994,0.38709361627647,0,0,13.6752136752137,64.2138579707555,NTRK1;RASGRF1
beta,1,lipoxygenase pathway (GO:0019372),2/15,2,15,0.00913503402830994,0.38709361627647,0,0,13.6752136752137,64.2138579707555,PON3;PON1
beta,1,nitric oxide mediated signal transduction (GO:0007263),2/15,2,15,0.00913503402830994,0.38709361627647,0,0,13.6752136752137,64.2138579707555,NDNF;KLRG1
beta,1,protein localization to plasma membrane (GO:0072659),5/131,5,131,0.00926674291411153,0.38709361627647,0,0,3.91466040321002,18.3257910309101,EHD3;ZDHHC22;ANK1;MRAP2;WNT4
beta,1,regulation of systemic arterial blood pressure by hormone (GO:0001990),2/16,2,16,0.0103735537446034,0.38709361627647,0,0,12.8205128205128,58.5704566755476,ACE;CORIN
beta,1,protein localization to chromatin (GO:0071168),2/16,2,16,0.0103735537446034,0.38709361627647,0,0,12.8205128205128,58.5704566755476,H2AFY2;RAD21
beta,1,regulation of cardiac muscle cell membrane repolarization (GO:0099623),2/18,2,18,0.0130585579412458,0.38709361627647,0,0,11.3960113960114,49.4394481960732,KCNH2;KCNA5
beta,1,insulin secretion (GO:0030073),2/19,2,19,0.0145021349145756,0.38709361627647,0,0,10.7962213225371,45.7053646953384,FAM3B;KLRG1
beta,1,acetylcholine receptor signaling pathway (GO:0095500),2/19,2,19,0.0145021349145756,0.38709361627647,0,0,10.7962213225371,45.7053646953384,LYNX1;AGRN
beta,1,positive regulation of toll-like receptor signaling pathway (GO:0034123),2/19,2,19,0.0145021349145756,0.38709361627647,0,0,10.7962213225371,45.7053646953384,RSAD2;TLR5
beta,1,entrainment of circadian clock by photoperiod (GO:0043153),2/20,2,20,0.0160111926220627,0.38709361627647,0,0,10.2564102564103,42.4047924351457,ID2;BHLHE40
beta,1,positive regulation of neuron differentiation (GO:0045666),4/99,4,99,0.0160827504996863,0.38709361627647,0,0,4.14400414400414,17.1147701792628,NTRK1;IMPACT;DPYSL3;NDNF
beta,1,action potential (GO:0001508),3/55,3,55,0.0165175910892489,0.38709361627647,0,0,5.59440559440559,22.9556886118257,KCNH2;SRI;NALCN
beta,1,photoperiodism (GO:0009648),2/21,2,21,0.0175843306434588,0.38709361627647,0,0,9.76800976800977,39.47005692643,ID2;BHLHE40
beta,1,fatty acid metabolic process (GO:0006631),4/107,4,107,0.020774584693236,0.38709361627647,0,0,3.83417205847112,14.8536781371256,GHR;PON3;ACOT11;PON1
beta,1,potassium ion transport (GO:0006813),3/62,3,62,0.0226664447176069,0.38709361627647,0,0,4.96277915632754,18.7933977885477,KCNA5;KCNK17;KCNA6
beta,1,macromolecule modification (GO:0043412),2/25,2,25,0.024490400982595,0.38709361627647,0,0,8.20512820512821,30.4367100293956,ST6GAL1;ZFP64
beta,1,negative regulation of neuron apoptotic process (GO:0043524),3/64,3,64,0.0246218929730251,0.38709361627647,0,0,4.80769230769231,17.8082657383116,NTRK1;NDNF;TP73
beta,1,positive regulation of cell projection organization (GO:0031346),3/64,3,64,0.0246218929730251,0.38709361627647,0,0,4.80769230769231,17.8082657383116,NTRK1;DPYSL3;NDNF
beta,1,negative regulation of neuron differentiation (GO:0045665),3/65,3,65,0.0256327230044098,0.38709361627647,0,0,4.73372781065089,17.3438366929852,ID2;DPYSL3;ID3
beta,1,regulation of voltage-gated calcium channel activity (GO:1901385),2/26,2,26,0.0263636540956643,0.38709361627647,0,0,7.88954635108481,28.6845677018229,PDE4B;SRI
beta,1,peptide hormone secretion (GO:0030072),2/26,2,26,0.0263636540956643,0.38709361627647,0,0,7.88954635108481,28.6845677018229,FAM3B;KLRG1
beta,1,negative regulation of epithelial to mesenchymal transition (GO:0010719),2/26,2,26,0.0263636540956643,0.38709361627647,0,0,7.88954635108481,28.6845677018229,HPN;OVOL2
beta,1,positive regulation of filopodium assembly (GO:0051491),2/26,2,26,0.0263636540956643,0.38709361627647,0,0,7.88954635108481,28.6845677018229,DPYSL3;AGRN
beta,1,regulation of cardiac muscle cell contraction (GO:0086004),2/27,2,27,0.0282930132144908,0.38709361627647,0,0,7.59734093067426,27.0855869910255,PDE4B;SRI
beta,1,endocrine system development (GO:0035270),2/27,2,27,0.0282930132144908,0.38709361627647,0,0,7.59734093067426,27.0855869910255,THRB;WNT4
beta,1,phosphatidylcholine acyl-chain remodeling (GO:0036151),2/28,2,28,0.0302772182155184,0.38709361627647,0,0,7.32600732600733,25.6216829548805,LPCAT1;PLBD1
beta,1,response to hexose (GO:0009746),2/28,2,28,0.0302772182155184,0.38709361627647,0,0,7.32600732600733,25.6216829548805,EIF2B2;KLRG1
beta,1,carboxylic acid catabolic process (GO:0046395),2/29,2,29,0.0323150280024013,0.38709361627647,0,0,7.07338638373121,24.2774386823884,PON3;PON1
beta,1,cardiac muscle cell action potential involved in contraction (GO:0086002),2/29,2,29,0.0323150280024013,0.38709361627647,0,0,7.07338638373121,24.2774386823884,KCNH2;KCNA5
beta,1,phosphatidylcholine metabolic process (GO:0046470),3/72,3,72,0.0333238494575025,0.38709361627647,0,0,4.27350427350427,14.5362476000834,PON1;LPCAT1;PLBD1
beta,1,lysosomal transport (GO:0007041),3/73,3,73,0.034509940638,0.38709361627647,0,0,4.21496311907271,14.1897064784522,EHD3;SNAPIN;M6PR
beta,1,cellular response to drug (GO:0035690),2/31,2,31,0.036546591110058,0.38709361627647,0,0,6.61703887510339,21.8968890892878,KCNH2;PDE4B
beta,1,regulation of protein polymerization (GO:0032271),2/31,2,31,0.036546591110058,0.38709361627647,0,0,6.61703887510339,21.8968890892878,TPPP3;TTBK1
beta,1,chondroitin sulfate metabolic process (GO:0030204),2/31,2,31,0.036546591110058,0.38709361627647,0,0,6.61703887510339,21.8968890892878,NDNF;CHST3
beta,1,positive regulation of interleukin-1 beta production (GO:0032731),2/32,2,32,0.0387379550862471,0.38709361627647,0,0,6.41025641025641,20.8393295383744,GSDMD;EGR1
beta,1,generation of neurons (GO:0048699),4/131,4,131,0.0394976370817785,0.38709361627647,0,0,3.13172832256802,10.1202252638993,ID2;ID3;NDNF;WNT4
beta,1,negative regulation of neurogenesis (GO:0050768),2/34,2,34,0.0432660102127996,0.38709361627647,0,0,6.03318250377074,18.9465335491567,ID2;ID3
beta,1,regulation of neurotransmitter receptor activity (GO:0099601),2/34,2,34,0.0432660102127996,0.38709361627647,0,0,6.03318250377074,18.9465335491567,LYNX1;SHISA6
