ord,loop_set,loop_file,sample,type,value,sd,pvalue
1,cicero_05_10,beta_1_beta_2.cicero_05_10.bedpe,glucose_high,center_percentile,55.6533122348226,0,0
2,cicero_10_15,beta_1_beta_2.cicero_10_15.bedpe,glucose_high,center_percentile,56.717513014526,0,0
3,cicero_15_20,beta_1_beta_2.cicero_15_20.bedpe,glucose_high,center_percentile,57.4579261015568,0,0
4,cicero_gt_20,beta_1_beta_2.cicero_gt_20.bedpe,glucose_high,center_percentile,57.2109178296403,0,0
0,cicero_m05_05.r100000,beta_1_beta_2.cicero_m05_05.r100000.bedpe,glucose_high,center_percentile,51.8938477228596,0,0.774
1,cicero_05_10,beta_1_beta_2.cicero_05_10.bedpe,glucose_low,center_percentile,54.776197509642,0,0
2,cicero_10_15,beta_1_beta_2.cicero_10_15.bedpe,glucose_low,center_percentile,55.8941361774738,0,0
3,cicero_15_20,beta_1_beta_2.cicero_15_20.bedpe,glucose_low,center_percentile,56.548415960484,0,0
4,cicero_gt_20,beta_1_beta_2.cicero_gt_20.bedpe,glucose_low,center_percentile,56.2948289360648,0,0
0,cicero_m05_05.r100000,beta_1_beta_2.cicero_m05_05.r100000.bedpe,glucose_low,center_percentile,51.5373448924886,0,0.786
-1,neg_perm,neg_perm,glucose_high,center_percentile,52.154242378421,0.35448130547807,0.498
-1,neg_perm,neg_perm,glucose_low,center_percentile,51.8041080575086,0.330135605247571,0.49
