prom_peak,gene,MoreOpenIn
1:109756132-109757774,SARS,beta 2
1:109825478-109826295,PSRC1,beta 2
1:109849637-109850651,MYBPHL,beta 1
1:11007330-11007578,C1orf127,beta 1
1:11008408-11008814,C1orf127,beta 1
1:110170613-110171638,AMPD2,beta 2
1:110210394-110211341,GSTM2,beta 1
1:110546347-110546983,AHCYL1,beta 2
1:116184271-116185721,VANGL1,beta 1
1:116926887-116927348,AL136376.1,beta 1
1:117909184-117910330,MAN1A2,beta 2
1:119456925-119457365,TBX15,beta 2
1:12805890-12806514,C1orf158,beta 1
1:14075271-14076448,PRDM2,beta 2
1:145476768-145477700,LIX1L,beta 2
1:145726696-145728157,PDZK1,beta 1
1:150121634-150122547,PLEKHO1,beta 2
1:151682693-151683036,RIIAD1,beta 1
1:151682693-151683036,AL589765.1,beta 1
1:153630809-153631763,SNAPIN,beta 1
1:154166221-154166877,TPM3,beta 1
1:154377400-154379178,IL6R,beta 2
1:154531028-154531673,UBE2Q1,beta 1
1:155022956-155024418,ADAM15,beta 2
1:15671338-15672028,FHAD1,beta 1
1:156829346-156831079,NTRK1,beta 1
1:156890135-156890574,LRRC71,beta 1
1:159869787-159870506,CCDC19,beta 1
1:159915234-159916107,IGSF9,beta 1
1:160990435-160991552,F11R,beta 1
1:161171661-161172551,NDUFS2,beta 1
1:1623753-1624970,SLC35E2B,beta 2
1:167522387-167523279,CREG1,beta 2
1:167904424-167906261,MPC2,beta 2
1:167904424-167906261,DCAF6,beta 2
1:169454464-169455609,SLC19A2,beta 2
1:174768329-174769182,RABGAP1L,beta 2
1:17766117-17766676,RCC2,beta 2
1:179711821-179713516,FAM163A,beta 1
1:180049591-180050045,CEP350,beta 2
1:180880880-180882773,KIAA1614,beta 1
1:180896541-180897529,KIAA1614,beta 1
1:182640881-182641796,RGS8,beta 1
1:182991415-182993436,LAMC1,beta 2
1:183621715-183622883,APOBEC4,beta 1
1:184005226-184006969,COLGALT2,beta 1
1:184723296-184724527,EDEM3,beta 1
1:184942778-184943827,FAM129A,beta 2
1:186649084-186650098,PTGS2,beta 2
1:186797689-186798644,PLA2G4A,beta 2
1:19638059-19639387,AKR7A2,beta 2
1:19638059-19639387,PQLC2,beta 2
1:201095771-201096658,ASCL5,beta 1
1:201252229-201253037,PKP1,beta 1
1:20140846-20142046,RNF186,beta 1
1:202091756-202092162,GPR37L1,beta 1
1:202857493-202858577,RABIF,beta 2
1:203320234-203320950,FMOD,beta 1
1:204047456-204047863,SOX13,beta 1
1:205473441-205474373,CDK18,beta 1
1:207205942-207206411,C1orf116,beta 2
1:207224228-207225083,YOD1,beta 2
1:207494361-207495539,CD55,beta 2
1:209847979-209849556,G0S2,beta 1
1:210405797-210407853,SERTAD4,beta 2
1:21058570-21060265,SH2D5,beta 2
1:212781355-212782971,ATF3,beta 2
1:213188454-213189373,ANGEL2,beta 1
1:214160835-214162236,PROX1,beta 2
1:216596296-216596971,USH2A,beta 1
1:223315513-223316850,TLR5,beta 1
1:223815932-223816222,CAPN8,beta 1
1:223888648-223889278,CAPN2,beta 2
1:224363154-224363840,DEGS1,beta 1
1:22468091-22470249,WNT4,beta 1
1:226012169-226013674,EPHX1,beta 1
1:227915723-227916698,SNAP47,beta 1
1:228674155-228675845,RNF187,beta 2
1:230849696-230850366,AGT,beta 1
1:233749256-233751659,KCNK1,beta 2
1:234745663-234747278,IRF2BP2,beta 2
1:236332026-236332716,GPR137B,beta 2
1:23885675-23886641,ID3,beta 1
1:24106258-24106854,PITHD1,beta 2
1:241696177-241696534,KMO,beta 2
1:244624438-244625308,C1orf101,beta 1
1:24828565-24829718,RCAN3,beta 1
1:27226385-27227283,NUDC,beta 2
1:27226385-27227283,GPATCH3,beta 2
1:28585614-28587063,SESN2,beta 2
1:29447746-29448625,TMEM200B,beta 1
1:33814822-33816165,PHC2,beta 2
1:33937866-33938423,ZSCAN20,beta 1
1:3566341-3566889,WRAP73,beta 1
1:3614378-3615052,TP73,beta 1
1:36851356-36852729,STK40,beta 2
1:36929649-36930506,MRPS15,beta 1
1:38273298-38274969,C1orf122,beta 1
1:38273298-38274969,YRDC,beta 1
1:39394776-39395572,RHBDL2,beta 1
1:40204260-40205053,PPIE,beta 1
1:42800042-42802147,FOXJ3,beta 2
1:43147628-43148974,YBX1,beta 2
1:43423622-43425194,SLC2A1,beta 2
1:43613178-43613885,FAM183A,beta 1
1:45956608-45957396,TESK2,beta 2
1:46215896-46216815,IPP,beta 2
1:46268417-46269624,MAST2,beta 2
1:51761852-51764072,TTC39A,beta 1
1:51794847-51795594,TTC39A,beta 1
1:54483678-54484071,LDLRAD1,beta 1
1:55013350-55014118,ACOT11,beta 1
1:57284432-57285250,C1orf168,beta 1
1:57889380-57891256,DAB1,beta 1
1:59011203-59012693,OMA1,beta 2
1:64088624-64088905,PGM1,beta 1
1:65719709-65721200,DNAJC6,beta 2
1:65730204-65730627,DNAJC6,beta 2
1:6579835-6580768,PLEKHG5,beta 1
1:66257750-66259435,PDE4B,beta 1
1:6661160-6663343,KLHL21,beta 2
1:78511504-78512531,GIPC2,beta 1
1:79115344-79115675,IFI44,beta 1
1:84971269-84972576,GNG5,beta 2
1:85513188-85514715,MCOLN3,beta 2
1:85527434-85528365,WDR63,beta 2
1:85665980-85667562,SYDE2,beta 2
1:860926-861185,SAMD11,beta 1
1:87793852-87795165,LMO4,beta 2
1:89591375-89592185,GBP2,beta 2
1:91966052-91967374,CDC7,beta 2
1:93425948-93427620,FAM69A,beta 2
1:9415599-9415936,SPSB1,beta 1
1:94343978-94344992,DNTTIP2,beta 2
1:95284853-95286310,SLC44A3,beta 1
1:954534-955702,AGRN,beta 1
10:103535516-103535939,FGF8,beta 1
10:103602811-103603769,KCNIP2,beta 2
10:104153686-104154948,NFKB2,beta 2
10:11206699-11208376,CELF2,beta 2
10:116286041-116286957,ABLIM1,beta 1
10:116444624-116444991,ABLIM1,beta 2
10:118501496-118502966,HSPA12A,beta 2
10:118763808-118765280,KIAA1598,beta 2
10:12084434-12085538,UPF2,beta 1
10:123996123-123997240,TACC2,beta 1
10:124713387-124714180,C10orf88,beta 1
10:128994028-128995201,FAM196A,beta 1
10:134211199-134211707,PWWP2B,beta 2
10:134600052-134602232,NKX6-2,beta 1
10:14596629-14597154,FAM107B,beta 2
10:15412367-15413516,FAM171A1,beta 1
10:17270164-17270897,VIM,beta 2
10:17495224-17496727,ST8SIA6,beta 1
10:18429098-18430406,CACNB2,beta 2
10:22604892-22606140,COMMD3,beta 2
10:22604892-22606140,COMMD3-BMI1,beta 2
10:24754437-24755777,KIAA1217,beta 2
10:25011643-25013990,ARHGAP21,beta 2
10:26506194-26507508,GAD2,beta 1
10:30654160-30654526,MTPAP,beta 2
10:31607108-31608893,ZEB1,beta 2
10:33294171-33294922,ITGB1,beta 2
10:33553109-33553805,NRP1,beta 2
10:33625143-33626490,NRP1,beta 1
10:375246-375956,DIP2C,beta 1
10:3826910-3828179,KLF6,beta 2
10:418931-419955,DIP2C,beta 1
10:43724568-43725682,RASGEF1A,beta 1
10:45406365-45407132,TMEM72,beta 1
10:45473962-45474579,C10orf10,beta 1
10:45484204-45484969,RASSF4,beta 1
10:45802086-45802993,OR13A1,beta 1
10:46992495-46993798,GPRIN2,beta 1
10:48438430-48439265,GDF10,beta 1
10:49459361-49460290,FRMPD2,beta 1
10:56560848-56561344,PCDH15,beta 1
10:62492481-62493734,ANK3,beta 1
10:63211939-63213582,TMEM26,beta 1
10:63422435-63423585,C10orf107,beta 1
10:71812158-71814283,H2AFY2,beta 1
10:71891846-71892853,AIFM2,beta 2
10:73723714-73725257,CHST3,beta 1
10:75012026-75012855,MRPS16,beta 2
10:75936035-75937112,ADK,beta 2
10:81204624-81206035,ZCCHC24,beta 2
10:81370438-81371668,SFTPA1,beta 1
10:82167499-82169198,FAM213A,beta 1
10:90611392-90611778,ANKRD22,beta 2
10:91293835-91295854,SLC16A12,beta 1
10:95370962-95371894,PDE6C,beta 1
10:98392590-98393376,PIK3AP1,beta 1
10:98591560-98593604,LCOR,beta 2
10:98944888-98945967,SLIT1,beta 1
11:101917741-101918703,C11orf70,beta 1
11:102217338-102218522,BIRC2,beta 2
11:102651076-102651798,MMP10,beta 2
11:10325351-10325833,ADM,beta 2
11:10326100-10326781,ADM,beta 2
11:108368168-108369535,KDELC2,beta 2
11:109963195-109964774,ZC3H12C,beta 2
11:110166452-110167839,RDX,beta 2
11:110300450-110301538,FDX1,beta 2
11:111782150-111782900,CRYAB,beta 2
11:111782150-111782900,HSPB2,beta 2
11:112831791-112834332,NCAM1,beta 2
11:114548838-114549234,NXPE2,beta 2
11:117170019-117171475,BACE1,beta 1
11:118307916-118308806,KMT2A,beta 2
11:118478184-118479794,PHLDB1,beta 2
11:118781089-118782380,BCL9L,beta 2
11:118927152-118928450,HYOU1,beta 2
11:119039264-119040338,NLRX1,beta 1
11:119995657-119996073,TRIM29,beta 2
11:120434776-120435047,GRIK4,beta 1
11:123430199-123432140,GRAMD1B,beta 1
11:128391962-128392855,ETS1,beta 2
11:13298726-13299818,ARNTL,beta 2
11:13483921-13485387,BTBD10,beta 2
11:14358503-14359144,RRAS2,beta 2
11:14912618-14914150,CYP2R1,beta 2
11:1507214-1507779,MOB2,beta 1
