peak,gene_transcript,pval,odds,FDR,padj.Bonferroni,FDR.BY,percent_open_state1,percent_open_state2
chr10:100027284-100028604,LOXL4_9209,0.567904219654098,1.05297321644474,0.609624478637147,1,1,2.71966527196653,2.58620689655172
chr10:100174567-100175450,PYROXD2_9210,0.250216212048413,0.241620084714337,0.441015337689661,1,1,0.209205020920502,0.862068965517241
chr10:100190809-100191248,HPS1_9211,0.326760563380282,0,0.491922449817109,1,1,0,0.431034482758621
chr10:100194089-100194460,HPS1_9212,0.326760563380282,0,0.491922449817109,1,1,0,0.431034482758621
chr10:100205796-100206886,HPS1_9213,0.0387630011545086,2.74681763159755,0.18027235231687,1,1,4.60251046025105,1.72413793103448
chr10:101088824-101090586,CNNM1_9220,0.297508528778214,0.843878969337426,0.485433050962816,1,1,9.6234309623431,11.2068965517241
chr10:101189998-101191339,GOT1_9224,0.333843445361263,0.882294335781905,0.493966932744518,1,1,12.7615062761506,14.2241379310345
chr10:101292426-101292976,NKX2-3_9226,0.604301460697911,1.4582263426516,0.633138868755015,1,1,0.627615062761506,0.431034482758621
chr10:101379940-101381482,SLC25A28_9227,0.153860689472222,0.803205533700564,0.353927017284123,1,1,18.8284518828452,22.4137931034483
chr10:101418507-101419586,ENTPD7_9229,0.0789224295488009,1.49667788097771,0.259224279924564,1,1,12.9707112970711,9.05172413793103
chr10:101491531-101492724,COX15_9230,0.0399979288159525,0.554972888242391,0.181216433177234,1,1,5.23012552301255,9.05172413793103
chr10:101690633-101690833,DNMBP_9238,0.673239436619718,Inf,0.680455251127239,1,1,0.209205020920502,0
chr10:101769023-101770180,DNMBP_9239,0.0017936120375631,0.401075661462232,0.0431692648985028,1,0.446077415409617,4.81171548117155,11.2068965517241
chr10:101945184-101946427,ERLIN1_9243,0.204129889477023,0.727802122824742,0.401230930069186,1,1,5.43933054393306,7.32758620689655
chr10:101988608-101989582,CHUK_9246,0.213153566381817,0.697689335189142,0.412190844358025,1,1,3.97489539748954,5.60344827586207
chr10:102026943-102027979,CWF19L1_9248,0.0157489663049609,0.236816769220185,0.117374213541008,1,1,0.836820083682008,3.44827586206897
chr10:102045738-102046860,BLOC1S2_9249,3.50335795098087e-05,0.294601852086908,0.00959642034286935,0.604574481600769,0.09916190126925,4.18410041841004,12.9310344827586
chr10:102106160-102107408,SCD_9256,0.0522904116236022,0.664966325105675,0.208354511934875,1,1,10.8786610878661,15.5172413793103
chr10:102278557-102279872,SEC31B_9258,0.509988733876146,1.09551002039352,0.58797939474216,1,1,3.76569037656904,3.44827586206897
chr10:102288626-102290183,HIF1AN_9261,0.0556780478359877,0.472638092400918,0.212847656414622,1,1,2.51046025104603,5.17241379310345
chr10:102295216-102296215,HIF1AN_9267,0.0278408958824693,0.435885253300746,0.15418817080994,1,1,2.71966527196653,6.03448275862069
chr10:102504783-102505614,PAX2_9268,0.695480304552086,0.970601209116176,0.695480304552086,1,1,0.418410041841004,0.431034482758621
chr10:102508297-102508497,PAX2_9274,0.673239436619718,Inf,0.680455251127239,1,1,0.209205020920502,0
chr10:102672229-102673463,FAM178A_9275,0.00215700577913959,0.481833399211621,0.0470587215304828,1,0.486268017816693,8.36820083682008,15.948275862069
chr10:102728720-102730206,SEMA4G_9279,0.267521230040815,0.693071948783735,0.458816722998842,1,1,2.71966527196653,3.87931034482759
chr10:102746626-102747434,MRPL43_9285,0.022315357180117,0.330506865403006,0.13746373494021,1,1,1.46443514644351,4.31034482758621
chr10:102756702-102759704,LZTS2_9298,0.146346426586441,0.738944208722527,0.344449029405647,1,1,9.20502092050209,12.0689655172414
chr10:102778710-102779104,PDZD7_9304,0.547058940384195,0.484803044732663,0.596298391498867,1,1,0.209205020920502,0.431034482758621
chr10:102790761-102791372,PDZD7_9305,0.0201580738149144,0.487615284354095,0.130452304346862,1,1,4.39330543933054,8.62068965517242
chr10:102820313-102821278,KAZALD1_9309,0.0329004828520248,0.43436209915134,0.169058505674247,1,1,2.51046025104603,5.60344827586207
chr10:102890954-102891154,TLX1_9312,0.326760563380282,0,0.491922449817109,1,1,0,0.431034482758621
chr10:102891404-102891988,TLX1_9314,0.604301460697911,1.4582263426516,0.633138868755015,1,1,0.627615062761506,0.431034482758621
chr10:102989612-102990187,LBX1_9315,0.452941059615805,Inf,0.561482929803171,1,1,0.418410041841004,0
chr10:103113420-103114469,BTRC_9316,0.162437991546719,0.773105808378632,0.362068029144064,1,1,11.7154811715481,14.6551724137931
chr10:103329390-103330685,DPCD_9320,0.0408114981944349,0.191244974268767,0.181736399426313,1,1,0.418410041841004,2.1551724137931
chr10:103347500-103348370,POLL_9323,0.372970296311532,0.783100577285687,0.521204016798777,1,1,2.71966527196653,3.44827586206897
chr10:1033568-1034721,AL359878.1_7270,0.227103617347833,0.731593921922483,0.427033840834339,1,1,4.81171548117155,6.46551724137931
chr10:103453509-103455220,FBXW4_9340,0.00594453302819286,0.497031829689752,0.0757642588386442,1,0.782888586188082,7.11297071129707,13.3620689655172
chr10:103535516-103535939,FGF8_9341,0.695480304552086,0.970601209116176,0.695480304552086,1,1,0.418410041841004,0.431034482758621
chr10:103542625-103543545,NPM3_9345,0.0329004828520248,0.43436209915134,0.169058505674247,1,1,2.51046025104603,5.60344827586207
chr10:103577622-103578954,MGEA5_9346,0.0043920658847019,0.55472812451829,0.0662628144201048,1,0.684708091828374,12.3430962343096,20.2586206896552
chr10:103589236-103589722,KCNIP2_9352,0.166068956632682,0.721229534408463,0.366081214032407,1,1,6.69456066945607,9.05172413793103
chr10:103590072-103591228,KCNIP2_9352,0.166068956632682,0.721229534408463,0.366081214032407,1,1,6.69456066945607,9.05172413793103
chr10:103599506-103599814,KCNIP2_9353,0.198369669323402,0.480444966898333,0.401230930069186,1,1,1.04602510460251,2.1551724137931
chr10:103602811-103603769,KCNIP2_9354,0.0143327410436612,0.262469072365534,0.111763338890771,1,1,1.04602510460251,3.87931034482759
chr10:103761444-103761644,C10orf76_9361,0.547058940384195,0.484803044732663,0.596298391498867,1,1,0.209205020920502,0.431034482758621
chr10:103815251-103816234,C10orf76_9362,0.0135877511765217,0.512242580707184,0.109849018487931,1,1,6.06694560669456,11.2068965517241
chr10:103824664-103825846,HPS6_9364,0.0812223544380094,0.654575622393974,0.260821393847549,1,1,7.32217573221757,10.7758620689655
chr10:103874328-103875002,LDB1_9365,0.377343987991997,0.803012815896702,0.525825678357388,1,1,3.13807531380753,3.87931034482759
chr10:103879785-103880695,LDB1_9366,0.0221802261410844,0.523198829918458,0.13746373494021,1,1,5.43933054393306,9.91379310344828
chr10:103892247-103893928,PPRC1_9367,0.0417509673807355,0.625019357879657,0.182142924236796,1,1,8.78661087866109,13.3620689655172
chr10:103911264-103912582,NOLC1_9370,0.000941046939611821,0.462927487152284,0.0337632466118706,1,0.348882980052392,8.78661087866109,17.2413793103448
chr10:103985583-103986234,ELOVL3_9377,0.0549894423119843,0.567142313433054,0.212847656414622,1,1,4.81171548117155,8.18965517241379
chr10:103991106-103991414,PITX3_9378,0.106462186376368,0,0.291807171266993,1,1,0,0.862068965517241
chr10:104001153-104001607,PITX3_9379,0.0460743772378176,0.42985018084604,0.193075019522698,1,1,2.09205020920502,4.74137931034483
chr10:104004836-104005608,GBF1_9380,0.00373383703766636,0.528975997936673,0.060275795845658,1,0.622842925071939,10.4602510460251,18.1034482758621
chr10:104153686-104154948,NFKB2_9381,0.00119189756038315,0.382826258602513,0.0353411962191272,1,0.365188276983127,4.60251046025105,11.2068965517241
chr10:104155239-104155817,NFKB2_9384,0.427418495231538,0.773084902281397,0.550655704320309,1,1,1.67364016736402,2.1551724137931
chr10:104178442-104179054,PSD_9386,0.271428298237476,0.577585189301879,0.461936700461946,1,1,1.25523012552301,2.1551724137931
chr10:104180419-104181395,FBXL15_9392,0.0980135546046689,0.649360881000554,0.285718641348279,1,1,6.06694560669456,9.05172413793103
chr10:104192017-104192695,CUEDC2_9394,0.0732021928453658,0.539752877702379,0.249089109795497,1,1,3.34728033472803,6.03448275862069
chr10:104210020-104211444,C10orf95_9395,0.35906764155494,0.875522688833343,0.512356566605167,1,1,8.78661087866109,9.91379310344828
chr10:104220695-104221640,TMEM180_9396,0.0497943954486197,0.356504085520264,0.201619399872555,1,1,1.25523012552301,3.44827586206897
chr10:104261693-104262849,ACTR1A_9399,0.281575917679798,0.857072545163943,0.471350820777988,1,1,13.5983263598326,15.5172413793103
chr10:104263417-104263856,SUFU_9403,0.0210590882076806,0.535275647316878,0.134201139290969,1,1,6.06694560669456,10.7758620689655
chr10:104403172-104404298,TRIM8_9406,0.543143487700387,1.00611387535946,0.596298391498867,1,1,12.1338912133891,12.0689655172414
chr10:104404570-104405573,TRIM8_9406,0.543143487700387,1.00611387535946,0.596298391498867,1,1,12.1338912133891,12.0689655172414
chr10:104473418-104474944,ARL3_9408,0.0576806785710714,0.665544524700889,0.218960728134839,1,1,10.2510460251046,14.6551724137931
chr10:104503315-104503902,WBP1L_9415,0.491038628955144,1.05611168942319,0.582235373084988,1,1,8.15899581589958,7.75862068965517
chr10:104613777-104614527,C10orf32_9418,0.0751649270994383,0.61017563288625,0.253225944549652,1,1,5.43933054393306,8.62068965517242
chr10:104628968-104630006,AS3MT_9420,0.104733884794738,0.160468880776145,0.291807171266993,1,1,0.209205020920502,1.29310344827586
chr10:104677295-104678634,CNNM2_9421,0.0792720450634931,0.729133491253833,0.259929029879483,1,1,15.2719665271967,19.8275862068966
chr10:104912937-104913708,NT5C2_9426,0.137360930216447,Inf,0.331390685411048,1,1,1.04602510460251,0
chr10:104951952-104953287,NT5C2_9428,0.488504829758377,1.06100787487933,0.582235373084988,1,1,7.74058577405858,7.32758620689655
chr10:105036626-105037994,INA_9431,0.034027535713823,0.608766552987258,0.169931783267007,1,1,8.57740585774059,13.3620689655172
chr10:105110172-105111253,PCGF6_9432,0.0661040997685875,0.473767707472987,0.235062528272515,1,1,2.30125523012552,4.74137931034483
chr10:105127507-105128717,TAF5_9434,0.31219626125998,0.817104389626859,0.489695100790592,1,1,6.06694560669456,7.32758620689655
chr10:105155788-105156666,USMG5_9436,0.491038628955144,1.05611168942319,0.582235373084988,1,1,8.15899581589958,7.75862068965517
chr10:105211652-105212354,CALHM2_9442,0.0408114981944349,0.191244974268767,0.181736399426313,1,1,0.418410041841004,2.1551724137931
chr10:105218680-105218925,CALHM1_9445,0.304519695447914,Inf,0.485433050962816,1,1,0.627615062761506,0
chr10:105253118-105254627,NEURL_9447,0.0331448061837013,0.495404689424182,0.169375161478275,1,1,3.76569037656904,7.32758620689655
chr10:105314441-105315267,NEURL_9448,0.011529757591853,0.508942348135489,0.101110325791115,1,1,6.27615062761506,11.6379310344828
chr10:105317215-105317571,NEURL_9450,0.0800008575027229,4.92886920342535,0.259929029879483,1,1,2.09205020920502,0.431034482758621
chr10:105318144-105318375,NEURL_9450,0.0800008575027229,4.92886920342535,0.259929029879483,1,1,2.09205020920502,0.431034482758621
chr10:105421118-105421640,SH3PXD2A_9451,0.306191038983036,0.482633190267713,0.485433050962816,1,1,0.627615062761506,1.29310344827586
chr10:105437650-105438449,SH3PXD2A_9452,0.222235972913261,1.96403290468176,0.422404120355883,1,1,2.51046025104603,1.29310344827586
chr10:105452708-105453545,SH3PXD2A_9453,0.198369669323402,0.480444966898333,0.401230930069186,1,1,1.04602510460251,2.1551724137931
chr10:105560456-105561030,SH3PXD2A_9454,0.673239436619718,Inf,0.680455251127239,1,1,0.209205020920502,0
chr10:105614165-105615757,SH3PXD2A_9455,0.0143435158470771,0.438972842410516,0.111763338890771,1,1,3.55648535564854,7.75862068965517
chr10:105677480-105678602,OBFC1_9457,0.225403004316835,0.812908530616678,0.425391474791734,1,1,11.5062761506276,13.7931034482759
chr10:105726489-105727846,SLK_9459,0.000905328260314879,0.36214696763833,0.0330820150852896,1,0.341843666332613,4.18410041841004,10.7758620689655
chr10:105881282-105882063,SFR1_9465,0.459339654728077,0.946914950038533,0.566783989969008,1,1,11.0878661087866,11.6379310344828
chr10:105991740-105992559,WDR96_9470,0.0173050040218124,0.576107441078195,0.119884566200087,1,1,8.99581589958159,14.6551724137931
chr10:106012955-106013574,GSTO1_9475,0.0884587154496924,0.589976771222109,0.274457398870072,1,1,4.18410041841004,6.89655172413793
chr10:106014163-106015719,GSTO1_9475,0.0884587154496924,0.589976771222109,0.274457398870072,1,1,4.18410041841004,6.89655172413793
chr10:106028030-106029148,GSTO2_9480,0.425939129053312,1.07527455479432,0.550655704320309,1,1,14.2259414225941,13.3620689655172
chr10:106034371-106035445,GSTO2_9482,0.282041486011994,1.47316271969229,0.471444200320514,1,1,3.76569037656904,2.58620689655172
chr10:106087880-106088202,ITPRIP_9485,0.547058940384195,0.484803044732663,0.596298391498867,1,1,0.209205020920502,0.431034482758621
chr10:106088976-106089423,ITPRIP_9485,0.547058940384195,0.484803044732663,0.596298391498867,1,1,0.209205020920502,0.431034482758621
chr10:106097587-106098792,ITPRIP_9488,0.0423548670251203,0.368818879663998,0.183334487393025,1,1,1.46443514644351,3.87931034482759
