peak,gene_transcript,pval,odds,FDR,padj.Bonferroni,FDR.BY,percent_open_state1,percent_open_state2
chr10:100027284-100028604,LOXL4_9209,0.0303565289640537,1.3127775460661,0.0706018385900008,1,0.732934767376572,7.53226738586014,5.84225900681597
chr10:100174567-100175450,PYROXD2_9210,8.21732676504633e-05,2.53497292601316,0.000596563425853765,1,0.00619306925266711,3.62165286072048,1.46056475170399
chr10:100190809-100191248,HPS1_9211,0.188350715328573,1.66715215950016,0.277461398725827,1,1,0.809092660373724,0.486854917234664
chr10:100194089-100194460,HPS1_9212,3.98577131509273e-06,0.224155555920633,4.98386570656554e-05,0.072166375431069,0.000517387156656149,0.44307455210942,1.94741966893866
chr10:100205796-100206886,HPS1_9213,0.00558859693021908,0.675462127073679,0.0183642715097181,1,0.19064394548107,4.29589674436525,6.2317429406037
chr10:101088824-101090586,CNNM1_9220,0.000853469386635261,0.717446704381507,0.00410545077428747,1,0.0426196777353404,10.1714505875554,13.6319376825706
chr10:101189998-101191339,GOT1_9224,4.47069409199174e-05,0.703704678975303,0.000365281530819506,0.809463872296025,0.00379207594539996,15.0837988826816,20.1557935735151
chr10:101292426-101292976,NKX2-3_9226,0.00948814710711434,0.253153148751391,0.0281401237016975,1,0.292129432195448,0.173376998651512,0.68159688412853
chr10:101379940-101381482,SLC25A28_9227,4.43727638649972e-06,0.707285835124797,5.41647113550913e-05,0.0803413262539639,0.000562296972853701,22.6738586014255,29.3086660175268
chr10:101418507-101419586,ENTPD7_9229,0.0291534212069842,0.825166416988687,0.0683038100897589,1,0.709078377544706,12.3675592371412,14.6056475170399
chr10:101491531-101492724,COX15_9230,1.02983319292565e-05,0.597233455788659,0.00010872396379657,0.186461597911118,0.00112868977217803,6.68464650356386,10.7108081791626
chr10:101690633-101690833,DNMBP_9238,0.40538091635508,Inf,0.466731964359982,1,1,0.0963205548063957,0
chr10:101769023-101770180,DNMBP_9239,0.0598230672280958,0.816577008538559,0.118235613495459,1,1,7.108456944712,8.56864654333009
chr10:101945184-101946427,ERLIN1_9243,8.51929703985671e-09,0.51150535619952,2.90490380797826e-07,0.000154250392203646,3.01565092251494e-06,6.33789250626084,11.6845180136319
chr10:101988608-101989582,CHUK_9246,0.151960034313983,0.836132224395214,0.236800790196143,1,1,4.10325563475246,4.86854917234664
chr10:102026943-102027979,CWF19L1_9248,0.00693239574406261,0.590884517371292,0.0218636447361514,1,0.22697178556147,2.04199576189559,3.40798442064265
chr10:102045738-102046860,BLOC1S2_9249,2.05982704902716e-09,0.486087503792582,8.83773188381179e-08,3.72952285496857e-05,9.17466328322433e-07,5.7214409554999,11.1002921129503
chr10:102106160-102107408,SCD_9256,4.37654118843254e-05,0.663638437884519,0.000359046917796826,0.792416547577596,0.00372735291924767,9.97880947794259,14.3135345666991
chr10:102278557-102279872,SEC31B_9258,0.0339771910986534,0.717707215824433,0.0768439028168145,1,0.797735146281681,3.25563475245617,4.47906523855891
chr10:102288626-102290183,HIF1AN_9261,0.274899094947932,0.878140163076461,0.362171506448902,1,1,3.00520130995955,3.40798442064265
chr10:102295216-102296215,HIF1AN_9267,0.028599296642055,0.710309569053193,0.067327898192829,1,0.698947200036566,3.29416297437873,4.57643622200584
chr10:102504783-102505614,PAX2_9268,0.226201440327206,0.70164620055217,0.315907691569538,1,1,0.616451550760932,0.876338851022396
chr10:102508297-102508497,PAX2_9274,0.0928447801498636,0.345397219567185,0.164663296051859,1,1,0.134848776728954,0.389483933787731
chr10:102672229-102673463,FAM178A_9275,3.94989471513027e-05,0.678371731192488,0.000328058686752975,0.715167937121486,0.00340565659567979,11.7125794644577,16.3583252190847
chr10:102728720-102730206,SEMA4G_9279,0.00769062332766174,0.669614012489156,0.0237338377314886,1,0.246386711509034,3.71797341552687,5.45277507302824
chr10:102746626-102747434,MRPL43_9285,7.5656755181215e-06,0.405207716491373,8.41425804245134e-05,0.136984120931108,0.000873504484324288,1.65671354267001,3.99221032132425
chr10:102756702-102759704,LZTS2_9298,1.46339889105704e-06,0.633502180030905,2.17182789520317e-05,0.0264963003214787,0.000225462708187621,11.4428819109998,16.9425511197663
chr10:102778710-102779104,PDZD7_9304,0.587231271703743,1.0223178082545,0.599515613502564,1,1,0.597187439799653,0.584225900681597
chr10:102790761-102791372,PDZD7_9305,0.0671698912501252,0.791194908413139,0.128505711218805,1,1,4.75823540743595,5.9396299902629
chr10:102820313-102821278,KAZALD1_9309,6.24860716703545e-15,0.329784169496702,1.57135113008811e-12,1.13137281366344e-10,1.63125762444543e-11,3.17857830861106,9.05550146056475
chr10:102890954-102891154,TLX1_9312,0.547607722263664,1.58353336403943,0.565267921629942,1,1,0.154112887690233,0.0973709834469328
chr10:102891404-102891988,TLX1_9314,0.502120304288288,0.909667657029511,0.532338845361562,1,1,0.44307455210942,0.486854917234664
chr10:102989612-102990187,LBX1_9315,0.414439116066542,0.724881770329171,0.473143118005744,1,1,0.21190522057407,0.292112950340798
chr10:103113420-103114469,BTRC_9316,0.00981587329819787,0.797403776860399,0.0289594231151069,1,0.300634777622303,13.4078212290503,16.2609542356378
chr10:103329390-103330685,DPCD_9320,0.378518248977915,0.909950805284029,0.448025849251104,1,1,2.04199576189559,2.23953261927946
chr10:103347500-103348370,POLL_9323,0.282640770914208,0.895240978472526,0.369227546765703,1,1,3.85282219225583,4.28432327166504
chr10:1033568-1034721,AL359878.1_7270,0.0837120466209462,0.837882278520822,0.152238882695746,1,1,7.53226738586014,8.86075949367089
chr10:103453509-103455220,FBXW4_9340,1.09440941638744e-06,0.610918010878072,1.7067508090535e-05,0.0198153768931111,0.000177181930695579,9.59352725871701,14.8003894839338
chr10:103535516-103535939,FGF8_9341,0.0259713354735049,0.369217369431432,0.0626398028617662,1,0.650278948195908,0.288961664419187,0.778967867575463
chr10:103542625-103543545,NPM3_9345,1.97035540209025e-05,0.464327217134194,0.000185325999533746,0.356752549102461,0.00192391403779015,2.27316509343094,4.77117818889971
chr10:103577622-103578954,MGEA5_9346,0.0107371365725243,0.798641991733553,0.0311606662969011,1,0.32348641564772,13.1766518975149,15.968841285297
